Date,SOUTH AFRICA IMI
1994-05-31,223.6759031840917
1994-06-30,223.2813488601265
1994-07-29,237.69842092312237
1994-08-31,254.06695559102783
1994-09-30,261.8773477179674
1994-10-31,282.2641162468121
1994-11-30,280.7340888326649
1994-12-30,288.27495738989245
1995-01-31,249.73785681544845
1995-02-28,264.84344724124213
1995-03-31,298.858177444739
1995-04-28,306.1382376963946
1995-05-31,302.8802989308752
1995-06-30,302.92463182208553
1995-07-31,305.0445284326526
1995-08-31,308.4565622550531
1995-09-29,316.6019419774295
1995-10-31,325.2500031085403
1995-11-30,334.4148237218377
1995-12-29,351.8839169693068
1996-01-31,385.42141488157796
1996-02-29,354.7076749716166
1996-03-29,347.4315324780467
1996-04-30,328.59168946893976
1996-05-31,317.54772094981473
1996-06-28,325.48644536867647
1996-07-31,300.3129014643332
1996-08-30,303.78544120728503
1996-09-30,309.68108687391435
1996-10-31,302.8425557349309
1996-11-29,298.27640392788027
1996-12-31,293.42885680202477
1997-01-01,293.42885680202477
1997-01-02,290.40237583350506
1997-01-03,288.9348828856197
1997-01-06,288.0754922221274
1997-01-07,292.07572663215126
1997-01-08,293.03840355245836
1997-01-09,293.3337363050161
1997-01-10,294.10392656505
1997-01-13,298.0473884249039
1997-01-14,298.2806730260215
1997-01-15,299.7847699684179
1997-01-16,300.0138309537399
1997-01-17,301.06099491243845
1997-01-20,300.8407096729997
1997-01-21,298.4950298610796
1997-01-22,301.1742471097124
1997-01-23,299.802057149011
1997-01-24,299.5069499015155
1997-01-27,301.9860736312431
1997-01-28,303.8095548622655
1997-01-29,302.19476253363695
1997-01-30,300.6418861840494
1997-01-31,301.4627668165246
1997-02-03,306.03790508634614
1997-02-04,308.94415666090583
1997-02-05,314.22610749348166
1997-02-06,318.42827963800954
1997-02-07,321.531941027393
1997-02-10,328.4580131382692
1997-02-11,328.38355717381216
1997-02-12,328.24727721688384
1997-02-13,330.61811994082416
1997-02-14,329.1375117098678
1997-02-17,330.0199973785133
1997-02-18,329.0628989102493
1997-02-19,328.73556748579665
1997-02-20,327.82104257247084
1997-02-21,328.71503968660727
1997-02-24,333.9980638173813
1997-02-25,337.19430791911907
1997-02-26,336.0302663686512
1997-02-27,332.4609140177339
1997-02-28,328.9153075159114
1997-03-03,330.28443215982736
1997-03-04,331.5827225745138
1997-03-05,328.2873412463358
1997-03-06,328.59872121659316
1997-03-07,327.79366046597096
1997-03-10,331.2215223001248
1997-03-11,334.6738894626165
1997-03-12,336.92956682328264
1997-03-13,337.9080672134626
1997-03-14,332.1135528267372
1997-03-17,332.8162622761474
1997-03-18,332.8815150927842
1997-03-19,332.1542794212377
1997-03-20,332.0117507220923
1997-03-21,332.21589156171797
1997-03-24,331.5887628882784
1997-03-25,332.799507931161
1997-03-26,330.8156820409239
1997-03-27,332.98467655957177
1997-03-28,333.0083014322225
1997-03-31,332.93296870935575
1997-04-01,327.189937305816
1997-04-02,328.3479763050454
1997-04-03,328.7362896272365
1997-04-04,330.38859658289397
1997-04-07,332.3657375583335
1997-04-08,331.28677771999105
1997-04-09,330.55427138641255
1997-04-10,328.9065343479342
1997-04-11,328.53003860380664
1997-04-14,325.2440775946655
1997-04-15,326.1710082053444
1997-04-16,325.01349078895566
1997-04-17,324.8164677823618
1997-04-18,326.8594438346382
1997-04-21,327.7654689499321
1997-04-22,328.8241983900263
1997-04-23,329.63110553797054
1997-04-24,330.31627059668364
1997-04-25,329.0470926011589
1997-04-28,329.89935421487814
1997-04-29,331.41277602431785
1997-04-30,332.12819329121356
1997-05-01,332.05351578850616
1997-05-02,332.7494302269098
1997-05-05,334.11998426204764
1997-05-06,335.4447414099478
1997-05-07,333.15267444776964
1997-05-08,332.40493979009045
1997-05-09,334.19396569401704
1997-05-12,334.74194150802407
1997-05-13,334.6853986150534
1997-05-14,334.94672681916603
1997-05-15,333.5583181637359
1997-05-16,333.034806826771
1997-05-19,332.36009488985644
1997-05-20,332.1401268128273
1997-05-21,333.87078466711233
1997-05-22,331.53179789022835
1997-05-23,330.61038902051416
1997-05-26,330.54931330638414
1997-05-27,330.40657646064744
1997-05-28,329.71603513145027
1997-05-29,331.60934188588084
1997-05-30,328.993288386331
1997-06-02,331.1766861104806
1997-06-03,333.5945714536282
1997-06-04,336.01094817735776
1997-06-05,337.5276067447742
1997-06-06,339.38460673090776
1997-06-09,339.8550010475907
1997-06-10,338.6813358446057
1997-06-11,339.7480627035289
1997-06-12,340.15116938932965
1997-06-13,338.6778596944418
1997-06-16,339.0246266007539
1997-06-17,335.0523503991165
1997-06-18,336.0295531387603
1997-06-19,335.91474768161316
1997-06-20,337.26672604141794
1997-06-23,340.6474738748546
1997-06-24,342.452522709527
1997-06-25,343.156034704027
1997-06-26,344.8135825091134
1997-06-27,344.937398443766
1997-06-30,343.7352311583344
1997-07-01,343.8953918312887
1997-07-02,343.2034695042642
1997-07-03,343.3385829711552
