Date,EAFE ex UK GROWTH
1974-12-31,100.0
1975-01-31,112.35891
1975-02-28,124.75956
1975-03-31,125.24388
1975-04-30,127.91258
1975-05-30,125.75783
1975-06-30,123.88404
1975-07-31,119.16352
1975-08-29,114.89648
1975-09-30,108.81046
1975-10-31,117.7084
1975-11-28,121.68569
1975-12-31,122.27997
1976-01-30,125.7452
1976-02-27,125.03894
1976-03-31,123.41205
1976-04-30,122.79555
1976-05-31,121.66224
1976-06-30,123.56092
1976-07-30,122.6048
1976-08-31,124.04479
1976-09-30,123.27532
1976-10-29,116.60424
1976-11-30,116.42001
1976-12-31,127.63839
1977-01-31,124.29568
1977-02-28,126.23146
1977-03-31,124.49804
1977-04-29,126.23001
1977-05-31,124.95182
1977-06-30,127.27342
1977-07-29,123.36502
1977-08-31,126.96684
1977-09-30,130.95199
1977-10-31,133.89413
1977-11-30,134.10332
1977-12-30,135.89055
1978-01-31,139.316
1978-02-28,143.06472
1978-03-31,154.49508
1978-04-28,153.59386
1978-05-31,154.48783
1978-06-30,163.54676
1978-07-31,175.65424
1978-08-31,178.97024
1978-09-29,185.80559
1978-10-31,197.26019
1978-11-30,175.25648
1978-12-29,182.717
1979-01-31,182.88226
1979-02-28,178.48095
1979-03-30,177.00087
1979-04-30,172.84693
1979-05-31,172.05072
1979-06-29,174.26126
1979-07-31,176.23251
1979-08-31,180.3749
1979-09-28,190.13873
1979-10-31,176.65656
1979-11-30,177.84081
1979-12-31,185.08292
1980-01-31,192.43003
1980-02-29,188.79584
1980-03-31,168.28056
1980-04-30,185.43156
1980-05-30,195.41589
1980-06-30,203.38391
1980-07-31,200.1247
1980-08-29,207.72189
1980-09-30,217.36309
1980-10-31,224.7647
1980-11-28,221.10806
1980-12-31,222.18613
1981-01-30,217.16138
1981-02-27,214.40062
1981-03-31,219.20668
1981-04-30,217.77223
1981-05-29,209.10937
1981-06-30,209.08874
1981-07-31,199.21877
1981-08-31,203.02147
1981-09-30,185.28574
1981-10-30,186.93342
1981-11-30,202.71102
1981-12-31,202.91949
1982-01-29,198.2257
1982-02-26,182.97006
1982-03-31,171.79657
1982-04-30,183.59732
1982-05-31,178.95639
1982-06-30,165.52904
1982-07-30,162.47023
1982-08-31,161.32298
1982-09-30,157.39756
1982-10-29,156.9381
1982-11-30,172.15881
1982-12-31,186.11709
1983-01-31,185.45027
1983-02-28,190.20986
1983-03-31,197.89545
1983-04-29,205.53379
1983-05-31,203.36099
1983-06-30,209.46121
1983-07-29,212.81952
1983-08-31,209.69156
1983-09-30,219.06315
1983-10-31,218.79627
1983-11-30,224.46994
1983-12-30,235.43883
1984-01-31,245.67991
