Date,WORLD GROWTH
1974-12-31,100.0
1975-01-31,114.41163
1975-02-28,126.49679
1975-03-31,128.39732
1975-04-30,133.90943
1975-05-30,136.79422
1975-06-30,136.75178
1975-07-31,127.26539
1975-08-29,124.98821
1975-09-30,118.9652
1975-10-31,127.95223
1975-11-28,132.43819
1975-12-31,130.8575
1976-01-30,142.52042
1976-02-27,140.24793
1976-03-31,141.46965
1976-04-30,138.80236
1976-05-31,135.96985
1976-06-30,139.85527
1976-07-30,137.71455
1976-08-31,137.37295
1976-09-30,136.75435
1976-10-29,131.39628
1976-11-30,130.1355
1976-12-31,139.29837
1977-01-31,132.22713
1977-02-28,131.67896
1977-03-31,129.85457
1977-04-29,129.20636
1977-05-31,126.5256
1977-06-30,132.26209
1977-07-29,129.87216
1977-08-31,132.3875
1977-09-30,134.17443
1977-10-31,131.71854
1977-11-30,133.34079
1977-12-30,134.77213
1978-01-31,130.59781
1978-02-28,128.55755
1978-03-31,133.41178
1978-04-28,141.3349
1978-05-31,143.09009
1978-06-30,145.26716
1978-07-31,156.30059
1978-08-31,159.95117
1978-09-29,159.79182
1978-10-31,156.72405
1978-11-30,149.96658
1978-12-29,155.43793
1979-01-31,158.09275
1979-02-28,154.55448
1979-03-30,161.32176
1979-04-30,160.66068
1979-05-31,157.91275
1979-06-29,161.36299
1979-07-31,162.21652
1979-08-31,169.24673
1979-09-28,173.24119
1979-10-31,161.59931
1979-11-30,167.48027
1979-12-31,171.92993
1980-01-31,181.79953
1980-02-29,182.23639
1980-03-31,160.48657
1980-04-30,169.88706
1980-05-30,177.81153
1980-06-30,187.09562
1980-07-31,193.84539
1980-08-29,197.73686
1980-09-30,205.58921
1980-10-31,213.49751
1980-11-28,224.82536
1980-12-31,217.50881
1981-01-30,209.28883
1981-02-27,210.16136
1981-03-31,214.05267
1981-04-30,208.39145
1981-05-29,203.21407
1981-06-30,201.37427
1981-07-31,199.36987
1981-08-31,194.99753
1981-09-30,178.08541
1981-10-30,185.39053
1981-11-30,198.59853
1981-12-31,194.66511
1982-01-29,191.49149
1982-02-26,177.81348
1982-03-31,172.51151
1982-04-30,182.35895
1982-05-31,177.49373
1982-06-30,169.5338
1982-07-30,168.89474
1982-08-31,180.6336
1982-09-30,183.2099
1982-10-29,194.90664
1982-11-30,205.81558
1982-12-31,213.8467
1983-01-31,216.23074
1983-02-28,221.43425
1983-03-31,227.94985
1983-04-29,242.80097
1983-05-31,239.47341
1983-06-30,249.38782
1983-07-29,242.9521
1983-08-31,242.30295
1983-09-30,248.13426
1983-10-31,244.38121
1983-11-30,250.38908
1983-12-30,252.86661
1984-01-31,250.77324
1984-02-29,245.797
1984-03-30,260.18317
1984-04-30,258.48818
1984-05-31,239.08183
1984-06-29,243.78963
1984-07-31,236.25031
1984-08-31,259.67401
1984-09-28,256.54413
1984-10-31,262.86068
1984-11-30,261.14482
1984-12-31,267.20833
1985-01-31,283.1368
1985-02-28,284.14427
1985-03-29,293.81463
1985-04-30,289.4397
1985-05-31,304.54413
1985-06-28,309.41608
1985-07-31,318.13765
1985-08-30,318.66928
1985-09-30,318.91262
1985-10-31,335.53095
1985-11-29,356.37353
1985-12-31,374.32307
1986-01-31,377.7776
1986-02-28,412.78449
1986-03-31,456.14681
1986-04-30,467.29708
1986-05-30,468.63527
1986-06-30,486.83325
1986-07-31,498.0455
1986-08-29,532.26401
1986-09-30,506.2403
1986-10-31,494.06088
1986-11-28,516.161
1986-12-31,528.46599
1987-01-30,607.51467
1987-02-27,632.96819
1987-03-31,679.44385
1987-04-30,726.31992
