Date,NORDIC COUNTRIES GROWTH
1974-12-31,100.0
1975-01-31,111.34891
1975-02-28,121.86316
1975-03-31,117.70132
1975-04-30,123.02613
1975-05-30,122.97685
1975-06-30,125.43317
1975-07-31,120.21579
1975-08-29,115.52185
1975-09-30,109.59059
1975-10-31,114.17227
1975-11-28,108.64193
1975-12-31,107.65479
1976-01-30,116.18867
1976-02-27,113.82639
1976-03-31,113.13958
1976-04-30,120.64706
1976-05-31,119.39791
1976-06-30,118.32109
1976-07-30,118.19182
1976-08-31,112.84037
1976-09-30,114.83082
1976-10-29,107.48953
1976-11-30,111.34523
1976-12-31,115.61373
1977-01-31,107.75904
1977-02-28,113.76013
1977-03-31,115.64793
1977-04-29,109.53446
1977-05-31,106.67612
1977-06-30,101.6896
1977-07-29,100.90363
1977-08-31,91.27266
1977-09-30,96.53101
1977-10-31,93.57265
1977-11-30,87.94018
1977-12-30,94.81573
1978-01-31,98.9654
1978-02-28,99.49093
1978-03-31,102.54169
1978-04-28,104.50215
1978-05-31,103.52219
1978-06-30,105.79898
1978-07-31,113.07983
1978-08-31,118.11618
1978-09-29,116.42419
1978-10-31,117.25537
1978-11-30,108.56372
1978-12-29,110.53607
1979-01-31,117.22745
1979-02-28,115.59157
1979-03-30,117.73813
1979-04-30,116.3064
1979-05-31,117.54027
1979-06-29,126.29352
1979-07-31,127.84602
1979-08-31,126.6704
1979-09-28,133.83117
1979-10-31,133.01632
1979-11-30,147.76376
1979-12-31,147.63281
1980-01-31,147.00558
1980-02-29,136.31459
1980-03-31,113.29405
1980-04-30,128.85678
1980-05-30,136.3926
1980-06-30,138.87249
1980-07-31,138.67133
1980-08-29,134.18309
1980-09-30,144.27377
1980-10-31,151.77617
1980-11-28,152.61476
1980-12-31,149.6971
1981-01-30,139.28484
1981-02-27,143.39684
1981-03-31,154.00261
1981-04-30,146.45369
1981-05-29,145.52355
1981-06-30,154.29463
1981-07-31,153.70779
1981-08-31,162.50241
1981-09-30,148.37413
1981-10-30,166.63211
1981-11-30,183.93144
1981-12-31,178.41101
1982-01-29,172.56115
1982-02-26,165.0894
1982-03-31,152.79365
1982-04-30,156.44948
1982-05-31,160.04615
1982-06-30,150.92287
1982-07-30,156.88195
1982-08-31,161.93669
1982-09-30,160.69801
1982-10-29,161.70391
1982-11-30,184.9306
1982-12-31,194.54315
1983-01-31,207.7536
1983-02-28,227.4294
1983-03-31,235.49106
1983-04-29,274.24023
1983-05-31,275.8984
1983-06-30,269.01124
1983-07-29,286.1336
1983-08-31,295.27631
1983-09-30,294.12994
1983-10-31,288.23419
1983-11-30,289.12572
1983-12-30,275.13542
1984-01-31,284.71717
1984-02-29,281.63021
1984-03-30,283.39169
1984-04-30,269.53232
1984-05-31,239.70509
1984-06-29,235.08587
1984-07-31,226.33353
1984-08-31,233.29549
1984-09-28,215.36904
1984-10-31,206.72035
1984-11-30,197.4152
1984-12-31,192.86307
1985-01-31,210.10622
1985-02-28,195.77855
1985-03-29,200.76094
1985-04-30,204.0143
1985-05-31,202.09124
1985-06-28,200.11943
1985-07-31,226.53135
1985-08-30,218.29035
1985-09-30,230.47252
