Date,KOKUSAI INDEX (WORLD ex JP) GROWTH
1974-12-31,100.0
1975-01-31,115.71664
1975-02-28,127.40527
1975-03-31,129.37365
1975-04-30,135.768
1975-05-30,139.40734
1975-06-30,139.23634
1975-07-31,129.20409
1975-08-29,127.47316
1975-09-30,121.65058
1975-10-31,130.59823
1975-11-28,135.40788
1975-12-31,133.58341
1976-01-30,146.14893
1976-02-27,143.53448
1976-03-31,144.93222
1976-04-30,141.883
1976-05-31,138.54744
1976-06-30,142.25784
1976-07-30,140.2596
1976-08-31,139.07199
1976-09-30,138.36938
1976-10-29,133.1549
1976-11-30,131.932
1976-12-31,139.48205
1977-01-31,132.04906
1977-02-28,130.63109
1977-03-31,129.03766
1977-04-29,128.27079
1977-05-31,125.10321
1977-06-30,131.00871
1977-07-29,129.14626
1977-08-31,130.78129
1977-09-30,131.83527
1977-10-31,128.76003
1977-11-30,130.7756
1977-12-30,132.9565
1978-01-31,126.90144
1978-02-28,123.50613
1978-03-31,125.95457
1978-04-28,135.17463
1978-05-31,137.30555
1978-06-30,136.95152
1978-07-31,147.17647
1978-08-31,151.619
1978-09-29,150.21267
1978-10-31,144.23547
1978-11-30,140.52703
1978-12-29,145.82203
1979-01-31,149.63435
1979-02-28,146.86299
1979-03-30,155.82329
1979-04-30,156.15284
1979-05-31,152.21245
1979-06-29,156.46383
1979-07-31,157.56123
1979-08-31,165.64835
1979-09-28,169.6456
1979-10-31,158.27194
1979-11-30,166.39196
1979-12-31,170.05534
1980-01-31,181.23336
1980-02-29,183.20059
1980-03-31,158.40134
1980-04-30,166.58072
1980-05-30,174.45617
1980-06-30,184.68139
1980-07-31,194.60887
1980-08-29,197.03826
1980-09-30,203.86261
1980-10-31,212.49339
1980-11-28,226.90528
1980-12-31,215.70629
1981-01-30,205.30049
1981-02-27,206.94596
1981-03-31,209.95315
1981-04-30,201.9883
1981-05-29,197.25315
1981-06-30,194.4206
1981-07-31,194.61535
1981-08-31,187.82385
1981-09-30,172.31296
1981-10-30,181.26477
1981-11-30,194.02121
1981-12-31,187.92414
1982-01-29,185.05388
1982-02-26,172.94287
1982-03-31,170.08285
1982-04-30,179.0426
1982-05-31,174.80416
1982-06-30,167.36294
1982-07-30,167.38442
1982-08-31,181.50246
1982-09-30,185.84679
1982-10-29,200.02224
1982-11-30,207.84399
1982-12-31,213.9509
1983-01-31,217.7562
1983-02-28,223.41369
1983-03-31,229.95738
1983-04-29,246.74478
1983-05-31,242.27797
1983-06-30,252.25466
1983-07-29,243.61887
1983-08-31,243.08082
1983-09-30,246.58399
1983-10-31,243.06613
1983-11-30,248.86379
1983-12-30,247.96792
1984-01-31,242.46916
1984-02-29,236.55603
1984-03-30,240.35925
1984-04-30,239.85898
1984-05-31,226.0574
1984-06-29,230.88427
1984-07-31,226.81746
1984-08-31,249.7352
1984-09-28,245.51124
1984-10-31,248.1583
1984-11-30,244.28644
1984-12-31,249.33758
1985-01-31,268.65072
1985-02-28,266.28076
1985-03-29,273.54982
1985-04-30,272.33968
1985-05-31,287.76813
1985-06-28,289.81911
1985-07-31,300.18698
1985-08-30,300.95015
1985-09-30,295.66539
1985-10-31,312.70394
1985-11-29,337.79286
1985-12-31,354.22961
1986-01-31,356.83735
1986-02-28,385.17984
1986-03-31,411.29292
1986-04-30,427.56529
1986-05-30,427.81239
1986-06-30,436.14432
1986-07-31,419.61438
1986-08-29,448.08752
1986-09-30,409.9724
1986-10-31,427.56064
1986-11-28,442.25121
1986-12-31,441.89768
1987-01-30,485.27964
1987-02-27,513.45877
1987-03-31,527.80354
1987-04-30,530.43387
1987-05-29,530.56892
1987-06-30,552.48162
1987-07-31,579.08205
1987-08-31,599.64658
1987-09-30,593.00337
1987-10-30,458.38682
1987-11-30,425.97764
1987-12-31,454.77082
1988-01-29,448.72169
1988-02-29,471.93426
1988-03-31,469.01286
1988-04-29,471.91941
1988-05-31,469.0234
1988-06-30,479.58876
1988-07-29,477.79116
1988-08-31,459.29451
1988-09-30,480.62356
1988-10-31,505.2384
1988-11-30,501.6892
1988-12-30,508.27872
1989-01-31,538.62553
1989-02-28,525.79624
