Date,EUROPE GROWTH
1974-12-31,100.0
1975-01-31,125.17752
1975-02-28,142.12453
1975-03-31,139.69435
1975-04-30,149.1188
1975-05-30,147.56157
1975-06-30,136.79034
1975-07-31,132.14945
1975-08-29,134.25001
1975-09-30,127.92969
1975-10-31,137.07835
1975-11-28,139.48753
1975-12-31,141.56547
1976-01-30,146.71657
1976-02-27,143.96105
1976-03-31,138.67308
1976-04-30,136.94676
1976-05-31,130.11685
1976-06-30,130.33178
1976-07-30,128.50345
1976-08-31,125.34348
1976-09-30,120.84806
1976-10-29,111.64471
1976-11-30,117.0422
1976-12-31,126.91582
1977-01-31,127.86833
1977-02-28,129.02041
1977-03-31,127.86629
1977-04-29,132.76208
1977-05-31,131.15837
1977-06-30,133.68667
1977-07-29,131.37323
1977-08-31,137.79329
1977-09-30,143.92938
1977-10-31,147.9577
1977-11-30,145.81037
1977-12-30,153.4606
1978-01-31,152.60878
1978-02-28,151.41396
1978-03-31,156.66845
1978-04-28,153.87505
1978-05-31,156.91789
1978-06-30,158.22394
1978-07-31,171.48101
1978-08-31,177.63806
1978-09-29,184.5931
1978-10-31,192.86353
1978-11-30,174.72993
1978-12-29,183.31464
1979-01-31,183.67691
1979-02-28,186.26235
1979-03-30,198.67529
1979-04-30,199.73645
1979-05-31,188.62813
1979-06-29,194.8073
1979-07-31,199.06435
1979-08-31,204.30523
1979-09-28,216.13463
1979-10-31,198.01052
1979-11-30,207.31878
1979-12-31,206.5073
1980-01-31,217.93669
1980-02-29,221.95302
1980-03-31,187.45869
1980-04-30,204.5754
1980-05-30,213.06386
1980-06-30,228.92989
1980-07-31,232.9442
1980-08-29,236.03117
1980-09-30,244.4658
1980-10-31,259.78455
1980-11-28,259.91495
1980-12-31,245.34781
1981-01-30,235.53151
1981-02-27,231.12969
1981-03-31,233.19537
1981-04-30,226.86202
1981-05-29,209.27209
1981-06-30,202.08832
1981-07-31,199.25351
1981-08-31,205.83234
1981-09-30,186.52364
1981-10-30,192.49092
1981-11-30,214.63167
1981-12-31,207.47411
1982-01-29,210.55471
1982-02-26,200.79461
1982-03-31,199.35759
1982-04-30,205.49317
1982-05-31,206.39838
1982-06-30,191.36054
1982-07-30,198.09329
1982-08-31,199.97375
1982-09-30,208.17741
1982-10-29,208.38357
1982-11-30,213.66344
1982-12-31,222.81318
1983-01-31,218.14152
1983-02-28,225.79758
1983-03-31,235.06234
1983-04-29,253.50986
1983-05-31,250.81173
1983-06-30,250.99731
1983-07-29,249.05819
1983-08-31,241.29496
1983-09-30,245.7551
1983-10-31,249.1193
1983-11-30,255.16562
1983-12-30,254.76547
1984-01-31,258.53551
1984-02-29,266.34434
1984-03-30,272.87433
1984-04-30,267.5723
1984-05-31,245.60965
1984-06-29,247.22493
1984-07-31,232.29193
1984-08-31,252.02226
1984-09-28,247.25092
1984-10-31,248.84247
1984-11-30,247.48505
1984-12-31,254.50764
1985-01-31,264.92131
1985-02-28,253.17233
1985-03-29,284.37846
1985-04-30,294.15986
1985-05-31,310.14506
1985-06-28,310.8253
1985-07-31,341.83889
1985-08-30,359.95038
1985-09-30,364.25549
1985-10-31,405.7637
1985-11-29,437.97601
1985-12-31,453.76926
1986-01-31,464.13245
1986-02-28,513.25354
1986-03-31,554.2162
1986-04-30,615.51146
1986-05-30,564.21291
1986-06-30,585.20472
1986-07-31,588.21784
1986-08-29,649.23113
1986-09-30,601.36632
1986-10-31,608.32002
1986-11-28,646.36808
1986-12-31,660.90691
1987-01-30,681.81044
1987-02-27,707.27831
1987-03-31,732.96273
1987-04-30,758.7117
1987-05-29,749.39197
1987-06-30,769.44637
1987-07-31,793.66288
1987-08-31,798.42396
1987-09-30,803.60689
1987-10-30,644.81169
1987-11-30,612.22969
1987-12-31,647.33565
1988-01-29,617.14825
1988-02-29,653.53162
1988-03-31,665.18352
1988-04-29,674.0872
1988-05-31,661.01889
1988-06-30,654.95127
1988-07-29,653.54093
1988-08-31,624.58455
1988-09-30,662.45648
1988-10-31,722.13951
1988-11-30,728.34152
1988-12-30,730.9114
1989-01-31,756.22658
1989-02-28,747.4866
1989-03-31,749.5964
1989-04-28,772.84686
1989-05-31,731.72338
1989-06-30,765.36074
1989-07-31,855.78955
1989-08-31,846.42274
1989-09-29,860.46713
1989-10-31,804.28598
1989-11-30,849.27119
1989-12-29,931.02418
1990-01-31,925.85836
1990-02-28,897.48495
1990-03-30,913.56642
1990-04-30,888.29805
1990-05-31,971.0444
1990-06-29,1011.81738
1990-07-31,1056.40816
1990-08-31,952.77707
1990-09-28,838.00103
1990-10-31,925.03652
1990-11-30,928.06482
1990-12-31,914.03505
1991-01-31,948.56589
1991-02-28,1027.04868
1991-03-29,960.5549
1991-04-30,949.54983
1991-05-31,976.16503
1991-06-28,896.76007
1991-07-31,955.67835
1991-08-30,969.89926
1991-09-30,1001.73106
1991-10-31,989.98574
1991-11-29,977.98374
1991-12-31,1066.71784
1992-01-31,1066.49825
1992-02-28,1071.52201
1992-03-31,1036.31773
1992-04-30,1078.96095
1992-05-29,1143.46921
1992-06-30,1136.18985
1992-07-31,1102.16964
1992-08-31,1103.24834
1992-09-30,1084.67635
1992-10-30,1009.88129
1992-11-30,1012.58888
1992-12-31,1030.942
1993-01-29,1013.20918
1993-02-26,1013.31138
1993-03-31,1056.20882
1993-04-30,1077.35468
1993-05-31,1087.29426
1993-06-30,1059.15242
1993-07-30,1046.25675
1993-08-31,1140.76912
1993-09-30,1138.69525
1993-10-29,1185.50978
1993-11-30,1160.43606
1993-12-31,1238.11345
1994-01-31,1290.64038
1994-02-28,1242.61587
1994-03-31,1206.75354
1994-04-29,1253.43199
1994-05-31,1195.63566
1994-06-30,1179.27199
1994-07-29,1238.96583
1994-08-31,1289.12709
1994-09-30,1236.89189
1994-10-31,1282.81259
1994-11-30,1237.42811
1994-12-30,1251.99724
1995-01-31,1240.3722
1995-02-28,1278.2315
1995-03-31,1346.98807
1995-04-28,1389.8357
1995-05-31,1412.72683
1995-06-30,1445.17453
1995-07-31,1519.45674
1995-08-31,1472.62571
