Date,WORLD ex UK GROWTH
1974-12-31,100.0
1975-01-31,112.18426
1975-02-28,123.02416
1975-03-31,125.51663
1975-04-30,130.04174
1975-05-30,132.79687
1975-06-30,134.66913
1975-07-31,125.04211
1975-08-29,121.57877
1975-09-30,115.42348
1975-10-31,124.41802
1975-11-28,129.33213
1975-12-31,127.19854
1976-01-30,138.45967
1976-02-27,136.40194
1976-03-31,138.32075
1976-04-30,135.67794
1976-05-31,133.93526
1976-06-30,137.91773
1976-07-30,135.92142
1976-08-31,136.059
1976-09-30,136.45462
1976-10-29,131.8365
1976-11-30,129.82109
1976-12-31,137.77591
1977-01-31,129.56545
1977-02-28,128.75485
1977-03-31,126.87942
1977-04-29,125.61838
1977-05-31,122.65932
1977-06-30,128.22196
1977-07-29,125.8667
1977-08-31,127.23374
1977-09-30,128.22213
1977-10-31,125.47979
1977-11-30,127.88257
1977-12-30,128.64266
1978-01-31,124.68991
1978-02-28,123.28521
1978-03-31,128.0667
1978-04-28,136.49404
1978-05-31,137.87372
1978-06-30,140.15758
1978-07-31,150.35995
1978-08-31,153.77693
1978-09-29,153.44974
1978-10-31,150.13597
1978-11-30,143.79476
1978-12-29,149.08319
1979-01-31,152.10488
1979-02-28,147.45967
1979-03-30,151.98525
1979-04-30,150.66929
1979-05-31,149.14998
1979-06-29,152.50834
1979-07-31,153.02924
1979-08-31,160.09294
1979-09-28,163.86214
1979-10-31,153.11666
1979-11-30,158.65072
1979-12-31,163.58968
1980-01-31,172.29677
1980-02-29,171.6102
1980-03-31,151.66494
1980-04-30,160.49338
1980-05-30,168.23354
1980-06-30,175.55265
1980-07-31,181.95942
1980-08-29,185.40121
1980-09-30,192.56976
1980-10-31,197.91237
1980-11-28,209.86872
1980-12-31,203.87508
1981-01-30,195.55153
1981-02-27,197.43659
1981-03-31,201.19934
1981-04-30,195.35277
1981-05-29,191.34616
1981-06-30,190.49282
1981-07-31,188.88133
1981-08-31,183.45347
1981-09-30,169.3019
1981-10-30,176.43823
1981-11-30,187.59521
1981-12-31,184.02604
1982-01-29,179.87437
1982-02-26,167.04926
1982-03-31,161.34366
1982-04-30,171.06741
1982-05-31,165.45524
1982-06-30,158.12749
1982-07-30,156.43925
1982-08-31,168.21517
1982-09-30,169.23838
1982-10-29,181.43177
1982-11-30,192.65122
1982-12-31,200.69657
1983-01-31,203.82367
1983-02-28,208.82809
1983-03-31,215.61751
1983-04-29,228.58518
1983-05-31,224.69188
1983-06-30,235.27723
1983-07-29,229.10226
1983-08-31,229.01937
1983-09-30,235.14204
1983-10-31,231.40587
1983-11-30,236.83922
1983-12-30,239.58277
1984-01-31,237.40651
1984-02-29,231.54512
1984-03-30,245.36231
1984-04-30,243.92461
1984-05-31,226.47799
1984-06-29,230.96628
1984-07-31,224.2972
1984-08-31,246.43433
1984-09-28,243.73461
1984-10-31,250.22215
1984-11-30,248.07952
1984-12-31,252.97818
1985-01-31,269.11061
1985-02-28,271.42207
1985-03-29,277.74118
1985-04-30,272.53238
1985-05-31,286.81752
1985-06-28,293.29061
1985-07-31,298.60496
1985-08-30,297.57097
1985-09-30,298.92985
1985-10-31,313.13824
1985-11-29,331.9778
1985-12-31,352.42729
1986-01-31,356.35579
1986-02-28,388.2594
1986-03-31,430.25715
1986-04-30,439.54613
1986-05-30,444.56791
1986-06-30,460.72451
1986-07-31,476.39571
1986-08-29,509.415
1986-09-30,487.11283
1986-10-31,474.06923
1986-11-28,495.63472
1986-12-31,506.41413
1987-01-30,583.97943
1987-02-27,603.41524
1987-03-31,650.39986
1987-04-30,695.93101
1987-05-29,678.91307
1987-06-30,660.923
1987-07-31,668.39545
1987-08-31,723.89513
1987-09-30,691.04411
1987-10-30,579.49928
1987-11-30,562.88157
1987-12-31,576.4959
1988-01-29,590.62288
1988-02-29,631.71533
1988-03-31,646.22931
1988-04-29,644.36608
1988-05-31,626.69626
1988-06-30,620.0789
1988-07-29,624.10099
1988-08-31,596.76806
1988-09-30,625.67137
1988-10-31,671.13428
1988-11-30,697.6511
1988-12-30,705.70753
1989-01-31,721.8854
1989-02-28,713.81111
1989-03-31,708.79603
1989-04-28,723.86788
1989-05-31,705.45948
1989-06-30,693.26375
1989-07-31,779.87953
1989-08-31,757.31193
1989-09-29,780.72453
1989-10-31,760.31294
1989-11-30,795.13996
1989-12-29,812.91
1990-01-31,764.07886
1990-02-28,723.81348
1990-03-30,677.27143
1990-04-30,672.35604
1990-05-31,748.81459
1990-06-29,740.16953
1990-07-31,742.05114
1990-08-31,669.27036
1990-09-28,592.10203
1990-10-31,657.34271
1990-11-30,640.05942
1990-12-31,658.54751
1991-01-31,682.20445
1991-02-28,745.60397
1991-03-29,729.98952
1991-04-30,738.12176
1991-05-31,756.34107
1991-06-28,709.80613
1991-07-31,737.68009
1991-08-30,736.63001
1991-09-30,747.12194
1991-10-31,767.73863
1991-11-29,742.81285
1991-12-31,804.31106
1992-01-31,777.67682
1992-02-28,758.89126
1992-03-31,723.2393
1992-04-30,706.33231
1992-05-29,735.16671
