Date,NORTH AMERICA GROWTH
1974-12-31,100.0
1975-01-31,112.09726
1975-02-28,122.15004
1975-03-31,125.65733
1975-04-30,131.1321
1975-05-30,136.41203
1975-06-30,140.22699
1975-07-31,128.0044
1975-08-29,124.97446
1975-09-30,118.79106
1975-10-31,127.83691
1975-11-28,133.22466
1975-12-31,129.71783
1976-01-30,144.91935
1976-02-27,142.17586
1976-03-31,145.89768
1976-04-30,142.18433
1976-05-31,140.12068
1976-06-30,145.20666
1976-07-30,142.65918
1976-08-31,142.11482
1976-09-30,143.11885
1976-10-29,139.59584
1976-11-30,136.61802
1976-12-31,142.82951
1977-01-31,132.05084
1977-02-28,129.77952
1977-03-31,127.833
1977-04-29,124.95213
1977-05-31,121.08821
1977-06-30,128.40459
1977-07-29,126.90234
1977-08-31,127.05106
1977-09-30,126.40639
1977-10-31,120.73525
1977-11-30,124.26913
1977-12-30,124.49278
1978-01-31,116.718
1978-02-28,112.62638
1978-03-31,113.91537
1978-04-28,127.08679
1978-05-31,128.70994
1978-06-30,127.49784
1978-07-31,136.67448
1978-08-31,140.10471
1978-09-29,136.33676
1978-10-31,125.2589
1978-11-30,127.8274
1978-12-29,131.9435
1979-01-31,136.6607
1979-02-28,131.80499
1979-03-30,139.87242
1979-04-30,140.08004
1979-05-31,138.15531
1979-06-29,142.17042
1979-07-31,141.90694
1979-08-31,150.6748
1979-09-28,151.15099
1979-10-31,141.80785
1979-11-30,149.86988
1979-12-31,153.57189
1980-01-31,163.14589
1980-02-29,164.10677
1980-03-31,144.23222
1980-04-30,148.54615
1980-05-30,155.12982
1980-06-30,162.17628
1980-07-31,174.06728
1980-08-29,175.25947
1980-09-30,181.1462
1980-10-31,185.38936
1980-11-28,206.42703
1980-12-31,196.30887
1981-01-30,185.97973
1981-02-27,190.59099
1981-03-31,193.8037
1981-04-30,185.3404
1981-05-29,183.96552
1981-06-30,182.61513
1981-07-31,185.51029
1981-08-31,174.96392
1981-09-30,162.58208
1981-10-30,172.87016
1981-11-30,181.59885
1981-12-31,175.88041
1982-01-29,171.97622
1982-02-26,160.32508
1982-03-31,157.50981
1982-04-30,166.19626
1982-05-31,159.96911
1982-06-30,155.92909
1982-07-30,154.9798
1982-08-31,173.97248
1982-09-30,177.72233
1982-10-29,197.04856
1982-11-30,206.15753
1982-12-31,210.98131
1983-01-31,216.26442
1983-02-28,221.45826
1983-03-31,227.80295
1983-04-29,243.94191
1983-05-31,239.0314
1983-06-30,252.27273
1983-07-29,240.62253
1983-08-31,242.27109
1983-09-30,246.60828
1983-10-31,240.93859
1983-11-30,246.30234
1983-12-30,244.60739
1984-01-31,235.60956
1984-02-29,226.00023
1984-03-30,229.3101
1984-04-30,230.19466
1984-05-31,219.65437
1984-06-29,225.89317
1984-07-31,224.90364
1984-08-31,248.78556
1984-09-28,244.43496
1984-10-31,247.28084
1984-11-30,242.23939
1984-12-31,247.29508
1985-01-31,269.08784
1985-02-28,270.24393
1985-03-29,270.48404
1985-04-30,266.00468
1985-05-31,281.60826
1985-06-28,284.2679
1985-07-31,287.43594
1985-08-30,283.60814
1985-09-30,274.83605
1985-10-31,284.68107
1985-11-29,309.63066
1985-12-31,327.43752
1986-01-31,326.68394
1986-02-28,350.73798
1986-03-31,372.92298
1986-04-30,373.71825
1986-05-30,391.38166
1986-06-30,397.18727
1986-07-31,373.78596
1986-08-29,392.07782
1986-09-30,353.2953
1986-10-31,372.44205
1986-11-28,380.2356
1986-12-31,373.19898
1987-01-30,426.43923
1987-02-27,453.81813
1987-03-31,464.83436
1987-04-30,459.4009
1987-05-29,460.95621
1987-06-30,484.163
1987-07-31,509.73508
1987-08-31,534.63425
1987-09-30,521.51386
1987-10-30,405.30479
1987-11-30,368.66398
1987-12-31,396.20922
1988-01-29,398.97185
1988-02-29,419.70503
1988-03-31,407.22775
1988-04-29,406.68323
1988-05-31,405.14262
