Date,EAFE GROWTH
1974-12-31,100.0
1975-01-31,118.41922
1975-02-28,134.03755
1975-03-31,133.14875
1975-04-30,138.72847
1975-05-30,137.57316
1975-06-30,131.05902
1975-07-31,126.06518
1975-08-29,125.01943
1975-09-30,119.25775
1975-10-31,128.14344
1975-11-28,131.08399
1975-12-31,132.8107
1976-01-30,138.41417
1976-02-27,136.9447
1976-03-31,133.91149
1976-04-30,132.96955
1976-05-31,128.89022
1976-06-30,130.8094
1976-07-30,129.33657
1976-08-31,129.33279
1976-09-30,126.00808
1976-10-29,117.63905
1976-11-30,119.21088
1976-12-31,133.21569
1977-01-31,132.2294
1977-02-28,134.49979
1977-03-31,132.87865
1977-04-29,135.88221
1977-05-31,135.1387
1977-06-30,138.29599
1977-07-29,134.46612
1977-08-31,140.83834
1977-09-30,146.58689
1977-10-31,149.69031
1977-11-30,148.01814
1977-12-30,151.50906
1978-01-31,153.53511
1978-02-28,155.0099
1978-03-31,165.91349
1978-04-28,164.67066
1978-05-31,166.63802
1978-06-30,174.65165
1978-07-31,188.79367
1978-08-31,192.76151
1978-09-29,199.30455
1978-10-31,209.8988
1978-11-30,188.40328
1978-12-29,196.13073
1979-01-31,195.64534
1979-02-28,194.06722
1979-03-30,198.99694
1979-04-30,196.87577
1979-05-31,192.72371
1979-06-29,195.28217
1979-07-31,198.00401
1979-08-31,202.28383
1979-09-28,212.10958
1979-10-31,196.5267
1979-11-30,198.97409
1979-12-31,204.71408
1980-01-31,215.22254
1980-02-29,214.81212
1980-03-31,189.64515
1980-04-30,207.41232
1980-05-30,217.64018
1980-06-30,230.68918
1980-07-31,229.34136
1980-08-29,237.68195
1980-09-30,248.85821
1980-10-31,262.63679
1980-11-28,259.24832
1980-12-31,256.0728
1981-01-30,250.89654
1981-02-27,246.08166
1981-03-31,251.11987
1981-04-30,249.8329
1981-05-29,238.48831
1981-06-30,235.83032
1981-07-31,225.56154
1981-08-31,231.51704
1981-09-30,206.64801
1981-10-30,209.10527
1981-11-30,230.12252
1981-12-31,229.16029
1982-01-29,227.20029
1982-02-26,209.90344
1982-03-31,200.30872
1982-04-30,212.24806
1982-05-31,209.54286
1982-06-30,194.90603
1982-07-30,194.77592
1982-08-31,194.43527
1982-09-30,195.06874
1982-10-29,193.9515
1982-11-30,208.04478
1982-12-31,221.59196
1983-01-31,219.12187
1983-02-28,224.41251
1983-03-31,231.3004
1983-04-29,244.22322
1983-05-31,243.46989
1983-06-30,248.03314
1983-07-29,250.14419
1983-08-31,245.68368
1983-09-30,254.07252
1983-10-31,253.54826
1983-11-30,260.73583
1983-12-30,270.4123
1984-01-31,280.07695
1984-02-29,282.93404
1984-03-30,316.10054
1984-04-30,309.95401
1984-05-31,275.04762
1984-06-29,277.16316
1984-07-31,258.24346
1984-08-31,281.10827
1984-09-28,280.04699
1984-10-31,292.21519
1984-11-30,295.99923
1984-12-31,303.82155
1985-01-31,310.3042
1985-02-28,311.08569
1985-03-29,336.30737
1985-04-30,332.07432
1985-05-31,346.47392
1985-06-28,355.11198
1985-07-31,373.24029
1985-08-30,381.0628
1985-09-30,396.3343
1985-10-31,424.33395
1985-11-29,438.96526
1985-12-31,457.5425
1986-01-31,467.77332
1986-02-28,520.8436
1986-03-31,598.0553
1986-04-30,625.31692
1986-05-30,602.55716
1986-06-30,639.88993
1986-07-31,702.15308
1986-08-29,761.1958
1986-09-30,752.52695
1986-10-31,693.68811
1986-11-28,737.82817
1986-12-31,779.27897
1987-01-30,899.62248
1987-02-27,923.42988
1987-03-31,1023.44327
1987-04-30,1149.10659
1987-05-29,1113.03342
1987-06-30,1040.00809
1987-07-31,1024.22291
1987-08-31,1117.756
1987-09-30,1067.18874
1987-10-30,930.14576
1987-11-30,934.82481
1987-12-31,942.9665
1988-01-29,970.9629
1988-02-29,1037.26281
1988-03-31,1091.99038
1988-04-29,1092.19705
1988-05-31,1048.14728
1988-06-30,1007.59006
1988-07-29,1021.40607
1988-08-31,967.39623
1988-09-30,1016.70692
1988-10-31,1115.29611
1988-11-30,1186.22399
1988-12-30,1191.47969
1989-01-31,1202.80915
1989-02-28,1197.82442
1989-03-31,1172.76525
1989-04-28,1175.96493
1989-05-31,1100.51675
1989-06-30,1077.18738
1989-07-31,1222.23493
1989-08-31,1163.05733
1989-09-29,1211.16526
1989-10-31,1161.22672
1989-11-30,1227.83497
1989-12-29,1266.22072
1990-01-31,1209.56213
1990-02-28,1114.11665
1990-03-30,985.70192
1990-04-30,974.44903
1990-05-31,1096.7543
1990-06-29,1080.34714
1990-07-31,1092.2226
1990-08-31,988.10978
1990-09-28,838.04917
1990-10-31,985.485
1990-11-30,928.58199
1990-12-31,949.06888
1991-01-31,984.33286
1991-02-28,1080.99047
1991-03-29,1019.60063
1991-04-30,1030.15991
1991-05-31,1042.66052
1991-06-28,964.50644
1991-07-31,1006.28302
1991-08-30,987.02261
1991-09-30,1037.17357
1991-10-31,1067.67922
1991-11-29,1030.03128
1991-12-31,1082.73772
1992-01-31,1045.60148
1992-02-28,1004.43348
1992-03-31,937.50223
1992-04-30,916.58309
1992-05-29,985.11956
1992-06-30,941.47465
1992-07-31,926.58568
1992-08-31,999.18478
1992-09-30,978.46831
1992-10-30,927.63917
1992-11-30,940.65034
1992-12-31,941.84276
1993-01-29,933.28382
1993-02-26,959.91788
1993-03-31,1028.09357
1993-04-30,1111.14921
1993-05-31,1143.86386
1993-06-30,1133.49924
1993-07-30,1166.58855
1993-08-31,1226.20455
1993-09-30,1196.27997
1993-10-29,1233.99396
1993-11-30,1112.97647
1993-12-31,1178.60183
1994-01-31,1267.23833
1994-02-28,1257.66
1994-03-31,1195.75512
1994-04-29,1245.10632
1994-05-31,1230.60201
1994-06-30,1242.26873
1994-07-29,1253.13962
1994-08-31,1281.5658
1994-09-30,1238.76771
1994-10-31,1273.47327
1994-11-30,1216.22372
1994-12-30,1231.91348
1995-01-31,1184.63553
1995-02-28,1184.20614
1995-03-31,1258.70139
1995-04-28,1314.39172
1995-05-31,1299.29199
1995-06-30,1272.3456
1995-07-31,1353.47489
1995-08-31,1296.52441
1995-09-29,1326.1777
1995-10-31,1290.33379
1995-11-30,1325.87314
1995-12-29,1372.06763
1996-01-31,1373.01669
1996-02-29,1377.72906
1996-03-29,1410.81015
1996-04-30,1444.958
1996-05-31,1414.8092
1996-06-28,1419.76464
1996-07-31,1373.78077
1996-08-30,1375.10976
1996-09-30,1412.81284
1996-10-31,1401.10829
1996-11-29,1445.8951
1996-12-31,1419.59216
1997-01-31,1360.4283681227041
