Date,PACIFIC GROWTH
1974-12-31,100.0
1975-01-31,108.05386
1975-02-28,121.65931
1975-03-31,123.05458
1975-04-30,123.04282
1975-05-30,122.47862
1975-06-30,122.25725
1975-07-31,116.72597
1975-08-29,110.87385
1975-09-30,105.96836
1975-10-31,114.39865
1975-11-28,118.05438
1975-12-31,119.27099
1976-01-30,125.46307
1976-02-27,125.81391
1976-03-31,125.97882
1976-04-30,126.17086
1976-05-31,126.10878
1976-06-30,130.47505
1976-07-30,129.52779
1976-08-31,133.97735
1976-09-30,132.32369
1976-10-29,125.29062
1976-11-30,121.14199
1976-12-31,141.14227
1977-01-31,137.27112
1977-02-28,141.17934
1977-03-31,138.88385
1977-04-29,139.21496
1977-05-31,139.67832
1977-06-30,143.69293
1977-07-29,137.77657
1977-08-31,144.03716
1977-09-30,149.21288
1977-10-31,151.05782
1977-11-30,150.03128
1977-12-30,147.96289
1978-01-31,153.81973
1978-02-28,158.8517
1978-03-31,177.20208
1978-04-28,177.94618
1978-05-31,178.53987
1978-06-30,195.05833
1978-07-31,210.2896
1978-08-31,211.48484
1978-09-29,217.50315
1978-10-31,231.07499
1978-11-30,205.29414
1978-12-29,211.86328
1979-01-31,210.27587
1979-02-28,203.30088
1979-03-30,198.49917
1979-04-30,192.48191
1979-05-31,196.59233
1979-06-29,194.84727
1979-07-31,195.76175
1979-08-31,198.86181
1979-09-28,206.23757
1979-10-31,193.84734
1979-11-30,187.88438
1979-12-31,201.60756
1980-01-31,210.9449
1980-02-29,205.16132
1980-03-31,191.43827
1980-04-30,209.9022
1980-05-30,222.14707
1980-06-30,231.81291
1980-07-31,224.1971
1980-08-29,238.64684
1980-09-30,252.9911
1980-10-31,264.73702
1980-11-28,256.96404
1980-12-31,268.05793
1981-01-30,268.69122
1981-02-27,263.38595
1981-03-31,272.11888
1981-04-30,276.48578
1981-05-29,272.04884
1981-06-30,274.40759
1981-07-31,255.86928
1981-08-31,261.17705
1981-09-30,230.04337
1981-10-30,228.93178
1981-11-30,249.21417
1981-12-31,254.3181
1982-01-29,247.32825
1982-02-26,221.94558
1982-03-31,203.56071
1982-04-30,221.37288
1982-05-31,215.07784
1982-06-30,200.66552
1982-07-30,193.81483
1982-08-31,191.26682
1982-09-30,184.40878
1982-10-29,182.01316
1982-11-30,204.61999
1982-12-31,222.4767
1983-01-31,222.07535
1983-02-28,225.15987
1983-03-31,229.82366
1983-04-29,238.00488
1983-05-31,238.96386
1983-06-30,247.45686
1983-07-29,253.19311
1983-08-31,251.63099
1983-09-30,263.57647
1983-10-31,259.46531
1983-11-30,267.74859
1983-12-30,286.74584
1984-01-31,301.85391
1984-02-29,300.22802
1984-03-30,357.16044
1984-04-30,350.21182
1984-05-31,303.17288
1984-06-29,305.75953
1984-07-31,283.07904
1984-08-31,308.91059
1984-09-28,311.24087
1984-10-31,333.10994
1984-11-30,341.5999
1984-12-31,350.18626
1985-01-31,352.99776
1985-02-28,365.64477
1985-03-29,385.14239
1985-04-30,367.16698
1985-05-31,379.89873
1985-06-28,396.47971
1985-07-31,401.49954
1985-08-30,398.89797
1985-09-30,425.06286
1985-10-31,439.72112
1985-11-29,437.22746
1985-12-31,458.3966
1986-01-31,468.43526
1986-02-28,525.06767
1986-03-31,636.86664
1986-04-30,631.70576
1986-05-30,637.08477
1986-06-30,690.01914
1986-07-31,808.91657
1986-08-29,865.89054
1986-09-30,895.08563
1986-10-31,773.29574
1986-11-28,823.13828
1986-12-31,890.69026
1987-01-30,1108.13505
1987-02-27,1130.15608
1987-03-31,1303.04069
1987-04-30,1528.92486
1987-05-29,1466.03225
1987-06-30,1298.54403
1987-07-31,1241.31077
1987-08-31,1425.86945
1987-09-30,1317.887
1987-10-30,1205.09974
1987-11-30,1247.16528
1987-12-31,1227.87075
1988-01-29,1313.25792
1988-02-29,1408.73265
1988-03-31,1506.28713
1988-04-29,1497.67558
1988-05-31,1422.92636
1988-06-30,1347.29843
1988-07-29,1376.31142
1988-08-31,1297.83417
1988-09-30,1357.88546
1988-10-31,1493.91178
1988-11-30,1627.33827
1988-12-30,1635.18201
1989-01-31,1632.28721
1989-02-28,1631.16668
1989-03-31,1579.17545
1989-04-28,1563.33106
1989-05-31,1454.93471
1989-06-30,1377.86388
1989-07-31,1575.41179
1989-08-31,1468.51821
1989-09-29,1549.26857
1989-10-31,1504.52982
1989-11-30,1591.8854
1989-12-29,1591.47863
1990-01-31,1486.59489
1990-02-28,1327.48842
1990-03-30,1063.16503
1990-04-30,1064.31335
1990-05-31,1223.08399
