Date,EASEA INDEX (EAFE ex JAPAN) GROWTH
1974-12-31,100.0
1975-01-31,125.11612
1975-02-28,141.09136
1975-03-31,139.02819
1975-04-30,147.79079
1975-05-30,147.26013
1975-06-30,137.0283
1975-07-31,132.34115
1975-08-29,133.77279
1975-09-30,128.81575
1975-10-31,137.47705
1975-11-28,140.75183
1975-12-31,143.36914
1976-01-30,148.97243
1976-02-27,146.70329
1976-03-31,142.01813
1976-04-30,140.64782
1976-05-31,134.16543
1976-06-30,134.44395
1976-07-30,133.81713
1976-08-31,130.9899
1976-09-30,125.91591
1976-10-29,116.53178
1976-11-30,119.6657
1976-12-31,130.49449
1977-01-31,131.33916
1977-02-28,132.03027
1977-03-31,131.31489
1977-04-29,135.9063
1977-05-31,134.5197
1977-06-30,136.83967
1977-07-29,134.0783
1977-08-31,139.47907
1977-09-30,144.84781
1977-10-31,148.87527
1977-11-30,146.74397
1977-12-30,154.20474
1978-01-31,152.88871
1978-02-28,151.41493
1978-03-31,156.96523
1978-04-28,155.01458
1978-05-31,158.51652
1978-06-30,160.55688
1978-07-31,173.49992
1978-08-31,180.82204
1978-09-29,186.57139
1978-10-31,194.42797
1978-11-30,175.10743
1978-12-29,183.43743
1979-01-31,185.10145
1979-02-28,187.42855
1979-03-30,198.80008
1979-04-30,199.46099
1979-05-31,190.00101
1979-06-29,194.87991
1979-07-31,199.72596
1979-08-31,205.97371
1979-09-28,219.46326
1979-10-31,202.65829
1979-11-30,210.98557
1979-12-31,214.57123
1980-01-31,230.06766
1980-02-29,234.7201
1980-03-31,196.70797
1980-04-30,215.20547
1980-05-30,226.5402
1980-06-30,245.21979
1980-07-31,249.98673
1980-08-29,255.74316
1980-09-30,265.09175
1980-10-31,284.88797
1980-11-28,282.867
1980-12-31,268.72933
1981-01-30,257.93233
1981-02-27,252.24801
1981-03-31,254.81583
1981-04-30,248.13847
1981-05-29,234.37732
1981-06-30,227.57242
1981-07-31,220.10174
1981-08-31,224.00745
