Date,FAR EAST GROWTH
1974-12-31,100.0
1975-01-31,106.84727
1975-02-28,122.06019
1975-03-31,123.93397
1975-04-30,124.04377
1975-05-30,121.49806
1975-06-30,121.99362
1975-07-31,115.95698
1975-08-29,109.99327
1975-09-30,103.30502
1975-10-31,112.3545
1975-11-28,115.13113
1975-12-31,115.92961
1976-01-30,122.91571
1976-02-27,123.26011
1976-03-31,123.28871
1976-04-30,123.09052
1976-05-31,122.87851
1976-06-30,127.85903
1976-07-30,124.57761
1976-08-31,129.83055
1976-09-30,129.48692
1976-10-29,123.01476
1976-11-30,121.82476
1976-12-31,142.23213
1977-01-31,137.58818
1977-02-28,142.3124
1977-03-31,138.71447
1977-04-29,139.23112
1977-05-31,139.42152
1977-06-30,143.98495
1977-07-29,138.47286
1977-08-31,146.32387
1977-09-30,152.0945
1977-10-31,153.56169
1977-11-30,152.82571
1977-12-30,149.59938
1978-01-31,156.76571
1978-02-28,163.19841
1978-03-31,182.76406
1978-04-28,182.84093
1978-05-31,182.78701
1978-06-30,201.38875
1978-07-31,217.24913
1978-08-31,217.3708
1978-09-29,223.63202
1978-10-31,239.49842
1978-11-30,211.95019
1978-12-29,218.28635
1979-01-31,215.81991
1979-02-28,207.56288
1979-03-30,201.98917
1979-04-30,195.95304
1979-05-31,200.01824
1979-06-29,198.42106
1979-07-31,198.59343
1979-08-31,199.84852
1979-09-28,205.98776
1979-10-31,192.43415
1979-11-30,186.83185
1979-12-31,197.66191
1980-01-31,202.29261
1980-02-29,194.9604
1980-03-31,187.52694
1980-04-30,205.63738
1980-05-30,215.10996
1980-06-30,222.99591
1980-07-31,215.23539
1980-08-29,228.93794
1980-09-30,241.45083
1980-10-31,250.47668
1980-11-28,244.47778
1980-12-31,258.32543
1981-01-30,264.2693
1981-02-27,260.77581
1981-03-31,266.74081
1981-04-30,272.83843
1981-05-29,268.23784
1981-06-30,272.61446
1981-07-31,256.20656
1981-08-31,261.60113
1981-09-30,230.02061
1981-10-30,230.16659
1981-11-30,250.44121
1981-12-31,256.26886
1982-01-29,251.16152
1982-02-26,226.14465
1982-03-31,207.02724
1982-04-30,224.28233
1982-05-31,217.58954
1982-06-30,203.77763
1982-07-30,197.09004
1982-08-31,193.68298
1982-09-30,185.76513
1982-10-29,182.93004
1982-11-30,208.0752
1982-12-31,227.18328
1983-01-31,224.55541
1983-02-28,229.64886
1983-03-31,236.04401
1983-04-29,242.86139
1983-05-31,242.80554
1983-06-30,252.87965
1983-07-29,257.26792
1983-08-31,255.12274
1983-09-30,268.00904
1983-10-31,264.51057
1983-11-30,271.35717
1983-12-30,291.68339
1984-01-31,308.48808
1984-02-29,307.65972
1984-03-30,370.68253
1984-04-30,363.10284
1984-05-31,314.81581
1984-06-29,317.69599
1984-07-31,292.67391
1984-08-31,318.91102
1984-09-28,321.54851
1984-10-31,344.90349
1984-11-30,354.32512
1984-12-31,365.55306
1985-01-31,366.87325
1985-02-28,383.28549
1985-03-29,404.33603
1985-04-30,385.57404
1985-05-31,399.4376
1985-06-28,417.69955
1985-07-31,418.96028
1985-08-30,417.07493
1985-09-30,444.91902
1985-10-31,460.30111
1985-11-29,459.43614
1985-12-31,482.92706
1986-01-31,489.98092
1986-02-28,555.14286
1986-03-31,675.73984
1986-04-30,665.4503
1986-05-30,671.99184
1986-06-30,735.23722
1986-07-31,872.7741
1986-08-29,933.51464
1986-09-30,963.42755
1986-10-31,824.51758
1986-11-28,878.93464
1986-12-31,950.34504
1987-01-30,1190.59603
1987-02-27,1208.29735
1987-03-31,1397.11756
1987-04-30,1646.221
1987-05-29,1575.79757
1987-06-30,1389.66738
1987-07-31,1318.59641
1987-08-31,1516.12169
1987-09-30,1394.31799
1987-10-30,1305.37211
1987-11-30,1347.7028
1987-12-31,1324.95654
1988-01-29,1423.83359
1988-02-29,1531.71557
1988-03-31,1632.80635
1988-04-29,1620.02051
1988-05-31,1529.22429
1988-06-30,1445.58274
1988-07-29,1475.45307
1988-08-31,1389.6114
1988-09-30,1459.46878
1988-10-31,1608.40848
1988-11-30,1759.004
1988-12-30,1768.04869
1989-01-31,1759.70012
1989-02-28,1767.17679
1989-03-31,1708.2364
1989-04-28,1688.81645
1989-05-31,1569.59987
1989-06-30,1481.88816
1989-07-31,1697.44943
1989-08-31,1572.3331
1989-09-29,1664.01988
1989-10-31,1616.4992
1989-11-30,1715.69887
1989-12-29,1712.03416
1990-01-31,1596.6846
1990-02-28,1423.18475
1990-03-30,1129.36681
1990-04-30,1134.67111
1990-05-31,1306.45508
1990-06-29,1229.98515
1990-07-31,1207.4353
1990-08-31,1090.31067
1990-09-28,888.72738
1990-10-31,1115.09068
1990-11-30,994.56473
1990-12-31,1051.63117
1991-01-31,1090.15863
1991-02-28,1212.45965
1991-03-29,1147.42045
1991-04-30,1174.36107
1991-05-31,1176.96526
1991-06-28,1088.94878
1991-07-31,1116.32422
1991-08-30,1063.84855
1991-09-30,1136.09962
1991-10-31,1207.27604
1991-11-29,1144.82706
1991-12-31,1170.92256
1992-01-31,1095.23857
1992-02-28,1004.3114
1992-03-31,898.35778
1992-04-30,813.70605
1992-05-29,893.12922
1992-06-30,812.45848
