Date,EUROPE ex UK GROWTH
1974-12-31,100.0
1975-01-31,115.98997
1975-02-28,127.35618
1975-03-31,127.06392
1975-04-30,132.11579
1975-05-30,128.55882
1975-06-30,125.25042
1975-07-31,121.20147
1975-08-29,118.24922
1975-09-30,111.18578
1975-10-31,120.49865
1975-11-28,124.76682
1975-12-31,124.78033
1976-01-30,125.71349
1976-02-27,124.02439
1976-03-31,120.73716
1976-04-30,119.40447
1976-05-31,117.32854
1976-06-30,117.03577
1976-07-30,116.07501
1976-08-31,114.76548
1976-09-30,114.80583
1976-10-29,108.4835
1976-11-30,111.70428
1976-12-31,115.31038
1977-01-31,112.44017
1977-02-28,112.6683
1977-03-31,111.42928
1977-04-29,114.40388
1977-05-31,111.573
1977-06-30,112.38596
1977-07-29,110.2774
1977-08-31,111.47426
1977-09-30,114.37791
1977-10-31,118.35091
1977-11-30,119.71206
1977-12-30,125.11908
1978-01-31,126.28722
1978-02-28,128.85351
1978-03-31,133.85508
1978-04-28,131.31236
1978-05-31,132.51667
1978-06-30,134.26113
1978-07-31,143.40835
1978-08-31,148.89274
1978-09-29,156.64573
1978-10-31,166.14814
1978-11-30,147.61977
1978-12-29,155.94339
1979-01-31,157.76033
1979-02-28,155.77906
1979-03-30,157.44218
1979-04-30,155.1049
1979-05-31,149.11642
1979-06-29,155.53401
1979-07-31,158.66318
1979-08-31,163.89788
1979-09-28,176.1898
1979-10-31,161.52649
1979-11-30,169.70867
1979-12-31,170.67626
1980-01-31,176.14552
1980-02-29,174.59379
1980-03-31,147.17175
1980-04-30,163.29806
1980-05-30,171.06953
1980-06-30,177.38384
1980-07-31,178.79937
1980-08-29,179.08507
1980-09-30,183.83901
1980-10-31,186.90427
1980-11-28,187.44518
1980-12-31,178.21515
1981-01-30,167.26164
1981-02-27,167.04564
1981-03-31,167.91464
1981-04-30,160.22497
1981-05-29,146.73587
1981-06-30,144.1277
1981-07-31,143.41933
1981-08-31,145.69106
1981-09-30,142.09586
1981-10-30,147.08874
1981-11-30,158.3735
1981-12-31,152.76588
1982-01-29,150.53944
1982-02-26,146.45788
1982-03-31,143.11312
1982-04-30,148.12935
1982-05-31,145.26566
1982-06-30,132.19575
1982-07-30,133.72385
1982-08-31,134.25058
1982-09-30,133.73273
1982-10-29,135.67087
1982-11-30,142.56862
1982-12-31,152.53865
1983-01-31,151.49509
1983-02-28,158.64894
1983-03-31,170.50224
1983-04-29,178.03837
1983-05-31,171.32857
1983-06-30,174.62443
1983-07-29,174.98503
1983-08-31,169.43594
1983-09-30,176.04421
1983-10-31,180.94879
1983-11-30,183.52091
1983-12-30,184.48729
1984-01-31,188.91894
1984-02-29,193.23362
1984-03-30,195.16035
1984-04-30,190.46819
1984-05-31,179.94996
1984-06-29,179.48634
1984-07-31,167.82342
1984-08-31,179.45713
1984-09-28,177.00305
1984-10-31,179.15958
1984-11-30,174.89672
1984-12-31,174.712
1985-01-31,186.24557
1985-02-28,179.9037
1985-03-29,195.0483
1985-04-30,202.48424
1985-05-31,214.26228
1985-06-28,224.64164
1985-07-31,239.85779
1985-08-30,252.54107
1985-09-30,265.29706
1985-10-31,298.18804
1985-11-29,321.46893
1985-12-31,353.66435
1986-01-31,368.83096
1986-02-28,403.56957
1986-03-31,437.63286
1986-04-30,499.33073
1986-05-30,457.20046
1986-06-30,467.01467
1986-07-31,495.78236
1986-08-29,557.15659
1986-09-30,525.82373
1986-10-31,531.81481
1986-11-28,571.46784
1986-12-31,577.57907
1987-01-30,575.89875
1987-02-27,565.07413
1987-03-31,589.4435
1987-04-30,602.77246
1987-05-29,573.21698
1987-06-30,588.49658
1987-07-31,611.22919
1987-08-31,624.83286
1987-09-30,609.73518
1987-10-30,497.44009
1987-11-30,473.71783
1987-12-31,482.88722
1988-01-29,447.38129
1988-02-29,497.36894
1988-03-31,501.26025
1988-04-29,503.18435
1988-05-31,499.39056
1988-06-30,497.49293
1988-07-29,496.14693
1988-08-31,483.70707
1988-09-30,516.51082
1988-10-31,569.27966
1988-11-30,575.0834
1988-12-30,584.45618
1989-01-31,576.43858
1989-02-28,571.82468
1989-03-31,571.647
1989-04-28,593.41246
1989-05-31,566.57015
1989-06-30,605.5585
1989-07-31,671.49628
1989-08-31,664.46057
1989-09-29,690.53479
1989-10-31,655.39494
1989-11-30,695.19823
1989-12-29,769.27427
1990-01-31,760.02024
1990-02-28,737.15487
1990-03-30,771.13799
1990-04-30,764.36041
1990-05-31,810.42252
1990-06-29,832.45485
1990-07-31,873.27451
1990-08-31,766.38201
1990-09-28,655.36313
1990-10-31,733.20809
1990-11-30,712.91547
1990-12-31,697.24106
1991-01-31,716.79922
1991-02-28,780.66112
1991-03-29,715.58077
1991-04-30,710.67716
1991-05-31,740.83413
1991-06-28,675.72578
1991-07-31,698.12311
1991-08-30,703.56564
1991-09-30,719.87423
1991-10-31,707.0263
1991-11-29,705.56106
1991-12-31,762.09023
1992-01-31,766.31512
1992-02-28,777.93145
1992-03-31,761.86442
1992-04-30,768.03521
1992-05-29,812.32109
1992-06-30,818.25304
1992-07-31,789.58469
1992-08-31,790.94088
1992-09-30,778.73729
1992-10-30,732.4279
1992-11-30,730.55188
1992-12-31,738.26958
1993-01-29,738.27098
1993-02-26,759.80927
1993-03-31,787.65221
1993-04-30,802.39516
1993-05-31,814.69544
1993-06-30,790.938
1993-07-30,779.23839
1993-08-31,854.10903
1993-09-30,863.84188
1993-10-29,901.23363
1993-11-30,865.78431
1993-12-31,927.52622
1994-01-31,973.26037
1994-02-28,943.59696
1994-03-31,942.87319
1994-04-29,976.14907
1994-05-31,936.58374
1994-06-30,921.05142
1994-07-29,965.31586
1994-08-31,995.32719
1994-09-30,962.79361
1994-10-31,992.12658
1994-11-30,958.7204
1994-12-30,974.18124
1995-01-31,967.25087
1995-02-28,1008.04839
1995-03-31,1051.68735
1995-04-28,1095.81841
1995-05-31,1112.48802
1995-06-30,1141.75761
1995-07-31,1203.70964
1995-08-31,1161.50174
1995-09-29,1197.45203
1995-10-31,1184.78658
1995-11-30,1191.1397
1995-12-29,1227.43169
1996-01-31,1247.78702
1996-02-29,1280.07069
1996-03-29,1313.06651
1996-04-30,1305.33068
1996-05-31,1309.96856
1996-06-28,1337.05729
1996-07-31,1305.87055
1996-08-30,1326.04408
1996-09-30,1355.69175
1996-10-31,1378.969
1996-11-29,1442.62879
1996-12-31,1460.68612
1997-01-31,1480.1137465817549
1997-02-28,1475.2797625068663
1997-03-31,1532.6655694689946
1997-04-30,1505.3293317641458
1997-05-30,1562.3771690078054
1997-06-30,1682.3032943646515
1997-07-31,1760.6251111587162
1997-08-29,1619.7628050605763
1997-09-30,1771.8489278234645
1997-10-31,1658.1688806734567
1997-11-28,1692.3438108311577
1997-12-31,1743.2741816874586
1998-01-30,1816.7379683374722
1998-02-27,1975.2650433288466
1998-03-31,2069.805898891751
1998-04-30,2108.6651278045083
1998-05-29,2193.7653811290706
1998-06-30,2245.85997677401
1998-07-31,2302.4192015242124
1998-08-31,2013.3559084013716
1998-09-30,1929.846184667734
1998-10-30,2118.8001566015423
1998-11-30,2228.82300319544
1998-12-31,2376.2306323151925
1999-01-29,2374.7802209179345
1999-02-26,2238.215096973008
1999-03-31,2159.7355625716978
1999-04-30,2142.3694121595677
1999-05-31,2073.329727445835
1999-06-30,2115.4871422794786
1999-07-30,2092.977359775563
1999-08-31,2141.736953270188
1999-09-30,2154.6535885560456
1999-10-29,2263.6203188381314
1999-11-30,2427.1840630100987
1999-12-31,2784.4695355461613
2000-01-31,2684.638001560524
2000-02-29,2985.646914322119
2000-03-31,2973.1988142887803
2000-04-28,2788.710220196155
2000-05-31,2699.3212293097563
2000-06-30,2728.953296720538
2000-07-31,2580.5311556665624
2000-08-31,2488.6931891812665
2000-09-29,2321.7930142373675
2000-10-31,2273.9800612144436
2000-11-30,2145.5201352893346
2000-12-29,2262.8405521428936
2001-01-01,2262.8405521428936
2001-01-02,2237.159858418361
2001-01-03,2196.7226571253473
2001-01-04,2256.767841796498
2001-01-05,2254.973503879775
2001-01-08,2227.7710170522782
2001-01-09,2181.2986132161377
2001-01-10,2173.1077688773316
2001-01-11,2239.254693050321
2001-01-12,2278.6720743408937
2001-01-15,2257.529626998047
2001-01-16,2219.4762560407053
2001-01-17,2260.958727153111
