Date,WORLD ex AUSTRALIA GROWTH
1974-12-31,100.0
1975-01-31,114.35823
1975-02-28,126.63483
1975-03-31,128.60763
1975-04-30,134.23613
1975-05-30,136.91508
1975-06-30,136.97307
1975-07-31,127.34756
1975-08-29,125.11994
1975-09-30,118.83688
1975-10-31,127.92234
1975-11-28,132.30014
1975-12-31,130.61366
1976-01-30,142.48167
1976-02-27,140.16369
1976-03-31,141.38442
1976-04-30,138.61357
1976-05-31,135.71253
1976-06-30,139.67805
1976-07-30,137.18538
1976-08-31,136.87619
1976-09-30,136.46106
1976-10-29,131.2064
1976-11-30,130.4025
1976-12-31,139.44708
1977-01-31,132.21523
1977-02-28,131.70863
1977-03-31,129.70893
1977-04-29,129.07275
1977-05-31,126.30343
1977-06-30,132.14736
1977-07-29,129.87037
1977-08-31,132.56313
1977-09-30,134.38646
1977-10-31,131.81076
1977-11-30,133.51531
1977-12-30,134.8299
1978-01-31,130.69577
1978-02-28,128.75448
1978-03-31,133.58523
1978-04-28,141.52773
1978-05-31,143.20595
1978-06-30,145.46375
1978-07-31,156.52756
1978-08-31,160.06312
1978-09-29,159.8437
1978-10-31,156.84258
1978-11-30,150.13089
1978-12-29,155.5504
1979-01-31,158.14223
1979-02-28,154.4625
1979-03-30,161.31205
1979-04-30,160.73165
1979-05-31,157.86679
1979-06-29,161.42393
1979-07-31,162.15824
1979-08-31,168.96091
1979-09-28,172.70576
1979-10-31,160.89141
1979-11-30,167.03473
1979-12-31,170.87423
1980-01-31,180.01664
1980-02-29,180.31258
1980-03-31,159.41947
1980-04-30,168.62771
1980-05-30,176.03772
1980-06-30,185.03098
1980-07-31,191.98883
1980-08-29,195.59321
1980-09-30,203.04913
1980-10-31,210.46597
1980-11-28,222.41258
1980-12-31,215.21143
1981-01-30,207.67967
1981-02-27,208.94827
1981-03-31,212.31408
1981-04-30,206.74997
1981-05-29,201.52662
1981-06-30,199.94358
1981-07-31,198.57134
1981-08-31,194.04067
1981-09-30,177.29246
1981-10-30,184.95364
1981-11-30,198.04731
1981-12-31,194.08267
1982-01-29,191.29009
1982-02-26,177.86131
1982-03-31,172.65467
1982-04-30,182.26617
1982-05-31,177.35547
1982-06-30,169.61271
1982-07-30,169.11751
1982-08-31,180.98878
1982-09-30,183.56515
1982-10-29,195.451
1982-11-30,206.6003
1982-12-31,214.67908
1983-01-31,216.72621
1983-02-28,222.32323
1983-03-31,229.18096
1983-04-29,243.91017
1983-05-31,240.31646
1983-06-30,250.55216
1983-07-29,243.64513
1983-08-31,242.90552
1983-09-30,248.80148
1983-10-31,245.15941
1983-11-30,250.87438
1983-12-30,253.25379
1984-01-31,251.11048
1984-02-29,246.20311
1984-03-30,260.82866
1984-04-30,259.12085
1984-05-31,240.00801
1984-06-29,244.81026
1984-07-31,237.13855
1984-08-31,260.59642
1984-09-28,257.41746
1984-10-31,263.68305
1984-11-30,261.92783
1984-12-31,268.41543
1985-01-31,284.34063
1985-02-28,285.7961
1985-03-29,295.55564
1985-04-30,291.31072
1985-05-31,306.66948
1985-06-28,311.60035
1985-07-31,319.76267
1985-08-30,320.47951
1985-09-30,320.4895
1985-10-31,337.28518
1985-11-29,358.91538
1985-12-31,377.22436
1986-01-31,380.01487
1986-02-28,416.11001
1986-03-31,459.63012
1986-04-30,470.18094
1986-05-30,471.64767
1986-06-30,491.02291
1986-07-31,503.42454
1986-08-29,537.86653
1986-09-30,510.79639
1986-10-31,497.60565
1986-11-28,519.98765
1986-12-31,531.90787
1987-01-30,612.36665
1987-02-27,637.06907
1987-03-31,683.927
1987-04-30,731.53152
1987-05-29,717.64995
1987-06-30,701.6014
1987-07-31,708.83357
1987-08-31,760.50675
1987-09-30,731.67027
1987-10-30,614.30776
1987-11-30,594.21849
1987-12-31,613.21191
1988-01-29,627.20759
1988-02-29,666.90175
1988-03-31,681.61893
1988-04-29,680.83324
1988-05-31,660.1405
1988-06-30,652.84452
1988-07-29,656.23041
1988-08-31,625.74966
1988-09-30,657.13593
1988-10-31,705.03308
1988-11-30,731.59792
1988-12-30,738.4781
1989-01-31,760.11299
1989-02-28,752.81181
1989-03-31,748.26972
1989-04-28,764.01208
1989-05-31,741.97586
1989-06-30,730.29559
1989-07-31,822.35344
1989-08-31,798.58544
1989-09-29,820.33995
1989-10-31,794.63886
1989-11-30,832.02469
1989-12-29,853.71357
