Date,WORLD ex USA GROWTH
1974-12-31,100.0
1975-01-31,118.24366
1975-02-28,132.498
1975-03-31,131.21417
1975-04-30,136.55517
1975-05-30,135.79295
1975-06-30,130.56392
1975-07-31,125.78941
1975-08-29,124.47107
1975-09-30,118.83999
1975-10-31,126.16177
1975-11-28,129.71742
1975-12-31,130.6497
1976-01-30,136.61458
1976-02-27,135.87827
1976-03-31,133.09893
1976-04-30,132.36659
1976-05-31,129.02198
1976-06-30,130.44001
1976-07-30,128.87746
1976-08-31,128.60557
1976-09-30,125.34714
1976-10-29,117.46589
1976-11-30,117.62494
1976-12-31,131.65643
1977-01-31,130.36898
1977-02-28,132.05523
1977-03-31,130.60068
1977-04-29,132.8301
1977-05-31,131.97508
1977-06-30,135.22746
1977-07-29,131.7355
1977-08-31,136.8373
1977-09-30,142.06878
1977-10-31,143.97442
1977-11-30,143.19901
1977-12-30,147.06425
1978-01-31,147.90862
1978-02-28,149.2091
1978-03-31,159.31396
1978-04-28,158.19476
1978-05-31,160.53614
1978-06-30,167.85776
1978-07-31,181.06139
1978-08-31,184.67942
1978-09-29,190.89889
1978-10-31,199.51536
1978-11-30,181.39454
1978-12-29,188.68024
1979-01-31,188.58256
1979-02-28,187.60888
1979-03-30,193.63654
1979-04-30,192.18574
1979-05-31,189.3894
1979-06-29,193.58654
1979-07-31,194.824
1979-08-31,200.69437
1979-09-28,211.66611
1979-10-31,195.67916
1979-11-30,200.15632
1979-12-31,206.38153
1980-01-31,218.67649
1980-02-29,223.51347
1980-03-31,193.05658
1980-04-30,210.22891
1980-05-30,221.04928
1980-06-30,235.85843
1980-07-31,235.33453
1980-08-29,242.54051
1980-09-30,252.31065
1980-10-31,263.35253
1980-11-28,260.51325
1980-12-31,255.93388
1981-01-30,251.34187
1981-02-27,245.9029
1981-03-31,251.9635
1981-04-30,250.81565
1981-05-29,242.44819
1981-06-30,240.42317
1981-07-31,229.1264
1981-08-31,234.69921
1981-09-30,207.18081
1981-10-30,209.54739
1981-11-30,231.25625
1981-12-31,228.81844
1982-01-29,224.96284
1982-02-26,207.40707
1982-03-31,197.48297
1982-04-30,208.33695
1982-05-31,205.48975
1982-06-30,189.8429
1982-07-30,190.46665
1982-08-31,192.50221
1982-09-30,193.00092
1982-10-29,193.73234
1982-11-30,206.63162
1982-12-31,220.26808
1983-01-31,218.54199
1983-02-28,223.13417
1983-03-31,229.56998
1983-04-29,243.55778
1983-05-31,243.35418
1983-06-30,248.18373
1983-07-29,250.12922
1983-08-31,246.67082
