Date,PACIFIC ex JAPAN GROWTH
1974-12-31,100.0
1975-01-31,124.51132
1975-02-28,131.5653
1975-03-31,132.85883
1975-04-30,135.8728
1975-05-30,144.19209
1975-06-30,138.69005
1975-07-31,133.60111
1975-08-29,129.00871
1975-09-30,136.36469
1975-10-31,140.66521
1975-11-28,151.61676
1975-12-31,159.11796
1976-01-30,168.81571
1976-02-27,171.00122
1976-03-31,171.83765
1976-04-30,173.7908
1976-05-31,170.61837
1976-06-30,171.48658
1976-07-30,182.07511
1976-08-31,182.26295
1976-09-30,171.94415
1976-10-29,160.99189
1976-11-30,142.9531
1976-12-31,162.57446
1977-01-31,162.39522
1977-02-28,158.76289
1977-03-31,162.1626
1977-04-29,163.77783
1977-05-31,164.47529
1977-06-30,164.76513
1977-07-29,157.76794
1977-08-31,153.44402
1977-09-30,151.47488
1977-10-31,155.43557
1977-11-30,153.48838
1977-12-30,159.02999
1978-01-31,153.29787
1978-02-28,149.16518
1978-03-31,157.47056
1978-04-28,163.22641
1978-05-31,170.85819
1978-06-30,179.55682
1978-07-31,189.46075
1978-08-31,207.3358
1978-09-29,202.03647
1978-10-31,206.14571
1978-11-30,176.47483
1978-12-29,182.44446
1979-01-31,195.63688
1979-02-28,195.6605
1979-03-30,197.78673
1979-04-30,194.86464
1979-05-31,199.7576
1979-06-29,193.34794
1979-07-31,203.17025
1979-08-31,218.23851
1979-09-28,246.05938
1979-10-31,240.61462
1979-11-30,240.58977
1979-12-31,281.41829
1980-01-31,332.1266
1980-02-29,342.1995
1980-03-31,274.1942
1980-04-30,304.42955
1980-05-30,340.07058
1980-06-30,382.61411
1980-07-31,393.74637
1980-08-29,422.04296
1980-09-30,439.10405
1980-10-31,499.2025
1980-11-28,477.3501
1980-12-31,468.00202
1981-01-30,448.8197
1981-02-27,431.59847
1981-03-31,438.61875
1981-04-30,428.90789
1981-05-29,445.08197
1981-06-30,440.96814
1981-07-31,396.2066
1981-08-31,379.2182
1981-09-30,312.48328
1981-10-30,309.70113
1981-11-30,357.27338
1981-12-31,349.52923
1982-01-29,328.46856
1982-02-26,284.88558
1982-03-31,269.21238
1982-04-30,302.31559
1982-05-31,306.82275
1982-06-30,274.52332
1982-07-30,253.65339
1982-08-31,242.26652
1982-09-30,235.84957
1982-10-29,227.18461
1982-11-30,224.32637
1982-12-31,239.19742
1983-01-31,262.89417
1983-02-28,266.64809
1983-03-31,261.60216
1983-04-29,283.2206
1983-05-31,277.32439
1983-06-30,278.62637
1983-07-29,291.39366
1983-08-31,288.02744
1983-09-30,269.85004
1983-10-31,270.79195
1983-11-30,284.37533
1983-12-30,296.88365
1984-01-31,309.66434
1984-02-29,300.83651
1984-03-30,299.62289
1984-04-30,298.23595
1984-05-31,262.56049
1984-06-29,256.98446
1984-07-31,251.62765
1984-08-31,274.37183
1984-09-28,275.7665
1984-10-31,280.61593
1984-11-30,285.16628
1984-12-31,279.46225
1985-01-31,302.7973
1985-02-28,286.31783
1985-03-29,291.9149
1985-04-30,292.23601
1985-05-31,302.16133
1985-06-28,300.51552
1985-07-31,331.4704
1985-08-30,319.76165
1985-09-30,325.47216
1985-10-31,340.31843
1985-11-29,329.10865
1985-12-31,325.47504
1986-01-31,346.73072
1986-02-28,336.89235
1986-03-31,352.54178
1986-04-30,391.40806
1986-05-30,389.6572
1986-06-30,369.21356
1986-07-31,353.14343
1986-08-29,377.17762
1986-09-30,397.18785
1986-10-31,460.57653
1986-11-28,462.0
1986-12-31,496.66521
1987-01-30,510.38771
1987-02-27,586.14927
1987-03-31,594.40373
1987-04-30,598.61239
1987-05-29,636.69011
1987-06-30,655.75215
1987-07-31,734.64445
1987-08-31,794.03153
1987-09-30,826.71687
1987-10-30,449.58268
1987-11-30,475.65166
1987-12-31,502.22183
1988-01-29,495.69276
1988-02-29,492.98567
1988-03-31,551.58515
1988-04-29,576.88505
1988-05-31,613.28475
1988-06-30,630.00474
1988-07-29,652.95329
1988-08-31,617.47105
1988-09-30,603.67343
1988-10-31,641.14019
1988-11-30,637.13239
1988-12-30,642.18367
1989-01-31,697.91845
1989-02-28,641.64134
1989-03-31,645.67775
1989-04-28,666.86223
1989-05-31,633.25296
1989-06-30,612.85148
1989-07-31,671.28048
1989-08-31,694.12059
1989-09-29,705.47993
1989-10-31,683.68882
1989-11-30,680.64484
1989-12-29,712.8809
1990-01-31,699.46734
1990-02-28,693.05123
1990-03-30,684.82427
1990-04-30,646.80229
1990-05-31,709.90412
1990-06-29,738.25417
1990-07-31,790.64065
1990-08-31,740.60064
1990-09-28,679.49027
1990-10-31,687.35991
1990-11-30,683.2437
1990-12-31,689.26972
1991-01-31,721.62613
1991-02-28,780.03216
1991-03-29,807.65649
1991-04-30,846.82756
1991-05-31,844.08034
1991-06-28,842.29853
1991-07-31,883.29356
