Date,ACWI EX USA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.000573347074
1999-01-04,1018.8351174463356
1999-01-05,1025.0075126567244
1999-01-06,1048.9225501586625
1999-01-07,1041.6217235306244
1999-01-08,1037.4209614050783
1999-01-11,1023.8832269396149
1999-01-12,1015.5271393797155
1999-01-13,983.4295812358431
1999-01-14,978.8030770066451
1999-01-15,988.3019139564877
1999-01-18,1005.2296363132932
1999-01-19,1002.3066329135112
1999-01-20,1007.2566416755809
1999-01-21,997.6315047830535
1999-01-22,972.9344467171413
1999-01-25,968.6915231590233
1999-01-26,968.8142008230146
1999-01-27,970.8386521468788
1999-01-28,973.9151130722096
1999-01-29,978.7833232317356
1999-02-01,992.4623628460204
1999-02-02,995.6644083012318
1999-02-03,988.4281666645647
1999-02-04,991.5638493913953
1999-02-05,993.3899902090292
1999-02-08,992.1233359139222
1999-02-09,979.6681991176761
1999-02-10,969.6129156093662
1999-02-11,977.2136839751302
1999-02-12,984.0985914710666
1999-02-15,984.7497480723313
1999-02-16,986.4942323973659
1999-02-17,977.5119941868151
1999-02-18,976.8545914274241
1999-02-19,972.2144657591706
1999-02-22,975.6967208044896
1999-02-23,981.9125552219741
1999-02-24,986.2755323936519
1999-02-25,984.1454220322975
1999-02-26,984.0351738500381
1999-03-01,975.9171042144118
1999-03-02,979.5495137837024
1999-03-03,977.3334093616011
1999-03-04,984.7277654684999
1999-03-05,1009.0425933554012
1999-03-08,1009.0578317818887
1999-03-09,1013.2313486463977
1999-03-10,1024.3525971797505
1999-03-11,1037.614539471082
1999-03-12,1047.5383061063412
1999-03-15,1046.3880235766367
1999-03-16,1050.3290392588121
1999-03-17,1054.0861195297182
1999-03-18,1053.7338074827078
1999-03-19,1062.2785804183338
1999-03-22,1057.9712270724242
1999-03-23,1046.5202105550645
1999-03-24,1041.4536181694764
1999-03-25,1052.672260765255
1999-03-26,1045.0289000147561
1999-03-29,1054.976757770888
1999-03-30,1057.0075177012977
1999-03-31,1059.8377100224825
1999-04-01,1058.0690216498704
1999-04-02,1057.3866831306173
1999-04-05,1057.0643906468665
1999-04-06,1067.7936103136972
1999-04-07,1080.0940575695422
1999-04-08,1084.9771626784466
1999-04-09,1090.6861924273057
1999-04-12,1093.331952211564
1999-04-13,1101.0283588951474
1999-04-14,1104.137712646286
1999-04-15,1108.1102548851961
1999-04-16,1124.7298256281592
1999-04-19,1140.2418021342169
1999-04-20,1119.997332259416
1999-04-21,1115.391356571796
1999-04-22,1123.6257398484893
1999-04-23,1126.7839450601275
1999-04-26,1129.2077301365175
1999-04-27,1147.9768406219512
1999-04-28,1148.9973114646734
1999-04-29,1150.795793711121
1999-04-30,1161.6468476996254
1999-05-03,1166.544734469369
1999-05-04,1174.8589209936636
1999-05-05,1165.0201612702756
1999-05-06,1176.7969388989707
1999-05-07,1169.3013346592807
1999-05-10,1171.5906982101303
1999-05-11,1166.6992044893655
1999-05-12,1153.403393425499
1999-05-13,1159.793207928388
1999-05-14,1147.3566608726271
1999-05-17,1129.0016670153561
1999-05-18,1134.0876847871875
1999-05-19,1136.7772995778982
1999-05-20,1139.9044331297878
1999-05-21,1133.41706849379
1999-05-24,1132.1617289460435
1999-05-25,1120.054449650565
1999-05-26,1116.0121106653112
1999-05-27,1104.5324831610387
1999-05-28,1106.6552227454633
1999-05-31,1110.218470100761
1999-06-01,1113.6817985146345
1999-06-02,1114.073541579375
1999-06-03,1120.4413574199605
1999-06-04,1125.2694633390222
1999-06-07,1134.802646120868
1999-06-08,1142.091264109288
1999-06-09,1145.2002586477083
1999-06-10,1143.7163256973295
1999-06-11,1156.2459224142315
1999-06-14,1147.7196064279483
1999-06-15,1147.7766449741987
1999-06-16,1154.7340696440988
1999-06-17,1160.453515998583
1999-06-18,1168.263228472176
1999-06-21,1170.7422396422298
1999-06-22,1166.7905958306935
1999-06-23,1155.912184670444
1999-06-24,1148.1712385015546
1999-06-25,1152.0062544706554
1999-06-28,1146.1732028587062
1999-06-29,1141.4037717493193
1999-06-30,1141.7209903481794
1999-07-01,1156.282375604413
1999-07-02,1161.7922436167175
1999-07-05,1182.1127093970383
1999-07-06,1181.6582370183216
1999-07-07,1171.7092317336565
1999-07-08,1166.5511548327465
1999-07-09,1170.6765955923358
1999-07-12,1166.6133602805296
1999-07-13,1153.957079237377
