Date,AC ASEAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1009.2063414856276
1999-01-05,1014.6089177639027
1999-01-06,1059.0811578336172
1999-01-07,1093.5169123960527
1999-01-08,1128.2334015834197
1999-01-11,1122.8100673934239
1999-01-12,1125.3543411953833
1999-01-13,1075.6106817931327
1999-01-14,1049.58249107011
1999-01-15,1059.6768376521952
1999-01-18,1071.8036007566786
1999-01-19,1070.4600391659062
1999-01-20,1076.5772457457538
1999-01-21,1048.3712294326265
1999-01-22,1024.7495100886522
1999-01-25,956.0146517072469
1999-01-26,982.5771577585967
1999-01-27,994.5595584965445
1999-01-28,982.9838192161214
1999-01-29,997.6935903583435
1999-02-01,985.8432050520094
1999-02-02,971.8259352635447
1999-02-03,972.5742995269864
1999-02-04,969.9729368140432
1999-02-05,955.5051992133201
1999-02-08,932.2712206623943
1999-02-09,928.4634761195276
1999-02-10,936.1936811692321
1999-02-11,965.5931046989112
1999-02-12,959.3364715663084
1999-02-15,965.2378682552189
1999-02-16,961.8736390711936
1999-02-17,961.1286333754778
1999-02-18,944.1624790750399
1999-02-19,953.763834903333
1999-02-22,944.0495615425551
1999-02-23,942.4151594287804
1999-02-24,943.443710210382
1999-02-25,949.16707215289
1999-02-26,962.6050686162799
1999-03-01,962.7239568831906
1999-03-02,958.0030708012248
1999-03-03,952.698635132609
1999-03-04,950.7760459490573
1999-03-05,957.3022218922968
1999-03-08,959.966551574769
1999-03-09,948.0815382303967
1999-03-10,953.537682255561
1999-03-11,943.751915995984
1999-03-12,961.6623484462804
1999-03-15,977.2490553856879
1999-03-16,976.0753933880279
1999-03-17,967.9735177967463
1999-03-18,973.1718220789561
1999-03-19,970.2773928919659
1999-03-22,972.7388644150861
1999-03-23,977.8630663023172
1999-03-24,975.1250763763686
1999-03-25,984.0522539584432
1999-03-26,981.3067168199352
1999-03-29,979.8481501630401
1999-03-30,988.6980171122779
1999-03-31,1002.8378062427145
1999-04-01,1007.3504051496777
1999-04-02,1008.1100893480237
1999-04-05,1022.1995420589923
1999-04-06,1027.4495873200588
1999-04-07,1056.1391243828884
1999-04-08,1058.7851818882987
1999-04-09,1063.5270919446386
1999-04-12,1066.1581771785861
1999-04-13,1076.6092789478546
1999-04-14,1110.0358987571474
1999-04-15,1134.7091553680164
1999-04-16,1175.4013643949152
1999-04-19,1230.5325409473862
1999-04-20,1199.4917712518736
1999-04-21,1217.7390943331636
1999-04-22,1225.600505145833
1999-04-23,1221.6791873808854
1999-04-26,1227.6430723030658
1999-04-27,1237.9859220729772
1999-04-28,1244.3370186412246
1999-04-29,1248.181442749979
1999-04-30,1304.5464874633099
1999-05-03,1352.454110932924
1999-05-04,1393.085361177119
1999-05-05,1419.2467496977856
1999-05-06,1430.826629549824
1999-05-07,1371.7542187299412
1999-05-10,1361.0269430372737
1999-05-11,1370.2548913422581
1999-05-12,1365.9421935418845
1999-05-13,1349.8275889242934
1999-05-14,1367.9254598245736
1999-05-17,1382.4043753090082
1999-05-18,1394.8228019176115
1999-05-19,1363.0344759478971
1999-05-20,1360.0404765614983
1999-05-21,1391.7019775568795
1999-05-24,1401.0015070909053
1999-05-25,1381.199770473994
1999-05-26,1351.5180916728025
1999-05-27,1370.9926837322048
1999-05-28,1360.1736373872236
1999-05-31,1340.2422177769902
1999-06-01,1352.5167185666335
1999-06-02,1351.9045773694284
1999-06-03,1356.8521733044245
1999-06-04,1364.1184333329315
1999-06-07,1392.5859450760559
1999-06-08,1434.0843726752357
1999-06-09,1426.988101447936
1999-06-10,1437.2102616322982
1999-06-11,1461.4906622752371
1999-06-14,1476.909390891262
1999-06-15,1483.3487209131572
1999-06-16,1480.6432592318808
1999-06-17,1509.5864353953407
1999-06-18,1509.2496642138635
1999-06-21,1541.3109834734453
1999-06-22,1556.0490192628722
1999-06-23,1549.0604864522832
1999-06-24,1542.386536561963
1999-06-25,1517.4257926591279
1999-06-28,1511.73171921177
1999-06-29,1500.4230448019505
1999-06-30,1476.4462931934338
1999-07-01,1491.24785731717
1999-07-02,1484.887713374256
1999-07-05,1484.3731134124603
1999-07-06,1484.8774682221326
1999-07-07,1456.428736743778
1999-07-08,1466.4319255865587
1999-07-09,1464.937109852435
1999-07-12,1469.4669662335282
1999-07-13,1443.4305623752066
1999-07-14,1448.4640590364108
1999-07-15,1448.1227619576403
1999-07-16,1441.0483685456459
1999-07-19,1432.6052472699296
1999-07-20,1436.2890457334302
1999-07-21,1426.416483830696
1999-07-22,1413.7851190172164
1999-07-23,1369.706549848744
1999-07-26,1325.3988993393757
1999-07-27,1303.0718122979317
1999-07-28,1345.5860574715132
1999-07-29,1355.0090129643313
1999-07-30,1346.40598745751
1999-08-02,1355.9394936339575
1999-08-03,1381.0638273554005
1999-08-04,1381.9163032123697
1999-08-05,1349.2743014720306
