Date,AC EUROPE HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0007632682475
1999-01-04,1017.8380561568569
1999-01-05,1021.9235502982189
1999-01-06,1040.5082879753452
1999-01-07,1030.3942323574017
1999-01-08,1025.7209508970711
1999-01-11,1011.9511301331087
1999-01-12,1004.2934325266873
1999-01-13,978.4323476929104
1999-01-14,975.522449935351
1999-01-15,979.1282049216561
1999-01-18,997.6679789104464
1999-01-19,989.8736060501185
1999-01-20,990.5531722788731
1999-01-21,983.9992935764654
1999-01-22,960.9315070588246
1999-01-25,959.5216577818884
1999-01-26,957.2252664743553
1999-01-27,957.8678282912861
1999-01-28,961.2232485803228
1999-01-29,961.151211343768
1999-02-01,972.0636186393093
1999-02-02,979.8540295112684
1999-02-03,973.5435982020766
1999-02-04,974.985798318588
1999-02-05,981.3696830963099
1999-02-08,981.4536444929903
1999-02-09,971.1501037530938
1999-02-10,962.40678111061
1999-02-11,964.960398739969
1999-02-12,970.1498932141162
1999-02-15,973.5024164309975
1999-02-16,977.8278219110947
1999-02-17,969.548651578773
1999-02-18,962.8786875367551
1999-02-19,955.7723918885598
1999-02-22,958.101080969347
1999-02-23,964.8240597181011
1999-02-24,972.2896596755598
1999-02-25,971.3903353577846
1999-02-26,971.2005749132541
1999-03-01,959.1963395293789
1999-03-02,964.1098046029683
1999-03-03,963.061764656479
1999-03-04,970.9658669283059
1999-03-05,993.6596707630879
1999-03-08,988.6305713561768
1999-03-09,991.4630581945628
1999-03-10,1001.7598931724751
1999-03-11,1024.4329646229014
1999-03-12,1033.9540202422606
1999-03-15,1027.797722976071
1999-03-16,1031.550653872368
1999-03-17,1038.1907133383047
1999-03-18,1042.008687587489
1999-03-19,1048.2690115315904
1999-03-22,1043.1020766753209
1999-03-23,1028.82105098198
1999-03-24,1024.065963712726
1999-03-25,1031.8187413710248
1999-03-26,1025.7669214584864
1999-03-29,1040.5278799002178
1999-03-30,1040.535556547461
1999-03-31,1042.2062066336966
1999-04-01,1035.5353806328642
1999-04-02,1034.3658618432976
1999-04-05,1030.3502885633077
1999-04-06,1039.7785343290768
1999-04-07,1051.483144917636
1999-04-08,1054.9660245579964
1999-04-09,1060.3618010996759
1999-04-12,1063.7840710073822
1999-04-13,1070.542351744788
1999-04-14,1073.8274502738675
1999-04-15,1081.4048630599345
1999-04-16,1093.557510552245
1999-04-19,1112.9044451698503
1999-04-20,1094.1392825545113
1999-04-21,1086.5238003315224
1999-04-22,1091.3307914960087
1999-04-23,1093.9011620702083
1999-04-26,1096.3031349573166
1999-04-27,1117.0112993544062
1999-04-28,1119.567503408905
1999-04-29,1120.743949376121
1999-04-30,1131.298319867028
1999-05-03,1135.1552442864418
1999-05-04,1143.660648032153
1999-05-05,1131.1237382089037
1999-05-06,1141.613100001327
1999-05-07,1136.1481038704935
1999-05-10,1134.8003271731097
1999-05-11,1131.814164609257
1999-05-12,1117.5149291356486
1999-05-13,1121.8888426651117
1999-05-14,1109.442702143527
1999-05-17,1091.1472381792562
1999-05-18,1093.658082594843
1999-05-19,1100.8293942762546
1999-05-20,1106.032164544248
1999-05-21,1102.3196486423135
1999-05-24,1103.0658505020454
1999-05-25,1096.7692742742054
1999-05-26,1089.4697671890276
1999-05-27,1079.76989167001
1999-05-28,1079.6734461003196
1999-05-31,1079.18288871503
1999-06-01,1083.2481881801186
1999-06-02,1084.9375956486008
1999-06-03,1090.3598899758276
1999-06-04,1094.2302023002464
1999-06-07,1101.5899310995128
1999-06-08,1107.3604559545656
1999-06-09,1107.112448748643
