Date,ACWI HIGH DIVIDEND YIELD
1994-06-30,394.017331
1994-07-29,412.48143647
1994-08-31,432.8115987
1994-09-30,422.03159584
1994-10-31,432.25618969
1994-11-30,415.65947057
1994-12-30,418.45217855
1995-01-31,419.46398575
1995-02-28,433.18227185
1995-03-31,450.79874731
1995-04-28,462.94584527
1995-05-31,480.61804094
1995-06-30,483.36793165
1995-07-31,500.64554318
1995-08-31,493.99320369
1995-09-29,515.07229441
1995-10-31,516.37636887
1995-11-30,531.79738359
1995-12-29,552.75107136
1996-01-31,569.0963574
1996-02-29,570.11265649
1996-03-29,574.33427003
1996-04-30,581.98729506
1996-05-31,593.82344395
1996-06-28,599.67533287
1996-07-31,586.17611452
1996-08-30,599.81382973
1996-09-30,621.82751539
1996-10-31,646.22397228
1996-11-29,685.47572705
1996-12-31,690.7530222
1997-01-01,690.7530222
1997-01-02,683.62438163
1997-01-03,688.13262763
1997-01-06,689.36302532
1997-01-07,691.08802966
1997-01-08,691.32844904
1997-01-09,694.66581586
1997-01-10,693.77545263
1997-01-13,696.25215011
1997-01-14,704.08009843
1997-01-15,707.72484486
1997-01-16,709.61401266
1997-01-17,710.35812128
1997-01-20,708.40914785
1997-01-21,708.86574143
1997-01-22,710.26360982
1997-01-23,706.91777958
1997-01-24,701.39736656
1997-01-27,699.59146139
1997-01-28,697.72815556
1997-01-29,700.35869664
1997-01-30,705.33049588
1997-01-31,707.27658909
1997-02-03,707.93712644
1997-02-04,711.2552235
1997-02-05,712.09665367
1997-02-06,712.12748174
1997-02-07,714.99574702
1997-02-10,716.76318627
1997-02-11,718.74068847
1997-02-12,722.16852985
1997-02-13,726.07285331
1997-02-14,726.34434896
1997-02-17,725.58968267
1997-02-18,728.1703203
1997-02-19,727.5558724
1997-02-20,724.68013819
1997-02-21,725.3640228
1997-02-24,731.9087408
1997-02-25,736.6098845
1997-02-26,731.58583933
1997-02-27,727.67619871
1997-02-28,723.75094858
1997-03-03,723.25494313
1997-03-04,723.95709624
1997-03-05,726.77503581
1997-03-06,729.96494065
1997-03-07,733.53667289
1997-03-10,740.7957438
1997-03-11,740.5553115
1997-03-12,732.73198027
1997-03-13,723.08492036
1997-03-14,726.69088783
1997-03-17,724.66912871
1997-03-18,720.11564177
1997-03-19,719.06569153
1997-03-20,709.65587622
1997-03-21,714.11559024
1997-03-24,717.80104963
1997-03-25,722.90867402
1997-03-26,725.4032808
1997-03-27,720.81763741
1997-03-28,721.27875139
1997-03-31,716.40291446
1997-04-01,709.18813116
1997-04-02,704.81058367
1997-04-03,700.44286783
1997-04-04,702.43370057
1997-04-07,705.87066118
1997-04-08,706.74950141
1997-04-09,706.11656627
1997-04-10,706.34233559
1997-04-11,695.51621979
1997-04-14,693.93021677
1997-04-15,701.86904887
1997-04-16,707.16119267
1997-04-17,707.84720348
1997-04-18,711.15127346
1997-04-21,711.77574312
1997-04-22,717.75106717
1997-04-23,717.51087514
1997-04-24,715.85619005
1997-04-25,711.21419282
1997-04-28,715.40339743
1997-04-29,727.69430761
1997-04-30,730.59457629
1997-05-01,731.49712405
1997-05-02,736.70630277
1997-05-05,744.32279902
1997-05-06,751.41369522
1997-05-07,747.15912013
1997-05-08,749.94722104
1997-05-09,755.79823836
1997-05-12,764.11645268
1997-05-13,765.53089279
1997-05-14,768.98639885
1997-05-15,769.06404534
1997-05-16,767.27498298
1997-05-19,766.23642896
1997-05-20,768.03315015
1997-05-21,772.47982994
1997-05-22,770.17505702
1997-05-23,775.64875616
1997-05-26,777.78324982
1997-05-27,775.86242091
1997-05-28,774.03147883
1997-05-29,772.4428338
1997-05-30,771.20419502
1997-06-02,769.23281106
1997-06-03,772.21536898
1997-06-04,770.22310634
1997-06-05,774.08679668
1997-06-06,781.57182217
1997-06-09,785.42538138
1997-06-10,787.55602304
1997-06-11,789.91475709
1997-06-12,797.90611177
1997-06-13,804.20354818
1997-06-16,805.13334947
1997-06-17,800.51515834
1997-06-18,798.7526235
1997-06-19,804.17702253
1997-06-20,804.51536299
1997-06-23,798.07488006
1997-06-24,805.93798296
1997-06-25,807.01454696
1997-06-26,807.1713382
1997-06-27,804.48555265
1997-06-30,802.14603328
1997-07-01,813.10882753
1997-07-02,818.65318918
1997-07-03,832.79770145
1997-07-04,831.90080399
1997-07-07,830.45756841
1997-07-08,829.31546209
1997-07-09,825.46503391
1997-07-10,828.436539
1997-07-11,830.61346958
1997-07-14,830.12428906
1997-07-15,829.34503388
