Date,AC PACIFIC HIGH DIVIDEND YIELD
1999-08-05,1197.3147486411797
1999-08-06,1189.2497722170388
1999-08-09,1181.8337353619652
1999-08-10,1171.330361568639
1999-08-11,1153.4438897381033
1999-08-12,1164.4120422420478
1999-08-13,1159.1523406985923
1999-08-16,1180.0890737107488
1999-08-17,1169.0687346392742
1999-08-18,1183.4232164842097
1999-08-19,1191.2854712829237
1999-08-20,1202.8630622831956
1999-08-23,1216.0239936768749
1999-08-24,1214.1631940481916
1999-08-25,1211.1911042452937
1999-08-26,1208.261758218581
1999-08-27,1198.8268087994688
1999-08-30,1202.1128073480982
1999-08-31,1189.5449828088197
1999-09-01,1203.7275868343577
1999-09-02,1199.9943451189492
1999-09-03,1188.803698226317
1999-09-06,1201.4599105576658
1999-09-07,1197.5232521352905
1999-09-08,1193.2591872488422
1999-09-09,1223.7723351754696
1999-09-10,1219.7285832889108
1999-09-13,1226.0297907534325
1999-09-14,1223.6507702318384
1999-09-15,1201.8119254430483
1999-09-16,1188.3554432724816
1999-09-17,1190.1769808058339
1999-09-20,1187.4197315644226
1999-09-21,1194.2295821554344
1999-09-22,1183.022069665814
1999-09-23,1186.9223531054192
1999-09-24,1177.346026278541
1999-09-27,1163.765594882175
1999-09-28,1171.4420817125351
1999-09-29,1159.863473407854
1999-09-30,1156.3047081371385
1999-10-01,1163.8178504702469
1999-10-04,1162.4271264966608
1999-10-05,1168.4991969372381
1999-10-06,1161.9405837284864
1999-10-07,1162.733413490123
1999-10-08,1160.967402626709
1999-10-11,1159.1014986496743
1999-10-12,1155.2793674382629
1999-10-13,1140.0564982172102
1999-10-14,1139.2619972236237
1999-10-15,1125.623687237471
1999-10-18,1109.6731668374948
1999-10-19,1114.1515049169122
1999-10-20,1137.127167671071
1999-10-21,1133.3581958281939
1999-10-22,1147.4888964920615
1999-10-25,1154.0537956859005
1999-10-26,1145.2563829474332
1999-10-27,1139.886647104848
1999-10-28,1145.231348921734
1999-10-29,1156.4166083659943
1999-11-01,1162.5569364151013
1999-11-02,1168.0719590880453
1999-11-03,1168.2018406206485
1999-11-04,1180.5075024956075
1999-11-05,1167.8071003225843
1999-11-08,1160.4756085830668
1999-11-09,1164.2355649230187
1999-11-10,1176.2415330815609
1999-11-11,1185.8321812809213
1999-11-12,1203.4246759361633
1999-11-15,1217.7327155832343
1999-11-16,1217.1818548711615
1999-11-17,1225.0997647346585
1999-11-18,1228.25340304232
1999-11-19,1248.714980320026
1999-11-22,1249.8818282675318
1999-11-23,1251.7146967897036
1999-11-24,1238.7162901285524
1999-11-25,1231.4810078702685
1999-11-26,1247.6871817155052
1999-11-29,1260.4250583079943
1999-11-30,1250.208845273619
1999-12-01,1255.1805022685603
1999-12-02,1271.8843908006934
1999-12-03,1272.0989187599569
1999-12-06,1277.182281036565
1999-12-07,1271.789003232145
1999-12-08,1268.495285922752
1999-12-09,1281.625407845841
1999-12-10,1280.4786070624389
1999-12-13,1272.4330245680771
1999-12-14,1266.3641572233034
1999-12-15,1253.8672296861816
1999-12-16,1252.662132345859
1999-12-17,1260.2199445935883
1999-12-20,1267.4966040317877
1999-12-21,1263.7370956172588
1999-12-22,1265.5197267860435
1999-12-23,1263.8980976714067
1999-12-24,1271.012268177364
1999-12-27,1273.3073961698715
1999-12-28,1273.1691912021593
1999-12-29,1265.6195914595414
1999-12-30,1271.3882991106746
1999-12-31,1271.4364070644424
2000-01-03,1284.7504591530737
2000-01-04,1279.3787035524372
2000-01-05,1240.0968616285336
2000-01-06,1210.576055540398
2000-01-07,1230.3246428916973
2000-01-10,1245.794511938908
2000-01-11,1240.0434633026327
2000-01-12,1227.7337529585504
2000-01-13,1235.7365938519301
2000-01-14,1251.2134471267657
2000-01-17,1262.3219939851947
2000-01-18,1263.183231169195
2000-01-19,1242.5622122167897
2000-01-20,1254.3558329789264
2000-01-21,1241.1586835487797
2000-01-24,1241.3608887261923
2000-01-25,1227.4100309997402
2000-01-26,1232.658972781849
2000-01-27,1243.7516351381937
2000-01-28,1237.7273053244576
2000-01-31,1222.5891605861734
2000-02-01,1211.6800645691815
2000-02-02,1214.8494804779439
2000-02-03,1214.318648980988
2000-02-04,1211.4398174497771
2000-02-07,1206.8388898581695
2000-02-08,1198.4400448262838
2000-02-09,1207.1611086599273
2000-02-10,1200.738103690249
2000-02-11,1212.7704752620598
2000-02-14,1181.9714339154737
2000-02-15,1164.7952399190867
2000-02-16,1171.2676775006908
2000-02-17,1172.8296111658358
2000-02-18,1147.4337561235761
2000-02-21,1131.0341464457547
2000-02-22,1118.7164152005541
2000-02-23,1133.0788793496413
2000-02-24,1145.035334596311
2000-02-25,1146.915467585208
2000-02-28,1131.8878881113121
2000-02-29,1134.9077669474689
2000-03-01,1141.2433245829081
2000-03-02,1139.0313263605822
2000-03-03,1140.6807769259312
2000-03-06,1154.400234300016
2000-03-07,1171.1949163594572
2000-03-08,1169.119451942831
2000-03-09,1172.2069983634917
2000-03-10,1192.3921179027304
2000-03-13,1182.7204906684324
2000-03-14,1169.6606345011987
2000-03-15,1155.525063056191
2000-03-16,1155.323819955996
2000-03-17,1170.7346889636206
2000-03-20,1162.6316059258456
2000-03-21,1169.3080372277984
