Date,AC FAR EAST ex JAPAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,985.6803577357401
1999-01-05,989.53002700956
1999-01-06,1014.826534996356
1999-01-07,1043.1430577831004
1999-01-08,1046.8992404069165
1999-01-11,1052.5292047491334
1999-01-12,1048.4828948356485
1999-01-13,1019.3697142528288
1999-01-14,1000.936538453587
1999-01-15,1011.2667547551896
1999-01-18,1022.1613899007607
1999-01-19,1005.5909224517281
1999-01-20,1005.0159068394319
1999-01-21,981.8322826961573
1999-01-22,949.0131249672078
1999-01-25,923.2453309720285
1999-01-26,927.0809389056843
1999-01-27,945.4955202030317
1999-01-28,917.1950874843764
1999-01-29,923.7330710591142
1999-02-01,924.9406060613214
1999-02-02,921.6359645483299
1999-02-03,915.9288650412868
1999-02-04,913.840905381975
1999-02-05,891.4712984947852
1999-02-08,891.8385916331385
1999-02-09,896.9994260353286
1999-02-10,885.5049385473892
1999-02-11,892.0920460073698
1999-02-12,915.4769076721672
1999-02-15,912.4296311543175
1999-02-16,912.4950442335806
1999-02-17,912.275832467988
1999-02-18,909.5247460072502
1999-02-19,883.9752042140135
1999-02-22,889.1179558934249
1999-02-23,897.1504905460863
1999-02-24,905.2403557601176
1999-02-25,903.8175370925893
1999-02-26,932.6560663209251
1999-03-01,936.5153015983534
1999-03-02,935.9760636778125
1999-03-03,940.8474929141154
1999-03-04,940.6812123198116
1999-03-05,965.7137639944311
1999-03-08,986.2716561410023
1999-03-09,1001.0001706773588
1999-03-10,1013.1375588016982
1999-03-11,1007.0030812173394
1999-03-12,1018.9887695895741
1999-03-15,1013.6062245366247
1999-03-16,1022.116003698322
1999-03-17,1027.7984660739678
1999-03-18,1007.6027901248472
1999-03-19,1041.43698419564
1999-03-22,1048.3338646449406
1999-03-23,1045.7194975613859
1999-03-24,1026.3986086858188
1999-03-25,1039.7045738579325
1999-03-26,1041.3637383237099
1999-03-29,1031.2680530033833
1999-03-30,1047.1844649044378
1999-03-31,1052.31415187626
1999-04-01,1058.5356154612996
1999-04-02,1068.0324427589255
1999-04-05,1067.7893855941625
1999-04-06,1071.088831630484
1999-04-07,1099.8767310397427
1999-04-08,1103.623709531663
1999-04-09,1117.6001583869481
1999-04-12,1104.5686308390352
1999-04-13,1117.5063709497585
1999-04-14,1119.141797752332
1999-04-15,1144.9158585546343
1999-04-16,1197.2305852209277
1999-04-19,1231.7024585275121
1999-04-20,1211.008521506062
1999-04-21,1223.4071991794597
1999-04-22,1268.4073404250369
1999-04-23,1286.8975710830964
1999-04-26,1317.5021918249163
1999-04-27,1339.0372766018577
1999-04-28,1308.569208900749
1999-04-29,1303.5294811471103
1999-04-30,1312.6941906126137
1999-05-03,1319.3652989830919
1999-05-04,1336.1682466869036
1999-05-05,1352.7146219097458
1999-05-06,1345.2045389977795
1999-05-07,1290.3621551393983
1999-05-10,1301.1428150444112
1999-05-11,1283.1874423661877
1999-05-12,1292.831543530247
1999-05-13,1298.299150593868
1999-05-14,1288.9299173946836
1999-05-17,1269.1782925036243
1999-05-18,1280.0257263829305
1999-05-19,1261.4577710360452
1999-05-20,1263.983979848753
1999-05-21,1255.7844249519803
1999-05-24,1259.4806484836804
1999-05-25,1251.420107818437
1999-05-26,1254.7853630736404
1999-05-27,1247.844500146296
1999-05-28,1228.797750237438
1999-05-31,1222.3405123762452
1999-06-01,1242.7773998139878
1999-06-02,1244.4735024149388
1999-06-03,1247.9853711782312
1999-06-04,1251.2749779123997
1999-06-07,1283.7543863403705
1999-06-08,1292.6568653281806
1999-06-09,1295.2684633856602
1999-06-10,1293.2910132766951
1999-06-11,1309.6329108299158
1999-06-14,1311.223470263199
1999-06-15,1298.559205022542
1999-06-16,1323.41065575046
1999-06-17,1335.8469961526957
1999-06-18,1335.6610282209347
1999-06-21,1368.603871728316
1999-06-22,1382.6572297079729
1999-06-23,1385.1296907060203
1999-06-24,1364.0248662068932
1999-06-25,1355.43809433339
1999-06-28,1363.681595037301
1999-06-29,1365.7491694927485
1999-06-30,1347.7734948186244
1999-07-01,1351.7599896781176
1999-07-02,1384.7825929729868
1999-07-05,1402.7129184402033
1999-07-06,1395.6176845853684
1999-07-07,1370.0507067092285
1999-07-08,1361.8008612042192
1999-07-09,1363.7170576508884
1999-07-12,1355.8056476859592
1999-07-13,1340.2727038651853
1999-07-14,1307.4412089029036
1999-07-15,1321.477460215221
1999-07-16,1293.0803197750263
1999-07-19,1288.588870158647
1999-07-20,1296.1335331482387
1999-07-21,1287.1344151111994
1999-07-22,1280.7546647356223
1999-07-23,1255.78039242432
1999-07-26,1229.7655530263812
1999-07-27,1238.109695149952
1999-07-28,1251.3065468550458
1999-07-29,1251.450037959192
1999-07-30,1251.4908110674116
1999-08-02,1260.5316746969675
1999-08-03,1266.4045908697135
1999-08-04,1265.2011964628925
