Date,ACWI ex USA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1026.7693752837351
2010-05-28,1031.983109760072
2010-05-31,1032.926112706672
2010-06-01,1028.5240461103774
2010-06-02,1024.520279585731
2010-06-03,1040.5624543841889
2010-06-04,1018.8919049933581
2010-06-07,1001.0687359493808
2010-06-08,993.2222287843987
2010-06-09,1007.7967525647243
2010-06-10,1020.4439161239003
2010-06-11,1029.1256302077206
2010-06-14,1046.876263036716
2010-06-15,1053.3568824121855
2010-06-16,1057.0610660909483
2010-06-17,1061.6060174868658
2010-06-18,1063.0197693024732
2010-06-21,1073.0861320835797
2010-06-22,1061.09664441637
2010-06-23,1049.0575420058067
2010-06-24,1042.7591686414703
2010-06-25,1034.4520279823532
2010-06-28,1044.9501219079532
2010-06-29,1013.8383568970836
2010-06-30,1017.2777029038633
2010-07-01,1012.0004513241985
2010-07-02,1021.4522743755819
2010-07-05,1016.9967048067333
2010-07-06,1044.0320658719365
2010-07-07,1051.4273812912631
2010-07-08,1065.32839816625
2010-07-09,1068.1753854269484
2010-07-12,1070.4318122456145
2010-07-13,1089.321572300311
2010-07-14,1095.2663148917777
2010-07-15,1097.9402484552813
2010-07-16,1086.3926004029095
2010-07-19,1078.6791583804734
2010-07-20,1075.309424177093
2010-07-21,1079.477407936415
2010-07-22,1098.7825032346823
2010-07-23,1099.898610799588
2010-07-26,1111.5302152146944
2010-07-27,1113.8130047438578
2010-07-28,1113.5610926011236
2010-07-29,1120.5817982180147
2010-07-30,1114.639362024369
2010-08-02,1146.30931540076
2010-08-03,1150.1753161071904
2010-08-04,1149.093821181685
2010-08-05,1149.1336054138135
2010-08-06,1151.324842276995
2010-08-09,1161.8544713621552
2010-08-10,1144.0160767075197
2010-08-11,1115.875792986213
2010-08-12,1112.1666585523762
2010-08-13,1111.4838707366755
2010-08-16,1116.0792905272679
2010-08-17,1124.6508855942216
2010-08-18,1122.4751612809828
2010-08-19,1111.63587646083
2010-08-20,1095.7304566727166
2010-08-23,1100.7658429625749
2010-08-24,1087.7130247000018
