Date,AC FAR EAST HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,983.0101539440482
1999-01-05,981.8600099960137
1999-01-06,1000.6018747543209
1999-01-07,1033.9069037380832
1999-01-08,1027.9490653421713
1999-01-11,1031.1251566302926
1999-01-12,1021.6583555199223
1999-01-13,990.6017848289405
1999-01-14,983.358838794816
1999-01-15,988.5954055306421
1999-01-18,995.2185050411614
1999-01-19,989.2098813011155
1999-01-20,992.0613556904527
1999-01-21,976.8260738458987
1999-01-22,948.760368744727
1999-01-25,935.5736061159615
1999-01-26,945.306696541547
1999-01-27,953.5427935403585
1999-01-28,935.1930764549932
1999-01-29,943.3807025656779
1999-02-01,947.6539502959374
1999-02-02,951.13024506946
1999-02-03,936.8482189492067
1999-02-04,934.6223934865105
1999-02-05,916.4856579380971
1999-02-08,914.3964033396877
1999-02-09,908.4199279972582
1999-02-10,900.0361686496728
1999-02-11,906.5566134607709
1999-02-12,919.9528157732268
1999-02-15,915.2736110176617
1999-02-16,909.3090452438784
1999-02-17,904.5488648480674
1999-02-18,901.6068731324667
1999-02-19,885.3695498724767
1999-02-22,896.4283658796371
1999-02-23,900.3001975052299
1999-02-24,908.9469419718201
1999-02-25,914.7075064708281
1999-02-26,927.2730272142466
1999-03-01,928.9017542207569
1999-03-02,917.2333098176972
1999-03-03,923.9497094813987
1999-03-04,918.8146362925772
1999-03-05,946.9187606294246
1999-03-08,952.7608211813224
1999-03-09,967.1054205568498
1999-03-10,983.2698408526447
1999-03-11,980.6119933664291
1999-03-12,992.5427170289681
1999-03-15,1008.677690249804
1999-03-16,1023.9979800740051
1999-03-17,1027.117110532488
1999-03-18,1000.7471658984207
1999-03-19,1033.9437868804705
1999-03-22,1033.4220399222474
1999-03-23,1029.4260194047229
1999-03-24,1007.1603676933621
1999-03-25,1019.5697202282553
1999-03-26,1012.8988852460752
1999-03-29,1010.4931412214254
1999-03-30,1021.1673286523111
1999-03-31,1033.1894280070214
1999-04-01,1047.2767841112684
1999-04-02,1043.192368253127
1999-04-05,1036.3598370017837
1999-04-06,1051.0098836040786
1999-04-07,1066.4411604239956
1999-04-08,1078.5635864712508
1999-04-09,1086.1361012352684
1999-04-12,1079.5769278926068
1999-04-13,1094.1892409459651
1999-04-14,1108.3434210963003
1999-04-15,1118.4182238830524
1999-04-16,1161.002662724219
1999-04-19,1186.1888454788407
1999-04-20,1163.1664167145898
1999-04-21,1156.0275398626018
1999-04-22,1169.3130931666587
1999-04-23,1175.7333318271603
1999-04-26,1187.198357235048
1999-04-27,1196.9482122154377
1999-04-28,1182.7831108979778
1999-04-29,1178.6801575351494
1999-04-30,1184.408086621583
1999-05-03,1185.0204573209046
1999-05-04,1195.9696907604762
1999-05-05,1203.5382482095306
1999-05-06,1224.4836332777377
1999-05-07,1194.6288991510337
1999-05-10,1203.847732333753
1999-05-11,1185.1153269440665
1999-05-12,1192.3747735937186
1999-05-13,1187.9065767293469
1999-05-14,1174.4201654743458
1999-05-17,1148.7343581502503
1999-05-18,1150.8020379679792
1999-05-19,1130.3737682861592
1999-05-20,1129.0879917692932
1999-05-21,1126.1121549401955
1999-05-24,1134.620812508088
1999-05-25,1129.9347931418392
1999-05-26,1139.0295006180331
1999-05-27,1135.328011026458
1999-05-28,1121.1300366003666
1999-05-31,1119.527970150576
1999-06-01,1141.0343587554214
1999-06-02,1145.4557126400832
1999-06-03,1142.909879758882
1999-06-04,1142.336497901255
1999-06-07,1169.2626613897116
1999-06-08,1182.964983496384
1999-06-09,1184.0184018275131
1999-06-10,1198.3304465490926
1999-06-11,1205.7412121686646
1999-06-14,1187.88039298033
1999-06-15,1183.8036865378692
1999-06-16,1199.4959405880147
1999-06-17,1216.360051184356
1999-06-18,1210.0668533612454
1999-06-21,1235.0429878200016
1999-06-22,1243.278385099581
1999-06-23,1237.2909146851678
1999-06-24,1227.6114520782605
1999-06-25,1226.5739689969694
1999-06-28,1238.4911837256896
1999-06-29,1238.3268247053518
1999-06-30,1215.0293041976013
1999-07-01,1223.4725555566117
1999-07-02,1241.8323897983923
1999-07-05,1250.8765273031443
1999-07-06,1245.7540942885928
1999-07-07,1241.349739686004
1999-07-08,1234.2516171667723
1999-07-09,1241.7613386056012
1999-07-12,1231.414689468487
1999-07-13,1223.4835650179325
1999-07-14,1207.2865850018773
1999-07-15,1214.693425486717
1999-07-16,1200.3094528988038
1999-07-19,1208.239357149282
1999-07-20,1212.4682016218171
1999-07-21,1206.9018414847158
1999-07-22,1196.7040621461942
1999-07-23,1176.6285531802284
1999-07-26,1160.4537830225722
1999-07-27,1172.0917146302506
1999-07-28,1178.154477804513
1999-07-29,1187.0960538872812
1999-07-30,1195.0594046777303
1999-08-02,1198.111912790368
1999-08-03,1202.8957879712627
1999-08-04,1200.2806995182484
1999-08-05,1180.590896758586
