Date,AC ASIA ex JAPAN HIGH DIVIDEND YIELD
1994-06-30,1544.70895818
1994-07-29,1641.52772879
1994-08-31,1740.90279015
1994-09-30,1693.60839739
1994-10-31,1705.29351253
1994-11-30,1514.20919541
1994-12-30,1495.58533984
1995-01-31,1330.62012643
1995-02-28,1467.53920455
1995-03-31,1454.5229803
1995-04-28,1430.13538539
1995-05-31,1623.12427196
1995-06-30,1618.73847518
1995-07-31,1649.78453157
1995-08-31,1584.93928069
1995-09-29,1633.45631194
1995-10-31,1640.20431966
1995-11-30,1618.84768152
1995-12-29,1662.2640395
1996-01-31,1861.04874415
1996-02-29,1842.84474427
1996-03-29,1847.96305439
1996-04-30,1884.93059515
1996-05-31,1917.79692209
1996-06-28,1860.20716013
1996-07-31,1747.65124368
1996-08-30,1807.65094887
1996-09-30,1858.49331066
1996-10-31,1849.96751833
1996-11-29,1978.36633398
1996-12-31,1930.99876391
1997-01-01,1930.99876391
1997-01-02,1915.44248462
1997-01-03,1914.86852258
1997-01-06,1938.40577837
1997-01-07,1936.54229548
1997-01-08,1949.98180423
1997-01-09,1948.77516149
1997-01-10,1948.23440016
1997-01-13,1949.58923283
1997-01-14,1943.68947442
1997-01-15,1986.72398426
1997-01-16,1981.85240975
1997-01-17,1983.21285561
1997-01-20,1983.00737084
1997-01-21,1968.36939347
1997-01-22,1970.1758635
1997-01-23,1957.27129123
1997-01-24,1938.04031305
1997-01-27,1934.48535885
1997-01-28,1946.76839304
1997-01-29,1926.82913548
1997-01-30,1933.15991987
1997-01-31,1918.82528578
1997-02-03,1915.59687927
1997-02-04,1925.3383155
1997-02-05,1924.21402638
1997-02-06,1928.85008671
1997-02-07,1928.83318373
1997-02-10,1925.9959166
1997-02-11,1915.74767521
1997-02-12,1911.30868581
1997-02-13,1887.29521281
1997-02-14,1879.60604391
1997-02-17,1875.61864811
1997-02-18,1864.17729259
1997-02-19,1879.86264187
1997-02-20,1909.28839046
1997-02-21,1906.45995459
1997-02-24,1895.39344415
1997-02-25,1905.14873527
1997-02-26,1908.52231868
1997-02-27,1901.39993619
1997-02-28,1903.94015826
1997-03-03,1916.2300814
1997-03-04,1903.74423812
1997-03-05,1896.94529946
1997-03-06,1888.46296738
1997-03-07,1887.6137468
1997-03-10,1880.04986342
1997-03-11,1881.39777565
1997-03-12,1873.15937245
1997-03-13,1857.27911946
1997-03-14,1832.97422143
1997-03-17,1844.16290187
1997-03-18,1835.44601272
1997-03-19,1824.84544746
1997-03-20,1813.00480387
1997-03-21,1808.5208683
1997-03-24,1825.74380074
1997-03-25,1831.17816074
1997-03-26,1831.00409107
1997-03-27,1811.40891046
1997-03-28,1803.88258754
1997-03-31,1792.46456904
1997-04-01,1764.69200711
1997-04-02,1786.64833763
1997-04-03,1781.86109553
1997-04-04,1792.88271359
1997-04-07,1797.35112028
1997-04-08,1801.2648733
1997-04-09,1807.02891103
1997-04-10,1797.22161892
1997-04-11,1808.90570671
1997-04-14,1794.1481709
1997-04-15,1791.58765661
1997-04-16,1804.44648438
1997-04-17,1798.18913538
1997-04-18,1797.75102863
1997-04-21,1816.38422274
1997-04-22,1808.23506687
1997-04-23,1818.33485978
1997-04-24,1814.63402109
1997-04-25,1807.09884348
1997-04-28,1806.26326313
1997-04-29,1794.31048297
1997-04-30,1815.76246396
1997-05-01,1826.55927269
1997-05-02,1820.39543843
1997-05-05,1841.00130888
1997-05-06,1854.84506786
1997-05-07,1846.43555255
1997-05-08,1848.23423668
1997-05-09,1853.35800129
1997-05-12,1845.33466103
1997-05-13,1849.50214554
1997-05-14,1857.13245238
1997-05-15,1850.89765184
1997-05-16,1847.11292034
1997-05-19,1864.57737463
1997-05-20,1875.09935695
1997-05-21,1883.06254422
1997-05-22,1870.6219007
1997-05-23,1878.93926088
1997-05-26,1888.20509551
1997-05-27,1890.11309775
1997-05-28,1889.33351823
1997-05-29,1883.87235214
1997-05-30,1914.91615353
1997-06-02,1951.35027622
1997-06-03,1941.65448769
1997-06-04,1939.73566198
1997-06-05,1952.58654025
1997-06-06,1935.98965751
1997-06-09,1931.43165675
1997-06-10,1911.09590772
1997-06-11,1916.54644528
1997-06-12,1880.87757461
1997-06-13,1880.98250582
1997-06-16,1903.00978728
1997-06-17,1893.05391053
1997-06-18,1880.06698991
1997-06-19,1907.38924768
1997-06-20,1961.47616435
1997-06-23,1973.60001905
1997-06-24,1957.71373576
1997-06-25,1967.31320718
1997-06-26,1980.93757683
1997-06-27,1983.1837389
1997-06-30,1985.26447859
1997-07-01,1994.16638823
1997-07-02,2038.22055703
1997-07-03,2032.76090697
1997-07-04,2000.80417514
1997-07-07,1981.4250904
1997-07-08,1960.05948561
1997-07-09,1957.09597397
1997-07-10,1969.53257596
1997-07-11,1981.77704694
1997-07-14,1983.93545542
1997-07-15,1995.03281031
1997-07-16,1987.02747059
1997-07-17,1993.86195896
1997-07-18,1987.7060322
1997-07-21,1990.49271452
1997-07-22,1987.11310935
1997-07-23,1989.46610717
1997-07-24,1992.19847638
1997-07-25,1987.12866485
1997-07-28,2008.82729654
1997-07-29,2025.49774231
1997-07-30,2037.35910922
1997-07-31,2052.45519733
1997-08-01,2039.00514156
1997-08-04,2043.93904031
1997-08-05,2038.2610381
1997-08-06,2037.20079512
1997-08-07,2042.51951052
1997-08-08,2032.55401796
1997-08-11,2024.46784492
1997-08-12,2002.66756048
1997-08-13,2008.1846943
1997-08-14,1991.45161909
1997-08-15,1953.8442951
1997-08-18,1930.63536435
1997-08-19,1876.71438932
1997-08-20,1918.34237183
1997-08-21,1896.97300835
1997-08-22,1856.07064443
1997-08-25,1853.07842715
1997-08-26,1848.61938329
1997-08-27,1845.8299655
1997-08-28,1760.87408637
1997-08-29,1706.29910628
1997-09-01,1646.89480143
1997-09-02,1655.88241597
1997-09-03,1719.99449681
1997-09-04,1683.734169
1997-09-05,1747.28376317
1997-09-08,1791.95181953
1997-09-09,1817.70254083
1997-09-10,1787.66593395
1997-09-11,1744.9980584
1997-09-12,1757.01504633
1997-09-15,1766.05169386
1997-09-16,1749.49207212
1997-09-17,1739.50517843
1997-09-18,1736.84252091
1997-09-19,1725.56238837
1997-09-22,1692.44331619
1997-09-23,1700.24656277
1997-09-24,1719.43233784
1997-09-25,1758.26848057
1997-09-26,1758.69427335
1997-09-29,1750.79675618
