Date,AC ASIA ex JP IMI WITH PARTIAL A SHARES
2008-11-28,1093.378116508774
2008-12-31,1103.5743736470731
2009-01-30,1132.5076691933646
2009-02-27,1073.4873620378626
2009-03-31,1169.7686630175217
2009-04-30,1374.8634512939882
2009-05-29,1513.324724370965
2009-06-30,1517.169980733284
2009-07-31,1697.1027114217152
2009-08-31,1622.1972562903186
2009-09-30,1731.7911105439648
2009-10-30,1710.4945184720914
2009-11-30,1731.22251608442
2009-12-31,1896.1394598306183
2010-01-29,1841.9288431711093
2010-02-26,1886.0408807871827
2010-03-31,2044.5199389424672
2010-04-30,2124.570049280012
2010-05-31,2101.9163854260105
2010-06-30,2141.154940846579
2010-07-30,2132.4752515793743
2010-08-31,2164.9968618406883
2010-09-30,2245.517999376983
2010-10-29,2268.5641608886044
2010-11-30,2384.115966215589
2010-12-31,2438.235603523789
2011-01-31,2359.034104237301
2011-02-28,2248.04321623792
2011-03-31,2318.3534224994287
2011-04-29,2302.2185671900897
2011-05-31,2340.501888401688
2011-06-30,2267.835567719199
2011-07-29,2319.782137208598
2011-08-31,2082.060169399352
2011-09-30,1929.6617854558692
2011-10-31,2073.237846974924
2011-11-30,1968.8612916825384
2011-12-30,2047.4576306557094
2012-01-31,2245.3912117344316
2012-02-29,2338.556791300395
2012-03-30,2272.6010396440524
2012-04-30,2282.5643436084624
2012-05-31,2217.084799102416
2012-06-29,2220.14452382771
2012-07-31,2338.101041734296
2012-08-31,2280.3157766845998
2012-09-28,2389.847518823292
2012-10-31,2363.687139381997
2012-11-30,2418.535841540288
2012-12-31,2464.7433803118606
2013-01-31,2440.5061404206385
2013-02-28,2537.1156311984228
2013-03-29,2540.560874309597
2013-04-30,2520.041063794398
2013-05-31,2543.0534036840318
2013-06-28,2376.6819665356334
2013-07-31,2366.10104573046
2013-08-30,2345.759332978134
2013-09-30,2411.2831710068713
2013-10-31,2499.0871065492906
2013-11-29,2497.059956561728
2013-12-31,2444.2471076370753
2014-01-31,2383.610855005618
2014-02-28,2408.0003834754534
2014-03-31,2436.687706992181
2014-04-30,2437.691524611241
2014-05-30,2572.8224121189473
2014-06-30,2622.853792967749
2014-07-31,2777.7029893715267
2014-08-29,2845.0633669118074
2014-09-30,2805.7061357318717
2014-10-31,2867.8933025019287
2014-11-28,2886.687619927657
2014-12-31,2919.1038597762185
2015-01-30,3205.904569328985
2015-02-27,3287.1944750650914
2015-03-31,3461.2675161880206
2015-04-30,3576.7282979623496
2015-05-29,3589.1751637651464
2015-06-30,3388.6021993880863
2015-07-31,3182.3148282196757
2015-08-31,2825.5813983607263
2015-09-30,2794.5763945040835
2015-10-30,3043.872563116726
2015-11-30,3086.9688746479683
2015-12-31,2989.9294514379
2016-01-29,2750.9999381144785
2016-02-29,2714.3941810445426
2016-03-31,2871.6101356091553
2016-04-29,2838.2177991627254
2016-05-31,2877.444523380995
2016-06-30,2953.89524856113
2016-07-29,3068.9489264544004
2016-08-31,3179.8952648422455
2016-09-30,3199.569564890063
2016-10-31,3226.9659058032407
2018-03-30,3854.131900717104
2018-04-30,3945.484960670659
2018-05-01,3976.81712710888
2018-05-31,4037.53457344981
