Date,AC ASIA IMI WITH PARTIAL A SHARES
2008-11-28,1054.8786027146418
2008-12-31,1049.7796346433404
2009-01-30,1068.9058237671231
2009-02-27,970.4483671990009
2009-03-31,993.1156591197457
2009-04-30,1120.159577087896
2009-05-29,1192.3420788976211
2009-06-30,1214.7701241682657
2009-07-31,1300.254189657371
2009-08-31,1292.366598229937
2009-09-30,1309.6442914947331
2009-10-30,1277.832369210296
2009-11-30,1265.5562087141125
2009-12-31,1358.2818492924296
2010-01-29,1372.467779498262
2010-02-26,1410.18184443928
2010-03-31,1510.318101589883
2010-04-30,1554.9502013564206
2010-05-31,1545.0761082316799
2010-06-30,1548.3219440924568
2010-07-30,1523.094536076365
2010-08-31,1536.5530409877504
2010-09-30,1546.7534308738911
2010-10-29,1554.2890440408764
2010-11-30,1660.8430835429556
2010-12-31,1717.220812905264
2011-01-31,1672.2484765958175
2011-02-28,1659.2299356448386
2011-03-31,1595.484709226443
2011-04-29,1560.6307417341973
2011-05-31,1585.7185577756484
2011-06-30,1564.3300245831645
2011-07-29,1615.95830211174
2011-08-31,1468.9262495392543
2011-09-30,1450.0676206526216
2011-10-31,1472.6589904432956
2011-11-30,1427.9563867055783
2011-12-30,1489.5207042254954
2012-01-31,1590.9450574581122
2012-02-29,1642.7584054987592
2012-03-30,1632.1739761211784
2012-04-30,1618.4803665527918
2012-05-31,1575.4517501761413
2012-06-29,1593.1754549737361
2012-07-31,1644.084541978317
2012-08-31,1599.6725225120042
2012-09-28,1644.5014230749664
2012-10-31,1615.5764736007543
2012-11-30,1649.0116050613276
2012-12-31,1692.09355690641
2013-01-31,1687.7894569136142
2013-02-28,1774.8292424414126
2013-03-29,1833.223765010331
2013-04-30,1872.3381356155376
2013-05-31,1842.448032481421
2013-06-28,1787.1249647741847
2013-07-31,1771.073352680562
2013-08-30,1751.6742779551041
2013-09-30,1827.4785890590865
2013-10-31,1857.232922975637
2013-11-29,1865.4226766817048
2013-12-31,1841.2523570488515
2014-01-31,1806.8662687657788
2014-02-28,1788.7525678153183
2014-03-31,1792.7263957320786
2014-04-30,1767.420907618323
2014-05-30,1865.86422955734
2014-06-30,1930.043225776015
2014-07-31,2016.740483668321
2014-08-29,2039.233756704949
2014-09-30,2052.713468524029
2014-10-31,2070.0307801528697
2014-11-28,2082.9451695831754
2014-12-31,2114.3260849801404
2015-01-30,2322.931583895996
2015-02-27,2422.1053533499526
2015-03-31,2559.6358238029966
2015-04-30,2592.6777277832607
2015-05-29,2639.453272630398
2015-06-30,2526.009481124211
2015-07-31,2458.1275199999973
2015-08-31,2236.131675162713
2015-09-30,2157.958614108383
2015-10-30,2368.6939601475547
2015-11-30,2431.4718770708196
2015-12-31,2363.91206895789
2016-01-29,2180.010215625502
2016-02-29,2135.0576090868763
2016-03-31,2201.1789494356617
2016-04-29,2228.6432875632418
2016-05-31,2266.050141243289
2016-06-30,2276.82367618583
2016-07-29,2383.448055434801
2016-08-31,2429.9378642823904
2016-09-30,2453.072259637413
2016-10-31,2508.2170076478305
2018-03-30,2895.7995715095662
2018-04-30,2964.4485284733837
2018-05-01,2982.2419115252333
2018-05-31,3037.470556860056
