Date,ACWI IMI WITH PARTIAL A SHARES
2008-11-28,1061.8714841508367
2008-12-31,1007.6383301805054
2009-01-30,1000.9403613570106
2009-02-27,911.1381410088254
2009-03-31,943.9882244741477
2009-04-30,1063.1281798680302
2009-05-29,1094.8097915471526
2009-06-30,1100.699461498785
2009-07-31,1185.5061211940283
2009-08-31,1215.5387314451348
2009-09-30,1250.4085052375872
2009-10-30,1216.8690918385607
2009-11-30,1243.0032547803132
2009-12-31,1331.9512837011946
2010-01-29,1318.3836801086595
2010-02-26,1361.234690270577
2010-03-31,1463.6573324303743
2010-04-30,1498.5910867770328
2010-05-31,1469.4563967724453
2010-06-30,1425.0077694679026
2010-07-30,1448.0918653578958
2010-08-31,1431.58632604768
2010-09-30,1463.7121671911034
2010-10-29,1490.4826845710645
2010-11-30,1560.9829821844912
2010-12-31,1628.7680648000016
2011-01-31,1616.194320115354
2011-02-28,1651.4487700123348
2011-03-31,1609.2704383724124
2011-04-29,1601.7859929214922
2011-05-31,1617.4517222430102
2011-06-30,1577.2345073584434
2011-07-29,1565.0041228916284
2011-08-31,1445.1215977094648
2011-09-30,1399.4589974021592
2011-10-31,1491.935007587118
2011-11-30,1499.4411415093766
2011-12-30,1550.263396289164
2012-01-31,1630.9067520425306
2012-02-29,1676.2738372046356
2012-03-30,1694.496594044234
2012-04-30,1686.1859234366343
2012-05-31,1643.3317771786337
2012-06-29,1677.1579777877964
2012-07-31,1748.463432672499
2012-08-31,1747.5093869611735
2012-09-28,1767.529020612308
2012-10-31,1743.1274338073458
2012-11-30,1758.324824125439
2012-12-31,1776.4636904192198
2013-01-31,1806.809462470312
2013-02-28,1877.768799457761
2013-03-29,1949.6964985594514
2013-04-30,1949.3135386902702
2013-05-31,1980.6907005077856
2013-06-28,1916.861515900097
2013-07-31,1968.7571907740232
2013-08-30,1941.4750695208181
2013-09-30,1993.1435404578956
2013-10-31,2061.8826683550606
2013-11-29,2088.1461146131523
2013-12-31,2099.7585629285704
2014-01-31,2065.563381235991
2014-02-28,2115.0373132656805
2014-03-31,2126.923861673178
2014-04-30,2127.3312812045497
2014-05-30,2205.2078668617946
2014-06-30,2244.6690767629602
2014-07-31,2261.8406690124
2014-08-29,2350.7826946187974
2014-09-30,2364.4595223491906
2014-10-31,2402.8210602141335
2014-11-28,2450.8238926054023
2014-12-31,2483.7765589694313
2015-01-30,2622.0850676978607
2015-02-27,2785.4623323348446
2015-03-31,2871.3528843514655
2015-04-30,2828.3519438937715
2015-05-29,2893.146068782196
2015-06-30,2783.3340886479464
2015-07-31,2822.2925055499636
2015-08-31,2595.89306361222
2015-09-30,2510.5070236753227
2015-10-30,2729.064184272823
2015-11-30,2836.8592683049665
2015-12-31,2706.748143896081
2016-01-29,2545.5190863398907
2016-02-29,2521.7530501428114
2016-03-31,2586.8889670053554
2016-04-29,2614.191843064949
2016-05-31,2694.9427331539023
2016-06-30,2681.215427991215
2016-07-29,2782.2137845949715
2016-08-31,2802.9196765369657
2016-09-30,2798.035709571014
2016-10-31,2813.108161610453
2018-03-30,3180.1035175808825
2018-04-30,3267.056955852437
2018-05-01,3288.1198754444017
2018-05-31,3394.9053883935903
