Date,AC AP ex JP IMI WITH PARTIAL A SHARES
2008-11-28,1086.062777108741
2008-12-31,1085.1589848206181
2009-01-30,1087.9830223353902
2009-02-27,1036.5951305005683
2009-03-31,1140.3718407854585
2009-04-30,1323.6086339534668
2009-05-29,1434.2811895860004
2009-06-30,1458.1082320947276
2009-07-31,1621.6548969614023
2009-08-31,1597.389973016671
2009-09-30,1716.6648710121349
2009-10-30,1698.2885208783043
2009-11-30,1718.9403846840562
2009-12-31,1868.706522929971
2010-01-29,1808.7551844016905
2010-02-26,1864.631704121937
2010-03-31,2025.6096698583076
2010-04-30,2091.4174746520707
2010-05-31,2018.922390589035
2010-06-30,2036.4857204575137
2010-07-30,2057.214407613569
2010-08-31,2079.2188347894853
2010-09-30,2169.7882045048527
2010-10-29,2193.8099194127985
2010-11-30,2295.1211080231474
2010-12-31,2377.7405113436516
2011-01-31,2291.9696586318432
2011-02-28,2233.0514506385243
2011-03-31,2281.7577125647963
2011-04-29,2275.484137913932
2011-05-31,2293.825747392267
2011-06-30,2227.2962736291483
2011-07-29,2261.4573365667948
2011-08-31,2060.7946082885533
2011-09-30,1902.3401335441465
2011-10-31,2068.819141215293
2011-11-30,1974.033833375673
2011-12-30,2041.4483252749885
2012-01-31,2230.957649579031
2012-02-29,2307.457579450648
2012-03-30,2244.7771703582494
2012-04-30,2265.2421232024553
2012-05-31,2175.8610108915113
2012-06-29,2196.2389188768657
2012-07-31,2339.507117366621
2012-08-31,2284.337609716477
2012-09-28,2370.7320911112397
2012-10-31,2362.5286327535537
2012-11-30,2406.7426172355085
2012-12-31,2450.120203352072
2013-01-31,2447.275047722987
2013-02-28,2566.065313571259
2013-03-29,2577.6528620943136
2013-04-30,2570.0679512199576
2013-05-31,2514.7232284323004
2013-06-28,2346.689779303134
2013-07-31,2344.6914944221703
2013-08-30,2342.3940640034934
2013-09-30,2418.678144464324
2013-10-31,2514.1421345452914
2013-11-29,2481.2920355770952
2013-12-31,2425.3661509244694
2014-01-31,2361.1412009922697
2014-02-28,2409.205568934199
2014-03-31,2456.099808792946
2014-04-30,2463.518990036119
2014-05-30,2580.8258130613144
2014-06-30,2615.422221780457
2014-07-31,2764.8697854188467
2014-08-29,2833.4918573072287
2014-09-30,2751.064291427302
2014-10-31,2834.130770182392
2014-11-28,2810.2606374164716
2014-12-31,2839.9900856223117
2015-01-30,3087.81644168693
2015-02-27,3205.3004356543966
2015-03-31,3349.5960778743683
2015-04-30,3415.6454022160938
2015-05-29,3421.796449105396
2015-06-30,3222.995020485298
2015-07-31,3069.956672511556
2015-08-31,2719.854833286568
2015-09-30,2675.475210340179
2015-10-30,2906.65729238568
2015-11-30,2971.002446460662
2015-12-31,2898.337330869138
2016-01-29,2666.8628075767347
2016-02-29,2634.188187043846
2016-03-31,2796.7677626843533
2016-04-29,2784.031095316734
2016-05-31,2817.97517882451
2016-06-30,2880.4025308655887
2016-07-29,3016.1755744696175
2016-08-31,3088.5650115995636
2016-09-30,3112.6296915240887
2016-10-31,3131.90467718442
2018-03-30,3645.7434854110597
2018-04-30,3742.812882328233
2018-05-01,3769.793279243422
2018-05-31,3848.529220522531
