Date,EM EASTERN EUROPE VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.96007798036867
2001-01-03,94.52916981370608
2001-01-04,100.20682895937928
2001-01-05,100.93377307818557
2001-01-08,100.49667529362593
2001-01-09,100.58613684282099
2001-01-10,102.50195583860257
2001-01-11,104.06264152248494
2001-01-12,105.4872096949732
2001-01-15,106.94413112207113
2001-01-16,105.7698873616009
2001-01-17,108.42004309653313
2001-01-18,107.89701104921244
2001-01-19,110.54345576477623
2001-01-22,107.7681337469791
2001-01-23,109.3384136460998
2001-01-24,111.64554934982094
2001-01-25,112.52925606323119
2001-01-26,112.7977431840842
2001-01-29,112.16633377412944
2001-01-30,112.63451045196219
2001-01-31,112.971989614042
2001-02-01,111.74164822847142
2001-02-02,112.12390992852416
2001-02-05,108.51403661418334
2001-02-06,109.90222832803775
2001-02-07,107.9503163381584
2001-02-08,109.29158458430798
2001-02-09,107.99123708742056
2001-02-12,108.34765189783951
2001-02-13,111.21737257432956
2001-02-14,110.65858420708261
2001-02-15,113.4383119071953
2001-02-16,110.24915906555955
2001-02-19,108.99234699833511
2001-02-20,107.31775760276741
2001-02-21,100.70127079453196
2001-02-22,101.89540243822508
2001-02-23,99.86849694716722
2001-02-26,102.66058708973235
2001-02-27,101.25486961897971
2001-02-28,102.26892811402944
2001-03-01,100.6901699596712
2001-03-02,101.55131074233793
2001-03-05,104.30420279386936
2001-03-06,107.22384023329272
2001-03-07,107.58939067340197
2001-03-08,107.47501359207371
2001-03-09,106.87333986512114
2001-03-12,102.7197399930027
2001-03-13,102.02260553010328
2001-03-14,98.74686056196643
2001-03-15,100.61249091758108
2001-03-16,100.11791524184088
2001-03-19,102.06205449065835
2001-03-20,102.70061567489938
2001-03-21,100.05946327850764
2001-03-22,97.86056762282868
2001-03-23,99.64355150816415
2001-03-26,101.52372979093703
2001-03-27,101.25514481381589
2001-03-28,100.32105162361465
2001-03-29,98.55517837252927
2001-03-30,99.27568524109078
2001-04-02,97.80704145765601
2001-04-03,95.1130005446753
2001-04-04,94.80770401945924
2001-04-05,98.11348639263234
2001-04-06,97.86732988495068
2001-04-09,98.97252090115241
2001-04-10,99.61224046027536
2001-04-11,101.36240504086558
2001-04-12,101.31967867454688
2001-04-13,102.26823291288169
2001-04-16,101.26969000960075
2001-04-17,100.25701254859618
2001-04-18,103.3233229815698
2001-04-19,104.89382224599444
2001-04-20,103.5522524146036
2001-04-23,100.80676160992417
2001-04-24,101.33435579364449
2001-04-25,102.08158352333318
2001-04-26,104.84013651938159
2001-04-27,105.61445942972168
2001-04-30,104.60375145912265
2001-05-01,104.7210188940124
2001-05-02,105.25696100182353
2001-05-03,104.91934338770913
2001-05-04,105.03453708373166
2001-05-07,105.88693765974892
