Date,EM LATIN AMERICA ex BRAZIL VALUE
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,995.6621152686566
1999-01-05,991.1667487819141
1999-01-06,1002.0131839237959
1999-01-07,988.9254367807935
1999-01-08,975.457007218662
1999-01-11,958.3113949973742
1999-01-12,917.9835117327921
1999-01-13,858.4438806465553
1999-01-14,852.9858361228362
1999-01-15,921.9986206170013
1999-01-18,927.4821475501457
1999-01-19,925.9696172251944
1999-01-20,953.318421795208
1999-01-21,926.1929194886932
1999-01-22,918.6460789998913
1999-01-25,924.6834036942099
1999-01-26,935.0558800445774
1999-01-27,950.0210980211959
1999-01-28,971.3382088898384
1999-01-29,976.9939249962167
1999-02-01,993.3698182583174
1999-02-02,991.4325610386891
1999-02-03,1001.2889404124479
1999-02-04,997.4730939131002
1999-02-05,997.17331178085
1999-02-08,997.0956356989248
1999-02-09,988.5917064799776
1999-02-10,994.0467091406582
1999-02-11,1019.6302371844754
1999-02-12,1011.5585290603576
1999-02-15,1016.1503546018936
1999-02-16,1020.3926876890349
1999-02-17,1007.2279164847714
1999-02-18,1014.5365024030638
1999-02-19,1035.0710098085021
1999-02-22,1047.6646537600545
1999-02-23,1038.0023694682593
1999-02-24,1040.491169707215
1999-02-25,1036.8466924429358
1999-02-26,1036.576767787536
1999-03-01,1026.5760422896428
1999-03-02,1018.7881271497295
1999-03-03,1013.5050791314463
1999-03-04,1035.3230621014602
1999-03-05,1046.8761037739503
1999-03-08,1072.4830022807685
1999-03-09,1087.894334701077
1999-03-10,1114.788070081056
1999-03-11,1124.019601469074
1999-03-12,1138.111899707617
1999-03-15,1158.7280654913313
1999-03-16,1176.501701022939
1999-03-17,1172.1467533686225
1999-03-18,1177.2787959707773
1999-03-19,1163.8423039628697
1999-03-22,1151.589288262249
1999-03-23,1140.3988085591386
1999-03-24,1162.0813703639071
1999-03-25,1182.9205336081097
1999-03-26,1177.6876849126431
1999-03-29,1203.6358000886557
1999-03-30,1213.7572057566954
1999-03-31,1227.8520874062542
1999-04-01,1232.3789308743467
1999-04-02,1233.9683671006326
1999-04-05,1274.4807604469768
1999-04-06,1277.2953601065506
1999-04-07,1285.0449807195362
1999-04-08,1300.9840237106366
1999-04-09,1305.5067609385683
1999-04-12,1321.6289764856133
1999-04-13,1321.5955966031775
1999-04-14,1329.4897974079486
1999-04-15,1381.908581696691
1999-04-16,1429.008754551774
1999-04-19,1443.7399578753586
1999-04-20,1434.276540220984
1999-04-21,1421.9515510275821
1999-04-22,1440.6014591807766
1999-04-23,1420.445124312854
1999-04-26,1401.0202072756438
1999-04-27,1389.5069644931623
1999-04-28,1412.1322236061021
1999-04-29,1419.365078291922
1999-04-30,1416.665032473701
1999-05-03,1444.9625820376
1999-05-04,1447.0835365098703
1999-05-05,1455.831542045378
1999-05-06,1489.6363695205598
1999-05-07,1517.0734240590787
1999-05-10,1544.7525058582803
1999-05-11,1518.499148444582
1999-05-12,1491.3878664135648
1999-05-13,1528.3608475019234
1999-05-14,1490.859511173648
1999-05-17,1474.9171420304262
1999-05-18,1485.7492786828213
1999-05-19,1448.4615500484742
1999-05-20,1453.2597045361792
1999-05-21,1405.2644139476383
1999-05-24,1362.683001425065
1999-05-25,1330.4880836018042
1999-05-26,1369.6211190147276
1999-05-27,1319.7304512546762
1999-05-28,1328.0862087415935
1999-05-31,1331.7627498496201
1999-06-01,1313.5914632361837
1999-06-02,1307.4658420079186
1999-06-03,1312.195921478369
1999-06-04,1333.3510101092033
1999-06-07,1353.134031093576
1999-06-08,1358.0720762198043
1999-06-09,1350.249432196136
1999-06-10,1343.7261905186797
1999-06-11,1321.9506810877429
1999-06-14,1306.9484731318933
1999-06-15,1320.6389745173567
1999-06-16,1381.6764719358705
1999-06-17,1398.1198798739865
1999-06-18,1400.709984060127
1999-06-21,1410.8086836386
1999-06-22,1416.3348917345031
1999-06-23,1395.0359730977978
1999-06-24,1373.023488591692
1999-06-25,1359.5382654712723
1999-06-28,1377.227390971029
1999-06-29,1385.3883862367393
1999-06-30,1410.9673651504165
1999-07-01,1416.7940063174815
1999-07-02,1434.660864563886
1999-07-05,1446.3903786162573
1999-07-06,1445.9701085690028
1999-07-07,1452.8527014105143
1999-07-08,1432.946465374471
1999-07-09,1437.2314837055978
1999-07-12,1387.4182267196143
1999-07-13,1415.3676703721546
1999-07-14,1418.7623209308238
1999-07-15,1412.858150759395
1999-07-16,1416.7074573991968
1999-07-19,1419.2851154649459
1999-07-20,1398.2678915999018
1999-07-21,1403.6618384175613
1999-07-22,1392.2512481976903
1999-07-23,1355.9646520641315
1999-07-26,1317.288746398868
1999-07-27,1311.9239930006215
1999-07-28,1330.4020292795342
1999-07-29,1298.4071313725997
1999-07-30,1300.9333443212843
1999-08-02,1275.9713415306085
1999-08-03,1276.4549989297311
1999-08-04,1274.9827791376565
