Date,EM EASTERN EUROPE ex RUSSIA VALUE
2007-10-04,1160.1942724397315
2007-10-05,1168.526994516211
2007-10-08,1162.5616978470052
2007-10-09,1182.8161485925662
2007-10-10,1180.0324488229014
2007-10-11,1219.5121434393006
2007-10-12,1212.0146026669322
2007-10-15,1228.692038674506
2007-10-16,1205.6948021710684
2007-10-17,1212.5508249428137
2007-10-18,1205.817767266247
2007-10-19,1207.1890581800455
2007-10-22,1197.209009827994
2007-10-23,1228.335402145418
2007-10-24,1224.2999234995636
2007-10-25,1243.595181817719
2007-10-26,1257.8052644120703
2007-10-29,1270.0068913670846
2007-10-30,1258.930297601221
2007-10-31,1261.9991635657093
2007-11-01,1256.9701454815888
2007-11-02,1247.814544885301
2007-11-05,1238.219799464253
2007-11-06,1253.8152883046682
2007-11-07,1243.7168781835012
2007-11-08,1240.3131625029941
2007-11-09,1224.4308004693646
2007-11-12,1193.020093728462
2007-11-13,1207.5059445766703
2007-11-14,1213.0348055871063
2007-11-15,1192.5064206926147
2007-11-16,1184.6825910242967
2007-11-19,1188.7732763157987
2007-11-20,1200.40257789483
2007-11-21,1180.9581707244315
2007-11-22,1187.3467757542815
2007-11-23,1192.7555958158953
2007-11-26,1179.1524696258805
2007-11-27,1151.72832958933
2007-11-28,1179.2963155649763
2007-11-29,1183.8561248274002
2007-11-30,1197.7795571387412
2007-12-03,1186.459086530605
2007-12-04,1201.7543807803493
2007-12-05,1234.0322161080783
2007-12-06,1244.2427382728124
2007-12-07,1255.54189446007
2007-12-10,1272.5165367368875
2007-12-11,1259.5770331571625
2007-12-12,1260.8171297374192
2007-12-13,1230.216641279913
2007-12-14,1195.1800259836562
2007-12-17,1158.0792519114445
2007-12-18,1163.950679997836
2007-12-19,1154.8056663029945
2007-12-20,1152.7717671923758
2007-12-21,1159.3687622661246
2007-12-24,1163.3936974811863
2007-12-25,1163.3936974811863
2007-12-26,1169.3214390526678
2007-12-27,1191.8196460697402
2007-12-28,1188.534673889267
2007-12-31,1184.696031228633
2008-01-01,1184.696031228633
2008-01-02,1180.9079851776755
2008-01-03,1197.7539780163554
2008-01-04,1189.6086941573094
2008-01-07,1180.2065163120283
2008-01-08,1200.1698268956416
2008-01-09,1175.114158469397
2008-01-10,1167.3691543237114
2008-01-11,1158.8283539390616
2008-01-14,1155.3828148716266
2008-01-15,1116.5972228701692
2008-01-16,1057.7208735664308
2008-01-17,1044.096279532843
2008-01-18,1051.502279938965
2008-01-21,984.7747827910717
2008-01-22,1008.9385967964971
2008-01-23,989.5697528628285
2008-01-24,1047.4448471081955
2008-01-25,1051.8093891209082
2008-01-28,1044.8630568639178
2008-01-29,1055.0133512620978
2008-01-30,1070.1514337496435
2008-01-31,1062.7456718672247
2008-02-01,1095.8240552835753
2008-02-04,1113.8136006104103
2008-02-05,1068.4778902535481
2008-02-06,1065.2879008180928
2008-02-07,1028.402963486083
2008-02-08,1030.8943628308607
2008-02-11,1033.8383431502264
2008-02-12,1076.8410132952547
2008-02-13,1091.6636339906333
2008-02-14,1096.9188841318908
2008-02-15,1087.9797504159149
2008-02-18,1105.4973028000643
2008-02-19,1109.9739264678894
2008-02-20,1098.7484379833525
2008-02-21,1112.6201576765206
2008-02-22,1105.4059606006685
2008-02-25,1127.2096706208908
2008-02-26,1124.7639807131327
2008-02-27,1144.0796202588183
2008-02-28,1142.147269990074
2008-02-29,1127.507512957034
2008-03-03,1112.393405730817
2008-03-04,1094.3783984135275
2008-03-05,1122.813233282878
2008-03-06,1110.506237469065
2008-03-07,1096.429923921007
2008-03-10,1095.3119606389148
2008-03-11,1127.003716334281
2008-03-12,1147.1386206333243
2008-03-13,1122.3250022719635
2008-03-14,1118.853551711473
2008-03-17,1092.9677003526037
2008-03-18,1130.9029830299914
2008-03-19,1119.3813724550814
2008-03-20,1072.7187521851806
2008-03-21,1081.4425462270842
2008-03-24,1083.1162697774707
2008-03-25,1119.9415738654816
2008-03-26,1130.115946015482
2008-03-27,1155.731910045611
2008-03-28,1152.2112298905747
2008-03-31,1158.048326012245
2008-04-01,1154.6434777729921
2008-04-02,1153.8458877654637
2008-04-03,1162.1180779851159
2008-04-04,1182.4596320002654
2008-04-07,1189.9421561271163
2008-04-08,1179.9400427783164
2008-04-09,1189.1939934970344
2008-04-10,1190.9720362440792
2008-04-11,1175.2916288280173
2008-04-14,1177.8029717161953
2008-04-15,1183.7126217180412
2008-04-16,1188.2565750232254
2008-04-17,1185.335043031438
2008-04-18,1181.2960756248528
2008-04-21,1193.2407715180593
2008-04-22,1194.8642410217915
2008-04-23,1182.8993412227576
2008-04-24,1183.5290605713546
2008-04-25,1175.194204028285
2008-04-28,1182.1702420004879
2008-04-29,1159.0965244122508
2008-04-30,1166.76976443923
2008-05-01,1154.6229398428238
2008-05-02,1160.8263340306526
2008-05-05,1182.5193179927953
2008-05-06,1189.2661478910268
2008-05-07,1196.9443319789652
2008-05-08,1191.6917737605222
2008-05-09,1193.2219107193089
2008-05-12,1213.1026551434766
2008-05-13,1221.050283438258
2008-05-14,1227.1214705633322
2008-05-15,1221.0234575495033
2008-05-16,1241.6438268279705
2008-05-19,1231.3811594575523
2008-05-20,1230.183180001667
2008-05-21,1233.35291782593
2008-05-22,1231.1948658001031
2008-05-23,1225.2264323174359
2008-05-26,1225.1398553900135
2008-05-27,1216.182793298133
2008-05-28,1218.9722696039005
2008-05-29,1216.805880204653
2008-05-30,1210.5880397991384
2008-06-02,1202.8943675933608
2008-06-03,1210.8064090018827
2008-06-04,1194.8095183254136
2008-06-05,1210.3890004466023
2008-06-06,1209.5838162302919
2008-06-09,1201.429439350554
2008-06-10,1157.1558908812647
2008-06-11,1153.8726978720072
2008-06-12,1158.5450678085413
2008-06-13,1162.7393043297927
2008-06-16,1160.9267025551944
2008-06-17,1173.4323230987693
2008-06-18,1165.1776479499688
2008-06-19,1167.6829513056466
2008-06-20,1161.0244876058898
2008-06-23,1137.493804865271
2008-06-24,1136.559597375065
2008-06-25,1144.7405529110267
2008-06-26,1158.7448215281506
2008-06-27,1144.84438108172
2008-06-30,1150.0233718321317
2008-07-01,1136.6320878032143
2008-07-02,1154.2135563354946
2008-07-03,1138.1020067824224
2008-07-04,1127.9334351437883
2008-07-07,1142.4320821924223
2008-07-08,1150.8586272367445
2008-07-09,1190.8311267873646
2008-07-10,1189.618677306979
2008-07-11,1196.5872335348545
2008-07-14,1200.3482006240047
2008-07-15,1179.4108406958396
2008-07-16,1174.5681980557822
2008-07-17,1215.286238770124
2008-07-18,1213.086361758877
2008-07-21,1235.96256015792
2008-07-22,1221.6687754802072
2008-07-23,1213.5938800232218
2008-07-24,1201.0383266897322
2008-07-25,1204.484105259803
2008-07-28,1218.001542100192
2008-07-29,1207.4106149106478
2008-07-30,1245.0018769650521
2008-07-31,1246.6505039318133
2008-08-01,1225.5271209215725
2008-08-04,1219.9733056764044
2008-08-05,1224.4006227123004
2008-08-06,1205.1929034662544
2008-08-07,1181.5367659986907
2008-08-08,1129.8912804199417
2008-08-11,1134.4801119724407
2008-08-12,1140.698482748688
2008-08-13,1123.303875884817
2008-08-14,1120.0853975178893
2008-08-15,1103.6315643543016
2008-08-18,1108.5592902583421
2008-08-19,1082.2454740517633
2008-08-20,1095.5062887120675
2008-08-21,1105.6979487757487
2008-08-22,1117.320159752249
2008-08-25,1107.6624284938016
2008-08-26,1077.1025780437312
2008-08-27,1076.71030218112
2008-08-28,1089.1511002462382
2008-08-29,1106.883308723589
2008-09-01,1078.9563505957065
2008-09-02,1083.5536587912254
2008-09-03,1064.504625502714
2008-09-04,1054.4678505934717
2008-09-05,994.7027285056279
2008-09-08,1015.8914487693547
2008-09-09,1005.5526061948817
2008-09-10,988.2144332131462
2008-09-11,961.3207105043981
2008-09-12,994.6728548476735
2008-09-15,961.1669438595867
2008-09-16,914.9895433228502
2008-09-17,918.7783426321357
2008-09-18,937.5031451617394
2008-09-19,1022.6639698663223
2008-09-22,1030.0065303070458
2008-09-23,1002.7243134738435
2008-09-24,993.8779646224586
2008-09-25,1020.8390087293284
2008-09-26,1019.0868602406259
2008-09-29,958.6344213526161
2008-09-30,945.4723233468567
2008-10-01,961.4354327490989
2008-10-02,924.5430515870714
2008-10-03,918.9272097592462
2008-10-06,825.66449548984
2008-10-07,832.7585022913646
2008-10-08,795.1482460974256
2008-10-09,777.2629088475516
2008-10-10,689.7751754712787
2008-10-13,728.9936155668976
2008-10-14,793.0814097460951
2008-10-15,720.3865130381631
2008-10-16,665.927797219501
2008-10-17,628.6340009277372
2008-10-20,618.0457176307364
2008-10-21,611.9847567463744
2008-10-22,558.0574015519926
2008-10-23,548.405989643012
2008-10-24,513.7979348154457
2008-10-27,488.1974635871906
2008-10-28,521.8774126850024
2008-10-29,619.2864335181508
2008-10-30,626.0732774076565
2008-10-31,642.8157264064586
2008-11-03,640.7444826182304
2008-11-04,687.1954245204007
2008-11-05,664.387290481559
2008-11-06,604.4996787673048
2008-11-07,613.3064192271293
2008-11-10,613.4184327629939
2008-11-11,579.8175093123114
2008-11-12,559.1624691565711
2008-11-13,538.2126197654504
2008-11-14,561.312460120374
2008-11-17,546.3045671224802
2008-11-18,524.0687237874329
2008-11-19,529.6920442036329
2008-11-20,490.2802325444768
2008-11-21,498.54056900392993
2008-11-24,556.9894203731394
2008-11-25,578.9992503761266
2008-11-26,574.1945910766043
2008-11-27,581.4690483821004
2008-11-28,577.0785211867571
2008-12-01,555.3240467060169
2008-12-02,558.5538896774793
2008-12-03,552.1858161797115
2008-12-04,565.6695095799753
2008-12-05,545.890339115344
2008-12-08,572.5813591524472
2008-12-09,576.1664067601278
