Date,EM (EMERGING MARKETS) VALUE
2001-12-19,98.09331776964974
2001-12-20,98.23902565707847
2001-12-21,97.80169236723069
2001-12-24,98.38729771109564
2001-12-25,98.92533594436146
2001-12-26,99.21265444645482
2001-12-27,99.94889995382171
2001-12-28,100.71954182591939
2001-12-31,101.47723144337347
2002-01-01,101.5250775417847
2002-01-02,103.1301006914693
2002-01-03,104.88443009198446
2002-01-04,106.70024815972256
2002-01-07,107.73987843232564
2002-01-08,106.92255328240681
2002-01-09,107.28757888258637
2002-01-10,105.73309969024274
2002-01-11,105.27896196385421
2002-01-14,104.56246029869659
2002-01-15,104.06016574657794
2002-01-16,103.19522473540741
2002-01-17,104.0345457757564
2002-01-18,103.90204247322875
2002-01-21,104.64884986374823
2002-01-22,104.4882779592864
2002-01-23,105.47997386499969
2002-01-24,106.28643809213091
2002-01-25,107.28751838752218
2002-01-28,107.75225884382508
2002-01-29,106.87969773723877
2002-01-30,105.58699499423771
2002-01-31,107.2742730648664
2002-02-01,107.03663729318404
2002-02-04,106.30608550606325
2002-02-05,106.40663043733655
2002-02-06,106.9588676607978
2002-02-07,105.88382443842875
2002-02-08,106.01290896501803
2002-02-11,105.79299751651263
2002-02-12,106.20142591680185
2002-02-13,107.06535071337049
2002-02-14,109.69238223281923
2002-02-15,109.70323674224409
2002-02-18,109.5417148219615
2002-02-19,108.33411377060128
2002-02-20,107.52357178665665
2002-02-21,107.5631991224704
2002-02-22,107.6056733960112
2002-02-25,108.0585665430207
2002-02-26,108.6302967674893
2002-02-27,110.44419378500939
2002-02-28,109.70696333111357
2002-03-01,110.98074262647681
2002-03-04,112.8735599165653
2002-03-05,112.76296551577325
2002-03-06,113.17368316444681
2002-03-07,112.95206977125851
2002-03-08,113.56001742561904
2002-03-11,113.76543658919344
2002-03-12,114.1202920049725
2002-03-13,114.02892693918095
2002-03-14,113.9981134355252
2002-03-15,114.3785327905133
2002-03-18,115.2025320081291
2002-03-19,115.5868594649318
2002-03-20,115.4620450531656
2002-03-21,115.41607521120036
2002-03-22,115.58734961110291
2002-03-25,114.51560552965192
2002-03-26,114.68693953215246
2002-03-27,115.31497701433119
2002-03-28,115.42485335749333
2002-03-29,115.09396558355593
2002-04-01,114.38554525481243
2002-04-02,115.54439251432915
2002-04-03,116.1137202782836
2002-04-04,116.69038952122278
2002-04-05,117.38693357642508
2002-04-08,116.73311849419893
2002-04-09,116.0727463742266
2002-04-10,116.04995377992456
2002-04-11,116.27348143814946
2002-04-12,116.9449281413055
2002-04-15,117.28878820050215
2002-04-16,118.06277408915237
2002-04-17,120.27261294962484
2002-04-18,120.18849349300672
2002-04-19,120.56397033212023
2002-04-22,120.60059718677897
2002-04-23,119.90536622855373
2002-04-24,119.38076797250092
2002-04-25,117.31859287540003
2002-04-26,117.69929934518748
2002-04-29,116.22997549287614
2002-04-30,115.99650900535548
2002-05-01,116.0038819207948
2002-05-02,116.48409311424709
2002-05-03,117.26058617116867
2002-05-06,116.04194521676403
2002-05-07,115.68718438384192
2002-05-08,117.21539114051946
2002-05-09,116.3633626782418
2002-05-10,115.84900481900695
2002-05-13,115.89451775528333
2002-05-14,116.5570431486908
2002-05-15,118.08273522476111
2002-05-16,118.43472361258814
2002-05-17,119.10089510981032
2002-05-20,118.0521233726049
2002-05-21,116.30685183935401
2002-05-22,117.23355079913397
2002-05-23,116.42741766173545
2002-05-24,117.53803285720605
2002-05-27,117.77420110524017
2002-05-28,117.30276423225062
2002-05-29,116.85000236628062
2002-05-30,116.24760609548689
2002-05-31,115.07945467012172
2002-06-03,115.47940797483676
2002-06-04,115.59868375082556
2002-06-05,115.02844096701179
2002-06-06,114.63612458606583
2002-06-07,113.59183149444702
2002-06-10,114.64804569050696
2002-06-11,114.39374326418492
2002-06-12,113.87128668253065
2002-06-13,113.97363205571868
2002-06-14,112.54295871833123
2002-06-17,112.04583105140642
2002-06-18,112.20177577995867
2002-06-19,109.68774381916087
2002-06-20,109.33838937242413
2002-06-21,108.58573877208802
2002-06-24,107.59555240980757
2002-06-25,106.74105986012582
2002-06-26,102.9531039615988
2002-06-27,104.29112746308776
2002-06-28,106.35329969875534
2002-07-01,106.13463312357072
2002-07-02,105.5909704472011
2002-07-03,105.74836618328214
2002-07-04,107.20687776655456
2002-07-05,108.83861099063496
2002-07-08,109.0943554949004
2002-07-09,110.17956445529033
2002-07-10,109.44055143061475
2002-07-11,107.56030764254761
2002-07-12,109.5171282614193
2002-07-15,108.61435221794463
2002-07-16,107.90069159905387
2002-07-17,108.60629851065
2002-07-18,109.3147828645861
2002-07-19,107.7301535947472
2002-07-22,104.3185231224272
2002-07-23,104.05841024860514
2002-07-24,101.37573742434738
2002-07-25,101.46734288493799
2002-07-26,98.35668937969832
2002-07-29,98.75577468384745
2002-07-30,100.39286377937366
2002-07-31,98.9376957335738
2002-08-01,98.67018573537244
2002-08-02,98.34452986030672
2002-08-05,94.29742250353553
2002-08-06,94.27219687468421
2002-08-07,96.13329530214097
2002-08-08,97.1697547828246
2002-08-09,97.58172858941204
2002-08-12,97.38787683943757
2002-08-13,97.24370724242634
2002-08-14,97.98218508288247
2002-08-15,98.31776200249422
2002-08-16,98.83800275696
2002-08-19,98.828237032072
2002-08-20,99.52315890460493
2002-08-21,100.38428121681032
2002-08-22,100.68445702061004
2002-08-23,100.14995316741606
2002-08-26,100.12083168832359
2002-08-27,100.3266401438626
2002-08-28,99.43053484228436
2002-08-29,98.87971269333367
2002-08-30,99.61398603183883
2002-09-02,99.48671359621848
2002-09-03,97.72608032188884
2002-09-04,96.78241888707466
2002-09-05,95.91986825736596
2002-09-06,95.53081452301895
2002-09-09,95.58508632638876
2002-09-10,97.3688907256483
2002-09-11,98.38044405501611
2002-09-12,98.26836318754147
2002-09-13,96.5493413431063
2002-09-16,94.59806843925843
2002-09-17,96.20425446138128
2002-09-18,93.90403365291843
2002-09-19,93.08034317422383
2002-09-20,92.83275548808949
2002-09-23,90.55319707666068
2002-09-24,89.54638116044661
2002-09-25,88.86605786737955
2002-09-26,89.86247836459788
2002-09-27,89.60113694467586
2002-09-30,87.90703256566675
2002-10-01,89.22010108469041
2002-10-02,89.29987998885197
2002-10-03,88.96120679685215
2002-10-04,89.03099790052991
2002-10-07,86.5864746310947
2002-10-08,86.86417364961784
2002-10-09,85.61635573915297
2002-10-10,84.20328278457119
2002-10-11,84.89053215979752
2002-10-14,85.42741750945578
2002-10-15,87.64386414280807
2002-10-16,88.30459799049537
2002-10-17,90.35428680319039
2002-10-18,91.8793552626518
2002-10-21,91.43935499288068
2002-10-22,90.85206951999783
2002-10-23,92.79930156580059
2002-10-24,92.53353158814423
2002-10-25,92.27361170259512
2002-10-28,93.31028750258757
2002-10-29,92.05741563055598
2002-10-30,91.92538740254199
2002-10-31,92.92270185263264
2002-11-01,92.47284284240294
2002-11-04,93.79362136368913
2002-11-05,93.59148627550721
2002-11-06,94.89527943723921
2002-11-07,95.58560059520399
2002-11-08,95.96341098952466
2002-11-11,94.87054378535697
2002-11-12,94.48650576840747
2002-11-13,94.34982668826005
2002-11-14,94.78808435162418
2002-11-15,96.1425415422911
2002-11-18,96.58441774301338
2002-11-19,95.87828270590168
2002-11-20,95.61104973991058
2002-11-21,96.63287978245944
2002-11-22,97.24594938871095
2002-11-25,97.81818861162945
2002-11-26,97.25387774507716
2002-11-27,97.79938435459299
