Date,CHINA A QUALITY
2008-11-25,1000.0
2008-11-26,1010.1850059040341
2008-11-27,1030.9361841018242
2008-11-28,1036.1629131568327
2008-12-01,1049.9284275016712
2008-12-02,1039.450687499592
2008-12-03,1086.593516569097
2008-12-04,1097.9544171212942
2008-12-05,1111.7656907741714
2008-12-08,1133.470212937213
2008-12-09,1123.1794603591666
2008-12-10,1134.151504085374
2008-12-11,1092.9337981817891
2008-12-12,1038.0724321061061
2008-12-15,1024.0596436768483
2008-12-16,1028.765966392838
2008-12-17,1000.4620141264023
2008-12-18,1011.9297823958162
2008-12-19,1057.6589031408168
2008-12-22,1041.8625994958006
2008-12-23,989.9565330082903
2008-12-24,976.7002485573788
2008-12-25,968.4871412769228
2008-12-26,957.0019585041616
2008-12-29,942.1016202976498
2008-12-30,938.4727624298057
2008-12-31,949.0497069156644
2009-01-01,949.0497069156643
2009-01-02,946.7680099742491
2009-01-05,989.6105701178831
2009-01-06,1029.0639741575044
2009-01-07,1005.0645102991139
2009-01-08,974.0377548226963
2009-01-09,1004.0924800636718
2009-01-12,1016.0358512354779
2009-01-13,1006.2273791526561
2009-01-14,1047.0069320818861
2009-01-15,1045.2354824797749
2009-01-16,1049.0050947596621
2009-01-19,1067.8161331390043
2009-01-20,1087.9968720862505
2009-01-21,1075.2640389202456
2009-01-22,1082.298309911729
2009-01-23,1085.8853527068627
2009-01-26,1057.6064423222635
2009-01-27,1054.4749348059922
2009-01-28,1050.288611902384
2009-01-29,1061.8920145110383
2009-01-30,1083.8093331094128
2009-02-02,1104.2856623039372
2009-02-03,1126.4550728978331
2009-02-04,1154.2332065469318
2009-02-05,1145.2430272078877
2009-02-06,1189.268035631782
2009-02-09,1219.3104589026339
2009-02-10,1246.8058029804552
2009-02-11,1265.4589067221855
2009-02-12,1271.6666173637332
2009-02-13,1299.8395567554892
2009-02-16,1329.3166724732912
2009-02-17,1318.1297328539715
2009-02-18,1261.3228626927548
2009-02-19,1264.4048118950388
2009-02-20,1297.9597388980592
2009-02-23,1310.352503060498
2009-02-24,1253.6892611441792
2009-02-25,1244.4781115418803
2009-02-26,1174.0981784844769
2009-02-27,1153.1934613971437
2009-03-02,1172.2240614826442
2009-03-03,1156.1089621389758
2009-03-04,1234.3168399907781
2009-03-05,1239.9270224644008
2009-03-06,1214.5321626330754
2009-03-09,1171.8702946909218
2009-03-10,1188.9905480286977
2009-03-11,1177.1012194787875
2009-03-12,1167.9296850772414
2009-03-13,1157.1089425513262
2009-03-16,1159.2091755070983
2009-03-17,1202.1324354527014
2009-03-18,1200.0367560787422
2009-03-19,1180.2755088236925
2009-03-20,1198.9479249640005
2009-03-23,1234.2092270615005
2009-03-24,1246.2132147416853
2009-03-25,1212.5999824884973
2009-03-26,1247.9050521901606
2009-03-27,1276.23398791256
2009-03-30,1280.7881733568943
2009-03-31,1281.5479836065206
2009-04-01,1311.1637554973154
2009-04-02,1309.447746631753
2009-04-03,1299.4059720844268
2009-04-06,1301.1991251862887
2009-04-07,1322.1693660612975
2009-04-08,1285.6030819371974
2009-04-09,1306.9213011373076
2009-04-10,1356.7239111555805
2009-04-13,1386.9595198155494
2009-04-14,1397.1337179376517
2009-04-15,1411.189059791952
2009-04-16,1416.6892619139128
2009-04-17,1407.575277418853
2009-04-20,1463.8326309159754
2009-04-21,1443.1384200599523
2009-04-22,1379.0667607895473
2009-04-23,1386.37839441223
2009-04-24,1361.9655838357041
2009-04-27,1338.4225712787097
2009-04-28,1338.6381284776685
2009-04-29,1352.5405767606944
2009-04-30,1365.447986034245
2009-05-01,1365.2419273326627
2009-05-04,1400.9938388561723
2009-05-05,1401.1281653820436
2009-05-06,1419.5215813464245
2009-05-07,1402.6797596509589
2009-05-08,1388.294339858332
2009-05-11,1333.556993886864
2009-05-12,1352.0839750647915
2009-05-13,1373.6282293348286
2009-05-14,1365.1211511375755
2009-05-15,1370.6341442936048
2009-05-18,1391.8176819750681
2009-05-19,1391.6880032525453
2009-05-20,1362.385501928367
2009-05-21,1339.9924260691419
2009-05-22,1312.3331154107177
2009-05-25,1312.5128126388504
2009-05-26,1303.4705867350526
2009-05-27,1328.0202536916115
2009-05-28,1326.8295885667264
2009-05-29,1306.9100373589533
2009-06-01,1363.2761977078887
2009-06-02,1360.066931599578
2009-06-03,1386.4657171383153
2009-06-04,1376.176976304151
2009-06-05,1410.3828410083772
2009-06-08,1407.6604876023205
2009-06-09,1398.254358868219
2009-06-10,1418.5003502153268
2009-06-11,1392.2842181760436
2009-06-12,1366.8975709255626
2009-06-15,1392.4619055244236
2009-06-16,1395.8352715460112
2009-06-17,1417.416688109136
2009-06-18,1433.7544498790417
2009-06-19,1434.9523290293346
2009-06-22,1431.0331010590878
2009-06-23,1406.7572962038605
2009-06-24,1443.785899968278
2009-06-25,1448.2423599771987
2009-06-26,1437.3974707824623
2009-06-29,1475.4365369895845
2009-06-30,1482.3557136885802
2009-07-01,1483.1684822812672
2009-07-02,1520.8963285286022
2009-07-03,1537.9943619840449
2009-07-06,1563.6829557668661
2009-07-07,1544.1743925241462
2009-07-08,1569.2818830422232
2009-07-09,1576.167500840594
2009-07-10,1588.9451252220724
2009-07-13,1573.1081489585765
2009-07-14,1612.3944897421923
2009-07-15,1627.946248678903
2009-07-16,1616.1121319318395
2009-07-17,1641.761268804153
2009-07-20,1683.4970119131974
2009-07-21,1651.96950698242
2009-07-22,1695.3920431642464
2009-07-23,1701.1985849737541
2009-07-24,1718.2320185162716
2009-07-27,1761.3736448695604
2009-07-28,1761.5352842032426
2009-07-29,1666.645864478073
2009-07-30,1690.2034115578863
2009-07-31,1733.2546714924765
2009-08-03,1750.064062401636
2009-08-04,1793.4092011180355
2009-08-05,1796.6440850395425
2009-08-06,1747.4221846578325
2009-08-07,1697.9396095001723
2009-08-10,1702.4873928213333
