Date,CHINA A INTERNATIONAL QUALITY
2008-11-25,1000.0
2008-11-26,1015.6281092441438
2008-11-27,1033.2854178751656
2008-11-28,1031.3902126729624
2008-12-01,1041.3431103979367
2008-12-02,1029.1941043467925
2008-12-03,1078.522704162005
2008-12-04,1094.1152585304194
2008-12-05,1110.6483043109217
2008-12-08,1130.9872030887504
2008-12-09,1116.3126722453835
2008-12-10,1126.4079868561287
2008-12-11,1085.1132009590617
2008-12-12,1029.97596642793
2008-12-15,1015.1788767364985
2008-12-16,1016.9008715771374
2008-12-17,985.2246657916776
2008-12-18,995.2235393110715
2008-12-19,1036.3556353430038
2008-12-22,1017.4405395165055
2008-12-23,966.3036495675985
2008-12-24,949.1072228659297
2008-12-25,941.2664275911285
2008-12-26,931.3828871175077
2008-12-29,912.7332290297084
2008-12-30,907.6292497951258
2008-12-31,917.7428928463485
2009-01-01,917.7428928463485
2009-01-02,915.5364634714128
2009-01-05,963.8122950706596
2009-01-06,1008.8803709471002
2009-01-07,983.0849483634738
2009-01-08,953.7772089801194
2009-01-09,980.6099196906689
2009-01-12,988.7749402596331
2009-01-13,978.5310721329953
2009-01-14,1016.5013402058137
2009-01-15,1016.081720722117
2009-01-16,1020.6318802715841
2009-01-19,1041.1537913328127
2009-01-20,1061.472469400165
2009-01-21,1052.0340572565592
2009-01-22,1058.6272350755144
2009-01-23,1066.1549047044298
2009-01-26,1038.3898198075008
2009-01-27,1035.315211526554
2009-01-28,1031.2049537675443
2009-01-29,1042.597523500287
2009-01-30,1064.116606213188
2009-02-02,1078.2495812305233
2009-02-03,1094.8277610121015
2009-02-04,1127.2684277008948
2009-02-05,1127.093923798791
2009-02-06,1169.5910808556805
2009-02-09,1190.1570626817438
2009-02-10,1214.4001637536026
2009-02-11,1228.728487881338
2009-02-12,1228.7896095612116
2009-02-13,1257.4278101067093
2009-02-16,1299.0757361310955
2009-02-17,1282.2637912611137
2009-02-18,1219.1375422448828
2009-02-19,1221.6492215418184
2009-02-20,1251.9119652886588
2009-02-23,1263.9570040134206
2009-02-24,1207.0975884307416
2009-02-25,1200.7388751473547
2009-02-26,1138.3186806920114
2009-02-27,1118.4836662253576
2009-03-02,1135.7950526760621
2009-03-03,1122.9396037198935
2009-03-04,1195.908180520806
2009-03-05,1201.1790949876086
2009-03-06,1174.7755134219367
2009-03-09,1135.499418948265
2009-03-10,1152.5673300696226
2009-03-11,1140.9406717722084
2009-03-12,1135.8914836583476
2009-03-13,1124.5489671702628
2009-03-16,1127.7129180020167
2009-03-17,1167.8649902877403
2009-03-18,1163.7821384310848
2009-03-19,1138.7813812345407
2009-03-20,1156.8793661331463
2009-03-23,1186.2265742683985
2009-03-24,1197.820199705387
2009-03-25,1164.8720518945695
2009-03-26,1197.0840509382172
2009-03-27,1231.1897766734587
2009-03-30,1232.5644260289089
2009-03-31,1231.9705374943512
2009-04-01,1259.6987289713343
2009-04-02,1256.0896623474887
2009-04-03,1247.530818907626
2009-04-06,1249.2523853815774
2009-04-07,1268.314601583507
2009-04-08,1228.1258319793474
2009-04-09,1251.0262550307352
2009-04-10,1290.2695895417214
2009-04-13,1325.8716775094183
2009-04-14,1337.9270582643587
2009-04-15,1350.3614236659655
2009-04-16,1348.946758655663
2009-04-17,1340.8765774923688
2009-04-20,1389.372192351524
2009-04-21,1373.869923238174
2009-04-22,1319.6043147177143
2009-04-23,1323.7747328149612
2009-04-24,1298.9671055524086
2009-04-27,1284.2875877836084
2009-04-28,1284.148969528125
2009-04-29,1299.0525687081383
2009-04-30,1310.4946469153092
2009-05-01,1310.2968811797148
2009-05-04,1350.9605116753771
2009-05-05,1350.9860493730162
2009-05-06,1370.2518326921877
2009-05-07,1354.8182593629535
2009-05-08,1349.7328182831643
2009-05-11,1304.5089430831704
2009-05-12,1327.397173222045
2009-05-13,1345.6092174805322
2009-05-14,1335.4187022498008
2009-05-15,1335.141904532974
2009-05-18,1354.3457495593573
