Date,SOUTH AFRICA QUALITY
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,993.7247183791841
1999-01-05,1022.4452985717635
1999-01-06,1108.963381640985
1999-01-07,1082.034021743811
1999-01-08,1133.0799006591942
1999-01-11,1112.0257772183395
1999-01-12,1107.2534356840201
1999-01-13,1024.6202072274457
1999-01-14,1009.5230511504349
1999-01-15,1029.271225287388
1999-01-18,1077.418022091678
1999-01-19,1069.9129326248838
1999-01-20,1085.5607868674108
1999-01-21,1064.0639104414643
1999-01-22,1049.1766926190505
1999-01-25,1049.166520367409
1999-01-26,1050.7181064884005
1999-01-27,1086.9498968876578
1999-01-28,1103.814755271137
1999-01-29,1106.498645643893
1999-02-01,1118.723440366586
1999-02-02,1119.6182117254516
1999-02-03,1118.9097383277044
1999-02-04,1129.352402485294
1999-02-05,1154.2491610452087
1999-02-08,1182.9318271794302
1999-02-09,1138.8184694551985
1999-02-10,1116.4882542194332
1999-02-11,1138.306846801259
1999-02-12,1147.3431993222077
1999-02-15,1140.4997631536753
1999-02-16,1146.5235975149242
1999-02-17,1134.270889146428
1999-02-18,1141.1951257671099
1999-02-19,1133.1787591354152
1999-02-22,1162.5081147867334
1999-02-23,1190.9453240859689
1999-02-24,1202.5557193343463
1999-02-25,1195.828247734304
1999-02-26,1195.3483851359417
1999-03-01,1201.356972198462
1999-03-02,1191.983839668865
1999-03-03,1220.1899532135435
1999-03-04,1249.902627914582
1999-03-05,1281.9321589302351
1999-03-08,1299.0352701478498
1999-03-09,1305.1992866078901
1999-03-10,1295.517368247604
1999-03-11,1321.5042215043643
1999-03-12,1309.5081508610094
1999-03-15,1294.8100085642618
1999-03-16,1323.1163558265055
1999-03-17,1315.0776606940694
1999-03-18,1305.0810638184817
1999-03-19,1340.3973127524569
1999-03-22,1347.1661252109352
1999-03-23,1331.8841223538607
1999-03-24,1317.6635401364888
1999-03-25,1332.2616193282543
1999-03-26,1322.5228951442853
1999-03-29,1320.0959803790497
1999-03-30,1318.932316175202
1999-03-31,1303.7220583887317
1999-04-01,1310.9738579266395
1999-04-02,1313.038716045439
1999-04-05,1323.2582656428265
1999-04-06,1315.8449577149524
1999-04-07,1299.4976059108344
1999-04-08,1279.6685010741273
1999-04-09,1323.6284928609025
1999-04-12,1324.6325251416092
1999-04-13,1370.9208522735632
1999-04-14,1395.2840520121447
1999-04-15,1438.0117269084926
1999-04-16,1471.4724605252156
1999-04-19,1508.569069235256
1999-04-20,1493.870677014213
1999-04-21,1458.4622170100577
1999-04-22,1454.3487333692726
1999-04-23,1451.0762748591314
1999-04-26,1468.8852877575687
1999-04-27,1462.411006636505
1999-04-28,1485.0744803349592
1999-04-29,1488.0435193527485
1999-04-30,1496.2174439725907
1999-05-03,1493.816019333152
1999-05-04,1487.5154256460098
1999-05-05,1445.9710685156067
1999-05-06,1449.5556410064878
1999-05-07,1441.876918504298
1999-05-10,1431.7313982826147
1999-05-11,1441.0299834831635
1999-05-12,1407.3189237569118
1999-05-13,1408.2823277579917
1999-05-14,1385.7173400626843
1999-05-17,1371.5962069860436
1999-05-18,1389.149220474665
1999-05-19,1388.1161157282452
1999-05-20,1386.056244290609
1999-05-21,1413.8200818971075
1999-05-24,1408.310376411695
1999-05-25,1373.5156700963505
1999-05-26,1377.83681877354
1999-05-27,1351.4415092410898
1999-05-28,1362.6710984603353
1999-05-31,1382.0281165177626
1999-06-01,1429.7205868431597
1999-06-02,1446.1681196371294
1999-06-03,1482.1463149621159
1999-06-04,1504.9935157133937
1999-06-07,1548.50294721101
1999-06-08,1531.6707412634012
1999-06-09,1531.849212912584
1999-06-10,1514.0963334028118
1999-06-11,1533.7653985967922
1999-06-14,1540.6788646113564
1999-06-15,1541.2061040998262
1999-06-16,1559.8157874190397
1999-06-17,1560.8871259914647
1999-06-18,1579.336214131113
1999-06-21,1610.9176870938477
1999-06-22,1626.2737123207237
1999-06-23,1614.36692695707
1999-06-24,1582.4197028955502
1999-06-25,1548.3981067542643
1999-06-28,1568.3704375624545
1999-06-29,1570.547859571747
1999-06-30,1597.170951824167
1999-07-01,1647.1886041839648
1999-07-02,1667.8117307980156
1999-07-05,1693.9505724506091
1999-07-06,1665.2741889158428
1999-07-07,1655.9651284667327
1999-07-08,1654.4944838294625
1999-07-09,1641.9656411444844
1999-07-12,1654.2883930605292
1999-07-13,1614.6443498075466
1999-07-14,1626.5492495510298
1999-07-15,1611.2800343696147
1999-07-16,1605.6953207308702
1999-07-19,1620.1782030800794
1999-07-20,1574.2429501472918
1999-07-21,1557.7393242043186
1999-07-22,1573.0779655580955
1999-07-23,1582.125281479216
1999-07-26,1526.6336080209487
1999-07-27,1528.5160394725833
1999-07-28,1530.1684733250363
1999-07-29,1495.8291982162475
1999-07-30,1498.2157160662682
1999-08-02,1482.992288742185
1999-08-03,1490.9779250998124
