Date,CHINA ALL SHARES QUALITY
2009-11-30,1000.0
2009-12-01,1017.414713932363
2009-12-02,1029.8747072498666
2009-12-03,1035.2786198756096
2009-12-04,1044.7372859865527
2009-12-07,1046.2407633652094
2009-12-08,1047.9261969541608
2009-12-09,1033.5614857257744
2009-12-10,1032.495631029403
2009-12-11,1046.3333721438644
2009-12-14,1056.2361543916618
2009-12-15,1063.1937214018071
2009-12-16,1049.989462244235
2009-12-17,1045.6653512803828
2009-12-18,1025.9856877169389
2009-12-21,1021.9622665843219
2009-12-22,1024.083108709018
2009-12-23,1027.719306542011
2009-12-24,1051.8570294651208
2009-12-25,1049.9098174548906
2009-12-28,1056.383756646439
2009-12-29,1057.8213561096989
2009-12-30,1066.931945950964
2009-12-31,1076.3315381364978
2010-01-01,1076.3315381364978
2010-01-04,1073.79589889003
2010-01-05,1103.481932839031
2010-01-06,1105.276578742791
2010-01-07,1093.886047643071
2010-01-08,1088.661313353476
2010-01-11,1075.8143882657346
2010-01-12,1084.2210998502696
2010-01-13,1061.5913710801747
2010-01-14,1071.85227021743
2010-01-15,1079.5258092526235
2010-01-18,1071.1099526888058
2010-01-19,1083.2621725404297
2010-01-20,1073.405379705387
2010-01-21,1058.1035397714559
2010-01-22,1038.96361442487
2010-01-25,1031.1789125021137
2010-01-26,1007.9091869310411
2010-01-27,1001.3539539145011
2010-01-28,1019.6479226546252
2010-01-29,1012.0205561485817
2010-02-01,1004.2668452319909
2010-02-02,1008.0389139946135
2010-02-03,1042.3622030075885
2010-02-04,1036.8773315763556
2010-02-05,1008.6934460299581
2010-02-08,1003.330158087023
2010-02-09,1008.5133191661257
2010-02-10,1023.9955906082592
2010-02-11,1043.7929298087147
2010-02-12,1051.6513922498893
2010-02-15,1052.6782470556407
2010-02-16,1044.5987876578024
2010-02-17,1059.5071985182371
2010-02-18,1058.903427563223
2010-02-19,1050.3692149067272
2010-02-22,1056.2785885634742
2010-02-23,1062.9813473899878
2010-02-24,1063.0485120226779
2010-02-25,1067.4343477779792
2010-02-26,1064.111575634321
2010-03-01,1089.5480649882436
2010-03-02,1079.5288396349083
