Date,ITALY IMI
1998-12-31,586.1540496261271
1999-01-01,586.1568310041304
1999-01-04,620.3843875053377
1999-01-05,624.015724690814
1999-01-06,624.0232756180109
1999-01-07,624.2303193173506
1999-01-08,622.3625042490411
1999-01-11,608.9546788830445
1999-01-12,596.3062902093692
1999-01-13,567.9366267660837
1999-01-14,571.009796305227
1999-01-15,585.2364461339545
1999-01-18,599.0751547208711
1999-01-19,590.8959320903058
1999-01-20,593.7451565289372
1999-01-21,580.6600785258195
1999-01-22,567.0689354561946
1999-01-25,567.074667326702
1999-01-26,571.2187273886213
1999-01-27,575.2861725727821
1999-01-28,581.5313534320089
1999-01-29,583.2953957916893
1999-02-01,592.7307912132011
1999-02-02,584.5027859922928
1999-02-03,580.517410203529
1999-02-04,580.0727462829067
1999-02-05,578.2209284196433
1999-02-08,567.4675687543865
1999-02-09,554.1451833449283
1999-02-10,559.4972943834289
1999-02-11,568.5932424916001
1999-02-12,571.2247397791896
1999-02-15,578.75445487395
1999-02-16,573.2226521109316
1999-02-17,569.4545928553855
1999-02-18,571.2621703066724
1999-02-19,580.3574267046304
1999-02-22,595.7790674535901
1999-02-23,596.5490452004772
1999-02-24,603.2479540730545
1999-02-25,593.0866218203284
1999-02-26,594.1971082172947
1999-03-01,585.8671217770793
1999-03-02,588.2557590842312
1999-03-03,580.2308106415115
1999-03-04,591.7582165043302
1999-03-05,607.3023307523849
1999-03-08,602.1557039613193
1999-03-09,609.8184021641848
1999-03-10,616.849783318676
1999-03-11,619.0858550265691
1999-03-12,611.8020512099378
1999-03-15,620.7646242969905
1999-03-16,616.752113686685
1999-03-17,615.301374510592
1999-03-18,619.9167580966802
1999-03-19,622.8248779480477
1999-03-22,619.9855039853095
1999-03-23,611.3537337379396
1999-03-24,601.8993394347511
1999-03-25,614.2878778586208
1999-03-26,606.674232272859
1999-03-29,619.0330405025119
1999-03-30,617.4780092988713
1999-03-31,625.5451502522141
1999-04-01,621.9828002694607
1999-04-02,621.985274938755
1999-04-05,621.9760622672505
1999-04-06,628.7173852134401
1999-04-07,629.5320968762024
1999-04-08,631.202046965184
1999-04-09,625.5301517671608
1999-04-12,623.2784279669629
1999-04-13,626.861541741431
1999-04-14,624.1861786372764
1999-04-15,621.0364110826089
1999-04-16,618.4155721856258
1999-04-19,624.4589350579902
1999-04-20,618.3453967733209
1999-04-21,621.2101728154566
1999-04-22,620.3620756840444
1999-04-23,619.3787688193145
1999-04-26,615.150493718272
1999-04-27,625.0914502208942
1999-04-28,621.7854488672662
1999-04-29,620.3885787628577
1999-04-30,625.592403286208
1999-05-03,626.4549835543442
1999-05-04,626.7401677513994
1999-05-05,621.9646409534051
1999-05-06,621.391135158179
1999-05-07,619.7133706214595
1999-05-10,616.5802433880154
1999-05-11,611.290647723258
1999-05-12,603.9185253432431
1999-05-13,607.8978488670245
1999-05-14,597.1431592033923
1999-05-17,586.0214936009638
1999-05-18,593.9097830152423
1999-05-19,606.5355286147382
1999-05-20,608.4467541040996
1999-05-21,613.8066986005864
1999-05-24,610.2313994846627
1999-05-25,607.9675463612464
1999-05-26,607.7561186413136
1999-05-27,601.4228076692167
1999-05-28,601.6420611153104
1999-05-31,606.8120300025943
1999-06-01,602.0312797279737
1999-06-02,600.8273635697005
1999-06-03,610.1344789462632
1999-06-04,609.7088412628566
1999-06-07,611.4980167306823
1999-06-08,615.8902053695814
1999-06-09,614.8119257135218
1999-06-10,609.0422096071544
1999-06-11,608.9603478441314
1999-06-14,599.9345626059414
1999-06-15,600.6727199095756
1999-06-16,607.9360584363737
1999-06-17,608.5559354198726
1999-06-18,610.7906613782483
1999-06-21,614.4782100531872
1999-06-22,610.6977911558218
1999-06-23,612.0289376666913
1999-06-24,609.9402104653249
1999-06-25,605.6929820178104
1999-06-28,604.6080039357126
1999-06-29,605.6336918287177
1999-06-30,603.2372069834803
1999-07-01,609.1366468806117
1999-07-02,608.6142675594057
1999-07-05,620.5132553558507
1999-07-06,623.1052545475467
1999-07-07,622.2281372175477
1999-07-08,621.803093797361
1999-07-09,624.0192122019043
1999-07-12,623.3790841761837
1999-07-13,614.4404635406315
1999-07-14,618.0905957860426
1999-07-15,620.6953631695334
1999-07-16,616.8746660022784
1999-07-19,617.9368425342182
1999-07-20,606.675106519986
1999-07-21,593.2517301383988
1999-07-22,591.2662313320558
1999-07-23,584.7970680805597
1999-07-26,572.8730754882779
1999-07-27,576.5191260641576
1999-07-28,571.9378540639381
1999-07-29,560.238356582881
1999-07-30,569.5091410183637
1999-08-02,577.3215821825826
1999-08-03,573.2217648561844
1999-08-04,572.1043944920714
1999-08-05,558.8057652289416
1999-08-06,555.9676344483458
1999-08-09,565.0600231912451
1999-08-10,556.537921960761
1999-08-11,560.6126435160777
1999-08-12,571.1125849977903
1999-08-13,577.7939409135986
1999-08-16,579.7989660668296
1999-08-17,585.5217705686497
1999-08-18,580.9334531021891
1999-08-19,576.4799903842309
1999-08-20,581.4104084222828
1999-08-23,590.772960026887
1999-08-24,591.6394022295517
1999-08-25,596.6585392933205
1999-08-26,600.634298169937
1999-08-27,600.9184624848359
1999-08-30,597.8903238070054
1999-08-31,588.0311560862513
1999-09-01,589.5828970604889
1999-09-02,579.863141812553
1999-09-03,592.0734326719881
1999-09-06,596.4855889880284
1999-09-07,593.2629330871333
1999-09-08,596.6359731964842
1999-09-09,600.1948623766941
1999-09-10,606.1599981215278
1999-09-13,602.4954277122222
1999-09-14,600.3702780819476
1999-09-15,599.0952143953278
1999-09-16,599.9195434685199
1999-09-17,603.5141413005748
