Date,AUSTRALIA IMI
1998-12-31,304.3907102641868
1999-01-01,304.3907102641868
1999-01-04,308.4595292366183
1999-01-05,307.88176299004255
1999-01-06,317.3169856324784
1999-01-07,324.9604664862532
1999-01-08,324.4915341203436
1999-01-11,328.6916118477217
1999-01-12,328.1614079070118
1999-01-13,315.82435685848776
1999-01-14,314.80925268643654
1999-01-15,318.8430741323791
1999-01-18,322.47385190030957
1999-01-19,328.1122933644635
1999-01-20,331.63890079732886
1999-01-21,330.04566497739955
1999-01-22,326.522311211585
1999-01-25,324.6836657455012
1999-01-26,323.64223841538944
1999-01-27,327.77761443226456
1999-01-28,331.81131407062253
1999-01-29,336.74446400688157
1999-02-01,347.5986863736319
1999-02-02,346.1004471705266
1999-02-03,347.8890656256796
1999-02-04,354.09462566091935
1999-02-05,355.20220742144807
1999-02-08,354.25863907290926
1999-02-09,348.7768236709865
1999-02-10,342.27555060735034
1999-02-11,346.3909971469105
1999-02-12,348.39686689764005
1999-02-15,347.2321333299615
1999-02-16,341.91675511288827
1999-02-17,342.3137627167897
1999-02-18,342.80700107850294
1999-02-19,353.6655700839181
1999-02-22,356.50332188209785
1999-02-23,357.1341848963318
1999-02-24,356.0117915452268
1999-02-25,345.96390481266553
1999-02-26,341.59278582953596
1999-03-01,346.27970890509215
1999-03-02,345.78986355136084
1999-03-03,347.97756931585553
1999-03-04,349.71860795543165
1999-03-05,354.30457024699143
1999-03-08,358.31114518489
1999-03-09,360.54543566915555
1999-03-10,359.2719126497829
1999-03-11,364.051403875809
1999-03-12,362.2358967026022
1999-03-15,363.5880810266371
1999-03-16,360.83023102481474
1999-03-17,356.11120496059783
1999-03-18,358.13840790957653
1999-03-19,360.9479007053005
1999-03-22,363.52419687118464
1999-03-23,367.31496958641594
1999-03-24,364.81491121011476
1999-03-25,366.4433224070817
1999-03-26,371.291311466153
1999-03-29,369.18844007340454
1999-03-30,366.8573312387695
1999-03-31,364.1778904300023
1999-04-01,368.32065110805905
1999-04-02,367.2870060381179
1999-04-05,368.59853634834036
1999-04-06,371.30349851390514
1999-04-07,369.4534888547149
1999-04-08,368.53623206205526
1999-04-09,373.42713505496835
1999-04-12,371.300321381842
1999-04-13,379.95441305767355
1999-04-14,381.6254627102242
1999-04-15,383.97817951504777
1999-04-16,389.54789124422916
1999-04-19,396.1368951254273
1999-04-20,391.07816378089075
1999-04-21,389.017444808109
1999-04-22,397.654798667707
1999-04-23,398.22215479668097
1999-04-26,397.835253586043
1999-04-27,399.89884102346394
1999-04-28,401.0815774336545
1999-04-29,402.6037734156619
1999-04-30,404.35837114775734
1999-05-03,401.9123807047229
1999-05-04,399.7858969961917
1999-05-05,390.8803503820207
1999-05-06,391.4982431405917
1999-05-07,383.2242298628669
1999-05-10,385.9794631160499
1999-05-11,389.09492130918926
1999-05-12,392.88003154440463
1999-05-13,396.5926086153113
1999-05-14,395.94732429669716
1999-05-17,387.36875504133593
1999-05-18,392.35094924506757
1999-05-19,385.20039905501034
1999-05-20,382.7620896201926
1999-05-21,384.5847706185687
1999-05-24,383.3185649676425
1999-05-25,376.02878943250414
1999-05-26,377.2613066461236
1999-05-27,378.0167055270883
1999-05-28,377.6275600833112
1999-05-31,377.71589097700667
1999-06-01,375.6328294447067
1999-06-02,379.37121057906467
1999-06-03,384.1518830448719
1999-06-04,388.5778742845651
1999-06-07,393.166512871215
1999-06-08,392.5546552424763
1999-06-09,395.977455520944
1999-06-10,394.332772937416
1999-06-11,391.5889040288495
1999-06-14,392.84541264567855
1999-06-15,388.8531318670752
1999-06-16,392.0486899002541
1999-06-17,397.3448786924745
1999-06-18,394.17959675050287
1999-06-21,394.9504226203997
