Date,UNITED KINGDOM IMI
1998-12-31,584.087950979515
1999-01-01,584.0854893277462
1999-01-04,579.8937291177118
1999-01-05,586.2565180561952
1999-01-06,606.5592695543362
1999-01-07,602.9672013770996
1999-01-08,610.2003199298865
1999-01-11,606.2408853897235
1999-01-12,597.9850051017122
1999-01-13,581.0300395325343
1999-01-14,580.715166651102
1999-01-15,593.7569756889293
1999-01-18,609.0623735388422
1999-01-19,603.0664219309731
1999-01-20,607.7755566551554
1999-01-21,601.6881446620242
1999-01-22,588.3572756032609
1999-01-25,592.3352657930823
1999-01-26,593.4524268960333
1999-01-27,594.522836752142
1999-01-28,598.1776272510895
1999-01-29,602.9174632382818
1999-02-01,616.5716020826991
1999-02-02,617.8580415263648
1999-02-03,608.919097784291
1999-02-04,612.3549095289252
1999-02-05,605.257328459359
1999-02-08,603.4846300281598
1999-02-09,597.4610588400021
1999-02-10,592.222783067115
1999-02-11,602.7682890960042
1999-02-12,610.6760095593776
1999-02-15,618.4685153941376
1999-02-16,631.0318344373056
1999-02-17,625.8852547152363
1999-02-18,624.8101442842581
1999-02-19,627.1567757939438
1999-02-22,632.3093385755031
1999-02-23,638.0172141035032
1999-02-24,648.1153328477619
1999-02-25,636.273959011739
1999-02-26,637.6364430029614
1999-03-01,634.1096996041017
1999-03-02,637.85768116061
1999-03-03,638.3957682685998
1999-03-04,644.8800088632336
1999-03-05,653.9664321465076
1999-03-08,652.5771872622317
1999-03-09,658.102771394114
1999-03-10,660.2058815757997
1999-03-11,677.1592197217586
1999-03-12,670.0330707070672
1999-03-15,657.9749044652087
1999-03-16,660.8717091652563
1999-03-17,651.2013010740658
1999-03-18,650.1016603844458
1999-03-19,658.3628540190722
1999-03-22,658.5945166113781
1999-03-23,652.3452028333239
1999-03-24,650.8296474191601
1999-03-25,655.8776860687942
1999-03-26,664.4903750790331
1999-03-29,675.60962259067
1999-03-30,671.7325311589884
1999-03-31,672.5030290499061
1999-04-01,670.4317430177665
1999-04-02,671.4611822708574
1999-04-05,674.4274886390165
1999-04-06,675.4007082001757
1999-04-07,681.7287984834272
1999-04-08,683.0530924115267
1999-04-09,688.4555099995272
1999-04-12,685.233762755935
1999-04-13,696.48468324885
1999-04-14,694.8833925329407
1999-04-15,696.7703969588267
1999-04-16,696.6680853549893
1999-04-19,711.4258642666185
1999-04-20,691.207903611169
1999-04-21,689.868945096009
1999-04-22,702.4796961359397
1999-04-23,703.2263926248511
1999-04-26,711.4189906648983
1999-04-27,718.0906483163094
1999-04-28,719.2387959088203
1999-04-29,711.3587232226492
1999-04-30,717.0996564797836
