Date,DENMARK IMI
1998-12-31,330.14699320248917
1999-01-01,330.14699320248917
1999-01-04,337.6768357929375
1999-01-05,337.44124522190816
1999-01-06,338.22943325626863
1999-01-07,334.89949837821507
1999-01-08,333.18769720883097
1999-01-11,334.9454276746203
1999-01-12,335.230910863255
1999-01-13,328.3382492106826
1999-01-14,327.090574748365
1999-01-15,328.69814857532947
1999-01-18,331.6661839849095
1999-01-19,332.2202253043913
1999-01-20,333.51017953663035
1999-01-21,331.2221003240256
1999-01-22,328.1109007983902
1999-01-25,329.8634555912252
1999-01-26,329.28348992157396
1999-01-27,330.3008655943019
1999-01-28,331.3479351462709
1999-01-29,331.9218325371381
1999-02-01,332.9851188689212
1999-02-02,331.8009401163035
1999-02-03,330.18771150802246
1999-02-04,328.73678409271054
1999-02-05,327.67245096308864
1999-02-08,326.2269582623924
1999-02-09,325.08832600907607
1999-02-10,322.00107446484
1999-02-11,324.75289867494524
1999-02-12,320.52506419399265
1999-02-15,317.7956118654452
1999-02-16,316.33989222401704
1999-02-17,316.9894942942387
1999-02-18,317.87153738300765
1999-02-19,319.3018642339102
1999-02-22,318.7117020612633
1999-02-23,321.2659813375283
1999-02-24,317.73356627664543
1999-02-25,316.89889287201424
1999-02-26,318.11427614856603
1999-03-01,314.5978549156492
1999-03-02,314.7620306286728
1999-03-03,315.17109529085985
1999-03-04,309.8339977099392
1999-03-05,311.12579334470854
1999-03-08,309.44697643658316
1999-03-09,304.34087945903076
1999-03-10,302.7503396515153
1999-03-11,301.43458688496344
1999-03-12,302.29526208389314
1999-03-15,296.82392830729054
1999-03-16,297.85814701953467
1999-03-17,303.1525581652758
1999-03-18,306.18705227859147
1999-03-19,308.67941649679756
1999-03-22,308.0558687393819
1999-03-23,310.2235053623523
1999-03-24,312.5272748078299
1999-03-25,319.83983667303596
1999-03-26,318.6654606964216
1999-03-29,314.9038096312259
1999-03-30,317.1070830912786
1999-03-31,319.7488297028713
1999-04-01,319.7362710576742
1999-04-02,319.79638821588065
1999-04-05,319.84178922614575
1999-04-06,325.6002969805
1999-04-07,326.75580356533453
1999-04-08,329.44775196677165
1999-04-09,333.3963237209598
1999-04-12,329.29277973648493
1999-04-13,329.4559960040068
1999-04-14,331.27017565152283
1999-04-15,327.976846359418
1999-04-16,327.7587036424052
1999-04-19,335.5307530740781
1999-04-20,329.60873184003725
1999-04-21,331.0704972983873
1999-04-22,330.084283957719
1999-04-23,327.1978011227834
1999-04-26,328.75855745239005
1999-04-27,336.2785259703805
1999-04-28,342.25769209703947
1999-04-29,345.5546731024365
1999-04-30,345.83664989464773
1999-05-03,351.274533758721
1999-05-04,352.28042113289376
1999-05-05,346.758158890259
1999-05-06,345.82299699375574
1999-05-07,346.749883565429
1999-05-10,345.26368976204947
1999-05-11,341.22527662877565
1999-05-12,335.7140141732823
1999-05-13,335.7520887477783
1999-05-14,336.70298035326465
1999-05-17,333.3302410663121
1999-05-18,333.46212937576206
1999-05-19,337.056202402421
1999-05-20,339.83347416111866
1999-05-21,340.1016620073868
1999-05-24,340.0480247348058
1999-05-25,338.0055730238725
1999-05-26,338.65905151342173
