Date,FRANCE IMI
1998-12-31,520.1379628521191
1999-01-01,520.6780412880915
1999-01-04,542.2987810223694
1999-01-05,548.1129688984349
1999-01-06,559.5110836783449
1999-01-07,552.2452745880043
1999-01-08,553.6864850405682
1999-01-11,548.8246124486229
1999-01-12,538.3621788639813
1999-01-13,521.6414783905643
1999-01-14,525.3116029405987
1999-01-15,531.7378675373342
1999-01-18,542.0976999671675
1999-01-19,537.6650183691128
1999-01-20,543.5214323930435
1999-01-21,540.3740358844097
1999-01-22,526.4084676822044
1999-01-25,530.1668456861486
1999-01-26,532.1667802156892
1999-01-27,535.8847115144899
1999-01-28,546.1818728454067
1999-01-29,551.6036891655123
1999-02-01,557.6491668716966
1999-02-02,551.7226438710854
1999-02-03,546.3856732521765
1999-02-04,543.6253726913741
1999-02-05,540.9886704933263
1999-02-08,542.5777559205177
1999-02-09,530.5235378517074
1999-02-10,525.7285056441698
1999-02-11,532.4149991364029
1999-02-12,532.176233133773
1999-02-15,531.7771829017554
1999-02-16,531.4750761273178
1999-02-17,524.4220765184367
1999-02-18,529.0948073043714
1999-02-19,537.8480429842767
1999-02-22,543.2750820932498
1999-02-23,547.7142351434146
1999-02-24,548.5906032843869
1999-02-25,542.3994678165728
1999-02-26,535.518995022265
1999-03-01,529.2821467715069
1999-03-02,530.9938191074885
1999-03-03,526.6892730624334
1999-03-04,534.597371547213
1999-03-05,545.4179773468386
1999-03-08,545.0354610650965
1999-03-09,543.4749627533976
1999-03-10,543.7768372299042
1999-03-11,547.1564054017474
1999-03-12,546.1711622178454
1999-03-15,546.7766825775503
1999-03-16,547.2858140454055
1999-03-17,544.4360210559639
1999-03-18,542.0612078824382
1999-03-19,548.6923735155987
1999-03-22,546.4888178775338
1999-03-23,533.9458322927997
1999-03-24,530.9288730258176
1999-03-25,541.1009752608651
1999-03-26,539.3761479678565
1999-03-29,543.5272868745626
1999-03-30,542.614642463846
1999-03-31,549.8166529252934
1999-04-01,553.1366427098648
1999-04-02,553.1366412925765
1999-04-05,553.1366386910479
1999-04-06,560.3716891097728
1999-04-07,561.9753561815995
1999-04-08,563.3584226807694
1999-04-09,566.7817872224674
1999-04-12,565.4558413913312
1999-04-13,567.4721045173561
1999-04-14,565.9671039121979
1999-04-15,562.8071799230815
1999-04-16,561.7074144221684
1999-04-19,570.1742264390789
1999-04-20,556.9285748570143
1999-04-21,560.6837148302562
1999-04-22,561.2894996110936
1999-04-23,558.4317137796961
1999-04-26,561.6474922568229
1999-04-27,573.9044926935014
