Date,SWEDEN IMI
1998-12-31,382.3978309109467
1999-01-01,382.3978309109467
1999-01-04,395.4457637992507
1999-01-05,403.3842886173777
1999-01-06,408.1938725255443
1999-01-07,413.2395365400564
1999-01-08,416.66659840590074
1999-01-11,414.4309246168204
1999-01-12,407.7610008252436
1999-01-13,392.92838384794703
1999-01-14,395.3592491810367
1999-01-15,397.8554283385882
1999-01-18,408.3591687821389
1999-01-19,414.1608119998545
1999-01-20,415.4965890790289
1999-01-21,409.5056773825664
1999-01-22,403.58190822367243
1999-01-25,403.74074855030307
1999-01-26,403.2312136606851
1999-01-27,409.45505170458375
1999-01-28,416.830080614745
1999-01-29,418.98470152665004
1999-02-01,426.6851344900409
1999-02-02,424.8823004601246
1999-02-03,422.1097512768384
1999-02-04,427.18702918322
1999-02-05,428.36168244333726
1999-02-08,421.8504554227081
1999-02-09,413.63302444896686
1999-02-10,407.78493937364374
1999-02-11,408.2559598433184
1999-02-12,412.7734847009602
1999-02-15,414.82205826803374
1999-02-16,419.0552709831625
1999-02-17,412.4718877832231
1999-02-18,412.7146125645251
1999-02-19,418.4140620807213
1999-02-22,427.1299325343556
1999-02-23,427.0152378202473
1999-02-24,427.3459583381119
1999-02-25,420.61770711010035
1999-02-26,418.4450659556378
1999-03-01,413.1774173550032
1999-03-02,416.2201414108923
1999-03-03,415.9704547627181
1999-03-04,417.7281798497888
1999-03-05,425.44320550648735
1999-03-08,421.2276820744952
1999-03-09,422.08153937269356
1999-03-10,418.74870151185047
1999-03-11,422.8150119010915
1999-03-12,421.4169655014099
1999-03-15,418.32650251299435
1999-03-16,417.8215791243942
1999-03-17,414.58134739074427
1999-03-18,409.1249622112145
1999-03-19,416.9896302033366
1999-03-22,412.68747919071217
1999-03-23,412.8170690165548
1999-03-24,403.8721022950378
1999-03-25,415.38619529696655
1999-03-26,421.23331747215195
1999-03-29,425.3406432712419
1999-03-30,424.46599708861174
1999-03-31,432.21470624912104
1999-04-01,434.5760228331462
1999-04-02,434.6702999086437
1999-04-05,435.0411255239944
1999-04-06,447.37429915733907
1999-04-07,445.9643027600318
1999-04-08,445.9323408600174
1999-04-09,448.7430660516202
1999-04-12,441.4834985156168
1999-04-13,447.2134199721292
1999-04-14,450.98680948507905
1999-04-15,447.43678120716635
1999-04-16,456.04235594391446
1999-04-19,462.25107508226523
1999-04-20,453.96589487716824
1999-04-21,458.60403685571043
1999-04-22,459.5113904896303
1999-04-23,460.7478122094931
1999-04-26,466.2290901647725
1999-04-27,470.8316434110361
1999-04-28,467.3849229047283
1999-04-29,469.59943009560504
1999-04-30,469.46516736792597
1999-05-03,476.6984999099711
1999-05-04,477.26516930691815
1999-05-05,468.4493630955363
1999-05-06,462.79488549894256
1999-05-07,463.46132289682816
1999-05-10,466.4022873587478
1999-05-11,470.1267324324967
1999-05-12,470.8359267662572
1999-05-13,470.631187024939
1999-05-14,466.19836912825446
1999-05-17,462.05770209580226
1999-05-18,466.9352983896595
1999-05-19,475.10650584211703
1999-05-20,479.978734523
1999-05-21,479.0499280976098
1999-05-24,478.77552101285863
1999-05-25,473.01622537150286
1999-05-26,471.5696890961547
1999-05-27,466.68430950785597
1999-05-28,465.2438944007875
1999-05-31,466.450810575677
1999-06-01,465.75176117638034
1999-06-02,470.16027161740374
1999-06-03,477.2161381665937
1999-06-04,482.1106849813518
1999-06-07,488.81813180960006
1999-06-08,488.5559931167237
1999-06-09,492.6543209126762
1999-06-10,490.2654918534674
1999-06-11,496.91328019590736
1999-06-14,497.3071040038038
1999-06-15,492.29716694283974
1999-06-16,498.72500729494425
1999-06-17,501.10338888349355
1999-06-18,511.6230768218741
1999-06-21,519.1380901806874
1999-06-22,513.0341599061336
1999-06-23,509.56086869329454
1999-06-24,506.5608883332188
1999-06-25,504.56665241560376
1999-06-28,508.27653669848297
1999-06-29,513.0550015171978
1999-06-30,506.3770911038547
1999-07-01,512.8119094631612
1999-07-02,519.1939854331414
1999-07-05,524.1467590592299
1999-07-06,520.9830246850908
1999-07-07,507.5297280450098
1999-07-08,504.28133667835056
1999-07-09,508.0228691427541
1999-07-12,510.373274633132
1999-07-13,502.39168957105227
1999-07-14,501.71198731021417
1999-07-15,506.2866168587408
1999-07-16,505.08212699383614
1999-07-19,511.3605957418002
1999-07-20,506.1049854139354
1999-07-21,498.11805113941995
1999-07-22,492.51890727956896
1999-07-23,499.4428529474335
1999-07-26,497.9402095871921
1999-07-27,499.3074282065825
1999-07-28,504.91532756016716
1999-07-29,498.81825848673543
1999-07-30,505.6485933468541
1999-08-02,502.60761233107814
1999-08-03,502.38297296942056
1999-08-04,499.4376827826087
1999-08-05,488.6035334782116
1999-08-06,493.89447539995206
1999-08-09,498.31013877391666
1999-08-10,491.83852163036147
1999-08-11,499.0221952583647
1999-08-12,508.32612281971547
1999-08-13,511.0437492060938
1999-08-16,513.3814563721085
1999-08-17,515.2896808282803
1999-08-18,513.3395312038563
1999-08-19,506.31251354393197
1999-08-20,514.0674826826454
1999-08-23,521.6798464611154
1999-08-24,523.0315364929498
1999-08-25,526.5012937302614
1999-08-26,527.6738901914638
1999-08-27,528.4209062875021
1999-08-30,523.603534609831
1999-08-31,513.6416615846408
1999-09-01,518.5206259904576
1999-09-02,513.0327555783541
1999-09-03,523.7795555734469
1999-09-06,530.0866859776116
1999-09-07,528.8888962820456
1999-09-08,523.8972519551597
1999-09-09,524.325441505739
1999-09-10,528.8677188030639
1999-09-13,528.9134085517239
1999-09-14,524.9629476653539
1999-09-15,517.9454427904276
1999-09-16,515.1290154498439
