Date,BELGIUM IMI
1998-12-31,620.7176195013295
1999-01-01,620.7564189391104
1999-01-04,637.926777314033
1999-01-05,650.6190401252608
1999-01-06,654.4011672785189
1999-01-07,644.9123309845569
1999-01-08,640.4105786081537
1999-01-11,633.9274474813507
1999-01-12,627.745876625498
1999-01-13,611.9573555896314
1999-01-14,623.160124870366
1999-01-15,617.8173092929294
1999-01-18,632.396014832475
1999-01-19,630.9194051652944
1999-01-20,633.4965759963662
1999-01-21,625.8049166685257
1999-01-22,615.4335556819108
1999-01-25,611.4387935250554
1999-01-26,612.4295719177316
1999-01-27,609.8596966544179
1999-01-28,617.4202415134766
1999-01-29,619.1417807713808
1999-02-01,627.0728723365609
1999-02-02,632.1311703925528
1999-02-03,629.830907400959
1999-02-04,633.2975099538686
1999-02-05,635.2365919475549
1999-02-08,632.3602890962668
1999-02-09,622.8366515515098
1999-02-10,611.9384285085878
1999-02-11,616.1181207689485
1999-02-12,622.3909176326147
1999-02-15,625.6945873490406
1999-02-16,626.9476575819465
1999-02-17,623.482811537039
1999-02-18,623.9179909773206
1999-02-19,629.20007708
1999-02-22,635.0238992523118
1999-02-23,634.1990065963923
1999-02-24,627.4732679156469
1999-02-25,628.0774717213851
1999-02-26,620.437297846255
1999-03-01,609.9949746355145
1999-03-02,608.7655627273069
1999-03-03,605.6134171620835
1999-03-04,602.4204093903937
1999-03-05,612.3539838277798
1999-03-08,608.2215197270306
1999-03-09,604.9066447047153
1999-03-10,597.9621972261803
1999-03-11,603.527507615444
1999-03-12,606.7415714255648
1999-03-15,610.6176387320724
1999-03-16,611.5182521693606
1999-03-17,609.964079703369
1999-03-18,604.8657006389
1999-03-19,605.2816651597603
1999-03-22,598.88644184898
1999-03-23,584.664089215657
1999-03-24,576.0683325264372
1999-03-25,588.6104026236355
1999-03-26,587.6440073845569
1999-03-29,591.2529340622633
1999-03-30,591.9173963636588
1999-03-31,591.5399486896245
1999-04-01,593.4968988996419
1999-04-02,593.4968991568448
1999-04-05,593.4968990246415
1999-04-06,598.0954458494725
1999-04-07,604.7028917589074
1999-04-08,603.487025831786
1999-04-09,604.9683010745465
1999-04-12,603.15150281224
1999-04-13,604.2635526361074
1999-04-14,602.7878402772551
1999-04-15,602.8202257981039
1999-04-16,596.3404356138187
1999-04-19,601.1613828522009
1999-04-20,588.2375985294982
1999-04-21,594.0397417024974
1999-04-22,593.3153195164781
1999-04-23,589.2713510571843
1999-04-26,590.1989865782065
1999-04-27,593.5675643589512
1999-04-28,588.0156571219303
1999-04-29,587.471655190159
1999-04-30,587.0484222452652
1999-05-03,593.3515772088698
1999-05-04,591.7416347327701
1999-05-05,587.599283493549
1999-05-06,583.486084380201
1999-05-07,579.5069913652081
1999-05-10,584.3663012158872
1999-05-11,589.289259566489
1999-05-12,587.6851744283445
1999-05-13,587.6623312704247
1999-05-14,578.5275419529737
1999-05-17,567.1886419221287
1999-05-18,565.9811450495733
1999-05-19,574.7515788934899
1999-05-20,580.4755946494446
