Date,EAFE SMALL CAP QUALITY
1998-12-31,1000.0
1999-01-01,999.9999006760368
1999-01-04,1012.7069527066336
1999-01-05,1009.8809496404258
1999-01-06,1021.4839411514332
1999-01-07,1023.7092959235522
1999-01-08,1029.8546102180408
1999-01-11,1030.835945189301
1999-01-12,1028.2590836934212
1999-01-13,1000.490906534624
1999-01-14,1001.5702729872486
1999-01-15,1004.0997457037582
1999-01-18,1012.0116080941896
1999-01-19,1012.7572669760392
1999-01-20,1009.7175624041298
1999-01-21,1003.8033772875181
1999-01-22,994.7122738111112
1999-01-25,994.1182702918694
1999-01-26,996.8562432575362
1999-01-27,1003.802710300204
1999-01-28,1008.7025821876144
1999-01-29,1016.7359693633795
1999-02-01,1026.9330557816986
1999-02-02,1033.3496084391754
1999-02-03,1032.5527428663213
1999-02-04,1041.5652044769113
1999-02-05,1043.5504611040888
1999-02-08,1044.623417706128
1999-02-09,1040.19575646856
1999-02-10,1026.008647615029
1999-02-11,1029.6862803819515
1999-02-12,1033.025538224023
1999-02-15,1032.6082125861822
1999-02-16,1034.1870667324542
1999-02-17,1027.4865692388023
1999-02-18,1025.9748030869923
1999-02-19,1034.307249521665
1999-02-22,1035.5166707114156
1999-02-23,1040.5817480872877
1999-02-24,1045.3503131425205
1999-02-25,1038.516243264307
1999-02-26,1039.8805375424447
1999-03-01,1042.8705274214724
1999-03-02,1046.3122243919224
1999-03-03,1047.8679691216896
1999-03-04,1052.2182536004025
1999-03-05,1062.266884017963
1999-03-08,1062.5590355519132
1999-03-09,1061.9659011217336
1999-03-10,1059.9045765986364
1999-03-11,1074.8322269629966
1999-03-12,1076.8578263502682
1999-03-15,1073.223211414322
1999-03-16,1076.5196329721505
1999-03-17,1070.3694767669576
1999-03-18,1070.5849957875034
1999-03-19,1079.2898065227762
1999-03-22,1079.6961280820021
1999-03-23,1076.9594102196268
1999-03-24,1070.7278974254457
1999-03-25,1073.5424072132105
1999-03-26,1077.7571312694984
1999-03-29,1081.340966483028
1999-03-30,1075.6693073756603
1999-03-31,1078.834535401616
1999-04-01,1078.7279829993272
1999-04-02,1077.9272172535066
1999-04-05,1079.6720296106423
1999-04-06,1076.9848093212315
1999-04-07,1079.5809764486535
1999-04-08,1085.3163040930965
1999-04-09,1091.2451433530014
1999-04-12,1090.5207723991714
1999-04-13,1099.5770563060616
1999-04-14,1103.2242383443484
1999-04-15,1114.1766516466
1999-04-16,1127.844333655313
1999-04-19,1145.3574914933472
1999-04-20,1131.3398862289996
1999-04-21,1134.246441826388
1999-04-22,1145.4772189714784
1999-04-23,1147.8360954430284
1999-04-26,1154.4690619406745
1999-04-27,1161.341470826942
1999-04-28,1161.5503911006533
1999-04-29,1168.5809652438002
1999-04-30,1180.4912958561354
1999-05-03,1183.1053109411737
1999-05-04,1188.0839806604079
1999-05-05,1182.9266349582103
1999-05-06,1185.9308582517476
1999-05-07,1182.303653493994
1999-05-10,1179.0305355243772
1999-05-11,1184.9188212819374
1999-05-12,1184.0541367556332
1999-05-13,1189.4768997420229
1999-05-14,1182.9049617962837
1999-05-17,1171.3107227380344
1999-05-18,1173.2843230357958
1999-05-19,1170.2617273292208
1999-05-20,1176.911850778006
1999-05-21,1177.3171814940438
1999-05-24,1174.2434246140124
1999-05-25,1164.0071259583265
1999-05-26,1171.4324454724194
1999-05-27,1169.6109608790505
1999-05-28,1166.858843709966
1999-05-31,1169.0969805939317
1999-06-01,1169.9867593755664
1999-06-02,1178.1569101787825
1999-06-03,1178.9059424235732
1999-06-04,1184.5353542508374
1999-06-07,1192.6819903636924
1999-06-08,1186.3751864672874
1999-06-09,1189.8593456559004
1999-06-10,1183.9510848723119
1999-06-11,1189.3660949429973
1999-06-14,1191.0289021540518
1999-06-15,1189.6567411381552
1999-06-16,1195.127716383215
1999-06-17,1198.2774164175091
1999-06-18,1198.8331741063778
1999-06-21,1208.3735800253507
1999-06-22,1207.8873263639998
1999-06-23,1203.4390807252146
1999-06-24,1197.4259305515927
1999-06-25,1187.4909852149942
1999-06-28,1192.9056502197923
1999-06-29,1194.0321548570178
1999-06-30,1194.652418492738
1999-07-01,1205.2704434838133
1999-07-02,1211.9420544300294
1999-07-05,1220.8082920805937
1999-07-06,1222.352194406662
1999-07-07,1219.9286615029812
1999-07-08,1226.7797793235816
1999-07-09,1228.0029598921867
1999-07-12,1235.2293943281168
1999-07-13,1227.0159877217307
1999-07-14,1229.433920391119
1999-07-15,1232.3306990809006
1999-07-16,1230.2692861401526
1999-07-19,1233.4903428986618
