Date,WORLD ex USA SMALL CAP QUALITY
1998-12-31,1000.0
1999-01-01,999.9998991605704
1999-01-04,1012.7816322157975
1999-01-05,1009.9630152366522
1999-01-06,1021.7912743831444
1999-01-07,1023.880426160306
1999-01-08,1030.2800734538075
1999-01-11,1031.6669158296945
1999-01-12,1028.7253129979294
1999-01-13,1000.8208997304428
1999-01-14,1001.9918379575096
1999-01-15,1005.0049311127505
1999-01-18,1012.6772324423567
1999-01-19,1013.5255246486144
1999-01-20,1010.3193313682812
1999-01-21,1005.1385117734403
1999-01-22,996.1402191298989
1999-01-25,995.3525006315582
1999-01-26,997.7084517963427
1999-01-27,1004.6226647269067
1999-01-28,1009.4779745735651
1999-01-29,1017.663039993273
1999-02-01,1028.032243086782
1999-02-02,1033.9856789427809
1999-02-03,1032.9279280293476
1999-02-04,1041.8887676476277
1999-02-05,1043.42200010074
1999-02-08,1044.0920131962127
1999-02-09,1039.3223955310334
1999-02-10,1025.576271967457
1999-02-11,1029.408823936667
1999-02-12,1032.6176134805278
1999-02-15,1032.4458888677273
1999-02-16,1033.822247799237
1999-02-17,1026.9381204599756
1999-02-18,1025.4294779283396
1999-02-19,1034.1221031279033
1999-02-22,1035.3177454183592
1999-02-23,1039.4088050875646
1999-02-24,1043.8269191954382
1999-02-25,1036.9442566260482
1999-02-26,1038.473190893273
1999-03-01,1041.0591063187526
1999-03-02,1044.1821154919999
1999-03-03,1045.7030687743618
1999-03-04,1050.6630851944876
1999-03-05,1060.9440749186406
1999-03-08,1061.0522389052662
1999-03-09,1060.5547579968568
1999-03-10,1059.0977639277464
1999-03-11,1074.190563173033
1999-03-12,1075.977031619342
1999-03-15,1072.5252221619412
1999-03-16,1075.912469547522
1999-03-17,1070.0034519896765
1999-03-18,1070.5736438063125
1999-03-19,1078.628491354845
1999-03-22,1078.8847418650762
1999-03-23,1075.9117828000756
1999-03-24,1070.3450005377695
1999-03-25,1073.884224305736
1999-03-26,1078.6088344336408
1999-03-29,1082.8858078082844
1999-03-30,1077.0407104784115
1999-03-31,1079.7083157811187
1999-04-01,1079.2325510330857
1999-04-02,1078.5945271093276
1999-04-05,1080.9812725136896
1999-04-06,1077.7508724432491
1999-04-07,1079.3156988772002
1999-04-08,1085.06171087709
1999-04-09,1091.2751510760352
1999-04-12,1090.5399332009674
1999-04-13,1100.3122717609951
1999-04-14,1104.0069087059749
1999-04-15,1115.0516403785214
1999-04-16,1127.8714309913307
1999-04-19,1146.21462869772
1999-04-20,1131.5236467650968
1999-04-21,1134.5355059950975
1999-04-22,1145.5427004131009
1999-04-23,1147.8740676305856
1999-04-26,1154.0101195308835
1999-04-27,1161.279117684459
1999-04-28,1162.6258295367604
1999-04-29,1169.2864486691508
1999-04-30,1180.9730323920783
1999-05-03,1183.7471958080782
1999-05-04,1189.3517504273077
1999-05-05,1184.2442258513015
1999-05-06,1186.996931273226
1999-05-07,1183.0344628676385
1999-05-10,1179.1880222167313
1999-05-11,1185.0686637301908
1999-05-12,1184.5014315180395
1999-05-13,1190.7009007254928
1999-05-14,1183.7949384195504
1999-05-17,1172.0913158629203
1999-05-18,1173.8792217699113
1999-05-19,1171.1552971098954
1999-05-20,1177.60313668803
1999-05-21,1178.149814173589
1999-05-24,1175.3767636351643
1999-05-25,1165.0274214499138
1999-05-26,1172.8225288940384
1999-05-27,1171.1327944101124
1999-05-28,1168.4456414675515
1999-05-31,1170.4641947959865
1999-06-01,1170.9924697479878
1999-06-02,1179.0568850564923
1999-06-03,1180.0163641360336
1999-06-04,1186.1310318658018
1999-06-07,1193.9429240184097
1999-06-08,1187.842236223273
1999-06-09,1191.5545635449328
1999-06-10,1185.8128214297349
1999-06-11,1191.1765103170253
1999-06-14,1193.1182656135836
1999-06-15,1192.0224483846594
1999-06-16,1197.5004781768312
1999-06-17,1200.5557080028282
1999-06-18,1201.0042169859878
1999-06-21,1210.3148534291004
1999-06-22,1209.6925751981234
1999-06-23,1205.0104841666828
1999-06-24,1199.0306582946803
1999-06-25,1188.9627484434004
1999-06-28,1194.317608638673
1999-06-29,1195.441594920047
1999-06-30,1195.9366404725392
1999-07-01,1206.5140774926363
1999-07-02,1213.3913443737806
1999-07-05,1222.5734086136265
1999-07-06,1223.850458422024
1999-07-07,1221.737859639848
1999-07-08,1229.525923356194
1999-07-09,1230.926997353129
1999-07-12,1237.9921632834357
1999-07-13,1229.7578232367182
1999-07-14,1232.5798910824788
1999-07-15,1236.2392972618798
1999-07-16,1235.0025921467889
1999-07-19,1238.4822136481853
1999-07-20,1222.4172487824837
1999-07-21,1206.2565216878734
1999-07-22,1207.3943024446974
1999-07-23,1202.1161529503256
1999-07-26,1186.224519241098
1999-07-27,1184.8974484752055
1999-07-28,1191.8589557328958
1999-07-29,1186.8006148168747
1999-07-30,1190.4253399089914
1999-08-02,1183.329199039799
1999-08-03,1190.0668120897801
1999-08-04,1189.1335696913204
1999-08-05,1183.2408029009202
1999-08-06,1183.4367424830311
1999-08-09,1186.1037659886065
1999-08-10,1178.0681313463447
1999-08-11,1184.8084175182241
1999-08-12,1197.3913493156917
1999-08-13,1208.1876925160893
1999-08-16,1214.3463748890815
1999-08-17,1218.1108495438043
1999-08-18,1224.276718893591
1999-08-19,1217.7563883415703
1999-08-20,1224.8098346940121
1999-08-23,1227.3105704668546
1999-08-24,1224.7848382876116
1999-08-25,1228.1291167879865
1999-08-26,1228.684380140346
1999-08-27,1228.2979405628532
1999-08-30,1230.7724717705541
1999-08-31,1225.74370605027
1999-09-01,1231.5322358212657
1999-09-02,1222.3644870223131
1999-09-03,1227.7568434341015
1999-09-06,1234.3494038630704
1999-09-07,1237.3629366352575
1999-09-08,1237.28134233779
1999-09-09,1241.7441420806417
1999-09-10,1244.859851095205
1999-09-13,1242.4954331988056
1999-09-14,1230.6518010848918
1999-09-15,1223.0951266205775
1999-09-16,1215.8551830229228
1999-09-17,1219.3952634817238
1999-09-20,1219.2174615761937
