Date,PHILIPPINES IMI GROWTH
2001-05-31,677.6872520629679
2001-06-01,683.110735312261
2001-06-04,686.4528333727936
2001-06-05,678.4581400524659
2001-06-06,676.3516441174459
2001-06-07,681.9564127320085
2001-06-08,680.2411652364151
2001-06-11,692.3777715662164
2001-06-12,685.7551323008568
2001-06-13,690.1189249455887
2001-06-14,691.7633863812168
2001-06-15,693.0588811539203
2001-06-18,681.3467860526662
2001-06-19,670.3214306043091
2001-06-20,677.2249158209282
2001-06-21,671.4432898317239
2001-06-22,670.7236272694912
2001-06-25,656.6284747013366
2001-06-26,654.5430548764913
2001-06-27,652.2505685729451
2001-06-28,662.700222681108
2001-06-29,665.4642654061848
2001-07-02,660.9362600437956
2001-07-03,652.720978413158
2001-07-04,653.7585183409892
2001-07-05,665.7609031661262
2001-07-06,665.0270126839599
2001-07-09,662.7771379460911
2001-07-10,650.6579320119275
2001-07-11,641.7059027935476
2001-07-12,656.7189749700356
2001-07-13,653.3796578993756
2001-07-16,641.6309809635236
2001-07-17,634.8947844219434
2001-07-18,624.1082848860178
2001-07-19,620.7001164681959
2001-07-20,614.345373827855
2001-07-23,613.0849631036901
2001-07-24,605.7504391953413
2001-07-25,599.8347179541317
2001-07-26,605.5215726901861
2001-07-27,604.8500718800672
2001-07-30,600.0096318410972
2001-07-31,602.4788944931514
2001-08-01,580.7517414030316
2001-08-02,584.016310899351
2001-08-03,578.1516276355023
2001-08-06,582.1962274608012
2001-08-07,588.3448368620204
2001-08-08,584.2676398149707
2001-08-09,562.9983533081631
2001-08-10,577.4493409954729
2001-08-13,582.8824272715929
2001-08-14,582.8297939026014
2001-08-15,586.355502646951
2001-08-16,579.1192639830107
2001-08-17,570.7212328796322
2001-08-20,574.477786424135
2001-08-21,570.7549641235621
2001-08-22,560.8606971571666
2001-08-23,557.8631029003359
2001-08-24,555.5647269108138
2001-08-27,557.3837347126632
2001-08-28,555.2769383053087
2001-08-29,553.418525908437
2001-08-30,548.1207263504575
2001-08-31,553.5393684852669
2001-09-03,548.7781852440268
2001-09-04,560.1539473821614
2001-09-05,562.7448764302369
2001-09-06,572.1271684170147
2001-09-07,567.9662906511271
2001-09-10,570.5172693982213
2001-09-11,562.54023403489
2001-09-12,541.7652832292264
2001-09-13,540.7417431949926
2001-09-14,531.4296735121249
2001-09-17,513.4026494791225
2001-09-18,522.1321523776517
2001-09-19,510.91256968987886
2001-09-20,510.06042457656855
2001-09-21,508.33894686173267
2001-09-24,504.54979691302344
2001-09-25,509.285664808487
2001-09-26,500.54806535194587
2001-09-27,499.3023736233261
2001-09-28,491.78147588228023
2001-10-01,479.8471490968447
2001-10-02,466.2977462638816
2001-10-03,458.48820433387203
2001-10-04,461.71984197519566
2001-10-05,460.05797529379646
2001-10-08,443.92408819814887
2001-10-09,439.8748164084045
2001-10-10,417.42952427912263
2001-10-11,424.971506464273
2001-10-12,432.95611970499704
2001-10-15,444.2148406559915
2001-10-16,439.5499155958508
2001-10-17,446.01760112860006
2001-10-18,437.0809176149513
2001-10-19,432.97388662778724
2001-10-22,425.0536109832035
2001-10-23,423.58705629489407
2001-10-24,418.32964560161525
2001-10-25,423.36838334936255
2001-10-26,425.50766748382625
2001-10-29,416.40417245746386
2001-10-30,416.0666215832629
2001-10-31,414.22011783920783
2001-11-01,411.39456627656534
2001-11-02,412.6395621719566
2001-11-05,413.51336870608105
2001-11-06,404.3810174107689
2001-11-07,399.94033865111567
2001-11-08,403.60346275427014
2001-11-09,408.2615150033075
2001-11-12,404.1580065947893
2001-11-13,407.9495596236306
2001-11-14,414.2717702930059
2001-11-15,421.0752707157598
2001-11-16,423.34102157833786
2001-11-19,427.25259698936105
2001-11-20,415.7602207098683
2001-11-21,419.925669346391
2001-11-22,442.49301841093956
2001-11-23,452.38529287906454
2001-11-26,451.45162032368
2001-11-27,457.7842720444052
2001-11-28,464.1001081980692
2001-11-29,470.1445683881826
2001-11-30,465.54997970956913
2001-12-03,454.16272425243915
2001-12-04,451.76497136610584
2001-12-05,465.41522496249513
2001-12-06,471.8914743550572
2001-12-07,470.2978204554525
2001-12-10,468.79778089111113
2001-12-11,463.6019350601264
2001-12-12,457.2442848373291
2001-12-13,449.3573844704469
2001-12-14,450.12796488775075
2001-12-17,448.9839300579349
2001-12-18,457.74349835755004
2001-12-19,465.0367021486117
2001-12-20,474.4356056169041
2001-12-21,477.93144954339
2001-12-24,482.7483192945106
2001-12-25,482.7483192945106
2001-12-26,480.85924473068394
2001-12-27,481.53510891078344
2001-12-28,485.98113542816685
2001-12-31,481.1007021075005
2002-01-01,481.1007021075005
2002-01-02,473.1216304528383
2002-01-03,476.59012825152496
