Date,TURKEY IMI GROWTH
1998-12-31,416.7585540933337
1999-01-01,416.7585540933337
1999-01-04,436.7403633486658
1999-01-05,442.38165210949273
1999-01-06,452.67445691248264
1999-01-07,432.5332471326913
1999-01-08,436.9486741393913
1999-01-11,425.882261724005
1999-01-12,420.93747859218695
1999-01-13,387.9416868811258
1999-01-14,408.0241610486667
1999-01-15,404.5669968269782
1999-01-18,395.19451402709615
1999-01-19,394.87104460192427
1999-01-20,396.22002591108435
1999-01-21,396.1235443449307
1999-01-22,398.6132692168653
1999-01-25,381.45982753332737
1999-01-26,385.17538527756324
1999-01-27,401.965799013216
1999-01-28,400.84095130095665
1999-01-29,407.2990842938284
1999-02-01,413.31495980342095
1999-02-02,406.97836013485573
1999-02-03,413.6870734315011
1999-02-04,429.833102979354
1999-02-05,421.6606744104148
1999-02-08,428.31165408257687
1999-02-09,434.63674023130017
1999-02-10,433.1204956890142
1999-02-11,450.5575439207224
1999-02-12,455.1800320523117
1999-02-15,460.0915826688106
1999-02-16,492.10737369007853
1999-02-17,521.9925270295869
1999-02-18,528.5303756571948
1999-02-19,540.4633885357459
1999-02-22,531.8011956823581
1999-02-23,550.2280282187498
1999-02-24,555.5087776848603
1999-02-25,570.1227725363135
1999-02-26,592.4029413635367
1999-03-01,597.3206439835367
1999-03-02,585.5023303360014
1999-03-03,596.3440879993568
1999-03-04,574.6089065368816
1999-03-05,584.0019217919084
1999-03-08,580.3344332914428
1999-03-09,593.3911210634433
1999-03-10,576.5514603385126
1999-03-11,612.1042979247702
1999-03-12,608.0633358160818
1999-03-15,593.1797814228074
1999-03-16,576.7081174405796
1999-03-17,595.4259070315328
1999-03-18,614.2648185095283
1999-03-19,633.1472257026425
1999-03-22,634.8306999401534
1999-03-23,636.1973186739384
1999-03-24,626.428860982234
1999-03-25,652.6767970735373
1999-03-26,665.1900760978103
1999-03-29,666.2095746115998
1999-03-30,664.8298360940394
1999-03-31,662.2564135806556
1999-04-01,661.4665457714228
1999-04-02,659.2438918469555
1999-04-05,670.6903179010294
1999-04-06,688.0877680640345
1999-04-07,696.3479423387871
1999-04-08,668.9714003647573
