Date,COLOMBIA IMI GROWTH
1998-12-31,278.4363591966123
1999-01-01,278.4363591966123
1999-01-04,279.2631373214389
1999-01-05,280.22335407286164
1999-01-06,280.93354489534386
1999-01-07,279.1896932407929
1999-01-08,280.42571831953984
1999-01-11,280.8755081399761
1999-01-12,270.4150244797335
1999-01-13,247.8617264885052
1999-01-14,243.31982995289718
1999-01-15,247.28342741110086
1999-01-18,248.6982240466239
1999-01-19,245.56557888981695
1999-01-20,246.16639568591432
1999-01-21,243.31883562148153
1999-01-22,245.0172856153269
1999-01-25,243.68652188401848
1999-01-26,237.8600054924707
1999-01-27,243.0329133123348
1999-01-28,241.07976934411457
1999-01-29,242.81606803559583
1999-02-01,243.48518050830432
1999-02-02,240.95339328026762
1999-02-03,240.91930875430896
1999-02-04,244.09865640934387
1999-02-05,248.60818085636868
1999-02-08,248.7862295112429
1999-02-09,248.50996559243907
1999-02-10,255.89906709268737
1999-02-11,260.24159501318826
1999-02-12,264.03888912039145
1999-02-15,265.16318520241356
1999-02-16,264.9087665517712
1999-02-17,265.36732668654395
1999-02-18,270.216198438856
1999-02-19,271.8661881315857
1999-02-22,274.6133623262816
1999-02-23,277.62005954201254
1999-02-24,274.10342489624253
1999-02-25,264.91978266769974
1999-02-26,270.18940608547405
1999-03-01,268.6010200242437
1999-03-02,267.1476480540152
1999-03-03,275.1992781759388
1999-03-04,280.99632750975144
1999-03-05,279.2457529594907
1999-03-08,283.441459717174
1999-03-09,281.51438839999884
1999-03-10,277.72843145549393
1999-03-11,276.8669420026001
1999-03-12,275.58801795619473
1999-03-15,274.94025257586463
1999-03-16,277.23682356624903
1999-03-17,277.4549578144134
1999-03-18,277.0927513965935
1999-03-19,280.42063544646146
1999-03-22,280.96067243526204
1999-03-23,281.5936336263842
1999-03-24,281.93989546105644
1999-03-25,286.0186830450394
1999-03-26,286.59078796862724
1999-03-29,288.10371664056095
1999-03-30,280.7077759443004
1999-03-31,282.07915077318916
1999-04-01,281.6747455715997
1999-04-02,282.301414762211
1999-04-05,285.397926700883
1999-04-06,281.7406758481226
1999-04-07,277.4183578620305
1999-04-08,278.00279156899217
1999-04-09,283.11056001460986
1999-04-12,283.74720468682034
1999-04-13,287.1108865552101
1999-04-14,287.58952228658495
1999-04-15,286.71874759152075
1999-04-16,290.72953018521895
1999-04-19,300.85089850955217
1999-04-20,299.4492562030611
1999-04-21,303.6798992433336
1999-04-22,308.19014704109264
1999-04-23,306.81690286265604
1999-04-26,314.0954900484158
1999-04-27,315.72351373155783
1999-04-28,320.95460721395415
1999-04-29,332.440000394762
1999-04-30,333.15102837048397
1999-05-03,339.28929589400263
1999-05-04,351.5642076145201
1999-05-05,341.76077362108833
1999-05-06,329.35470806946347
1999-05-07,341.9261227572653
1999-05-10,343.7312618160144
1999-05-11,347.67288802559517
1999-05-12,353.05243251691064
1999-05-13,355.8403973264545
1999-05-14,349.4844653978336
1999-05-17,351.3644542188652
1999-05-18,349.3545080176951
1999-05-19,347.2519626741218
1999-05-20,348.40756913981204
1999-05-21,343.45693196570755
1999-05-24,332.06509814967853
1999-05-25,316.8537257380639
1999-05-26,312.3197850891266
1999-05-27,331.36479506237146
1999-05-28,336.70426060752493
1999-05-31,333.9865223043466
1999-06-01,329.6214108323331
1999-06-02,327.6262383475912
1999-06-03,329.9468146102071
1999-06-04,329.57621264982095
1999-06-07,330.39569794265816
1999-06-08,323.70950512104963
1999-06-09,315.914803896718
1999-06-10,306.89150632518994
1999-06-11,298.8458992005371
1999-06-14,300.9804226299514
1999-06-15,298.2724585838542
1999-06-16,298.5903754075692
1999-06-17,303.179467455056
1999-06-18,302.35087706499445
1999-06-21,303.4526974595258
1999-06-22,297.77621756450924
1999-06-23,291.25657647186324
1999-06-24,286.8794200340051
1999-06-25,274.3752794258079
1999-06-28,281.33535383374647
