Date,QATAR IMI GROWTH
2014-06-02,975.105819471141
2014-06-03,946.11390847418
2014-06-04,938.3755052219021
2014-06-05,949.3112827820078
2014-06-06,947.6147877255835
2014-06-09,911.3986914124375
2014-06-10,907.8445116175553
2014-06-11,903.9821512691242
2014-06-12,909.975744064241
2014-06-13,911.5102885774713
2014-06-16,875.1339924705416
2014-06-17,880.0720591880059
2014-06-18,882.2814246713056
2014-06-19,868.7520140516093
2014-06-20,872.3676811573451
2014-06-23,856.7883863815744
2014-06-24,858.6361974772146
2014-06-25,845.4500593200141
2014-06-26,814.5471120096213
2014-06-27,811.501629607034
2014-06-30,771.8709813182704
2014-07-01,831.8629010837092
2014-07-02,856.0820513340005
2014-07-03,851.8630395607075
2014-07-04,853.1911984878204
2014-07-07,848.2446520016069
2014-07-08,867.1583211754555
2014-07-09,878.0945202337092
2014-07-10,903.4175115826536
2014-07-11,903.5503768685691
2014-07-14,903.1550673720155
2014-07-15,909.6969798153926
2014-07-16,921.8108828178688
2014-07-17,926.1058389306579
2014-07-18,926.688532563354
2014-07-21,916.0548811466241
2014-07-22,934.2299299198389
2014-07-23,933.2824792800387
2014-07-24,906.5250646638034
2014-07-25,908.9545221437332
2014-07-28,901.4321832816437
2014-07-29,903.3850515452033
2014-07-30,905.5796185127421
2014-07-31,905.4780961339848
2014-08-01,902.1741698021235
2014-08-04,911.0881506554755
2014-08-05,928.1228587687369
2014-08-06,922.3346757997936
2014-08-07,925.4513256354304
2014-08-08,921.1050262194975
2014-08-11,924.5451254861446
2014-08-12,936.7249596926358
2014-08-13,967.3277150763632
2014-08-14,960.6925113753991
2014-08-15,960.486671722721
2014-08-18,974.9627048002254
2014-08-19,980.8228232702486
2014-08-20,985.0803355554908
2014-08-21,991.6376542997182
2014-08-22,995.5788673986981
2014-08-25,1002.3210746504651
2014-08-26,1004.4049534104171
2014-08-27,993.0953616515366
2014-08-28,944.9655207465063
2014-08-29,945.2555508019603
2014-09-01,984.0975178420749
2014-09-02,989.1857263801938
2014-09-03,990.0843574846579
2014-09-04,1015.2890745089886
2014-09-05,1015.9158687055449
2014-09-08,1011.3181723427709
2014-09-09,1018.8190230209716
2014-09-10,1013.9890361465999
2014-09-11,1019.6711579716433
2014-09-12,1019.9075943199132
2014-09-15,1022.6825737061625
2014-09-16,1019.8246149599886
2014-09-17,1022.9067870137792
2014-09-18,1041.7427655575198
2014-09-19,1048.3548161313247
2014-09-22,1030.6465800296983
2014-09-23,1019.1985457880536
2014-09-24,1018.0427532023228
2014-09-25,1019.2814966078762
2014-09-26,1023.4161057032845
2014-09-29,1022.7622190253685
2014-09-30,1023.9560676160329
2014-10-01,1030.3143736466027
2014-10-02,1036.0808863569503
2014-10-03,1047.8255600059383
2014-10-06,1043.0320227555335
