Date,AC ASEAN IMI EQUAL WEIGHTED
2007-05-31,1000.0
2007-06-01,1016.308379645849
2007-06-04,1027.7201351581905
2007-06-05,1022.3739434472067
2007-06-06,1021.4437457390582
2007-06-07,1020.1632260078236
2007-06-08,1010.0056209369711
2007-06-11,1018.0936286026334
2007-06-12,1025.8429733289727
2007-06-13,1014.3022351830826
2007-06-14,1023.5644915596863
2007-06-15,1029.2723017675921
2007-06-18,1045.5517948583908
2007-06-19,1044.4944017817907
2007-06-20,1056.2494961973355
2007-06-21,1055.3674290297072
2007-06-22,1055.9012372980114
2007-06-25,1045.581984773983
2007-06-26,1037.8277108487678
2007-06-27,1031.3029327036218
2007-06-28,1034.6827178957606
2007-06-29,1041.9553170163642
2007-07-02,1042.5391017508048
2007-07-03,1056.7699990298752
2007-07-04,1060.6550162643239
2007-07-05,1066.241316287496
2007-07-06,1066.2156178215655
2007-07-09,1081.130388166136
2007-07-10,1079.9994090030914
2007-07-11,1068.564108218054
2007-07-12,1073.7629073440796
2007-07-13,1083.9860637736501
2007-07-16,1080.6891829859107
2007-07-17,1080.093771782061
2007-07-18,1067.6409318030292
2007-07-19,1071.1311888895123
2007-07-20,1085.8080744611748
2007-07-23,1092.8818217526243
2007-07-24,1105.767969626889
2007-07-25,1104.0779837359473
2007-07-26,1095.3467087874021
2007-07-27,1067.843222268126
2007-07-30,1065.6825146002545
2007-07-31,1069.5413740348208
2007-08-01,1029.4101294503087
2007-08-02,1026.0822526304876
2007-08-03,1025.1635540337286
2007-08-06,987.3301640466831
2007-08-07,987.0310260293351
2007-08-08,1008.9419566282141
2007-08-09,1009.9275822088672
2007-08-10,988.8104557118551
2007-08-13,994.2100414954926
2007-08-14,992.4723877500146
2007-08-15,958.9969571623191
2007-08-16,909.1358053249354
2007-08-17,890.5137277915936
2007-08-20,945.0111188349664
2007-08-21,927.9318126285755
2007-08-22,953.960508977121
2007-08-23,974.5608404698438
2007-08-24,967.4231768989968
2007-08-27,977.3194964283643
2007-08-28,970.6808513581781
2007-08-29,963.1485714405989
2007-08-30,968.6774650841772
2007-08-31,983.6567691433595
2007-09-03,990.4546075332727
2007-09-04,986.9246029950357
2007-09-05,992.709049700427
2007-09-06,992.9959571921885
2007-09-07,987.9773888303432
2007-09-10,974.4902276994027
2007-09-11,973.6880271277151
2007-09-12,976.659556448553
2007-09-13,979.843045341745
2007-09-14,985.5019635293419
2007-09-17,974.030241634593
2007-09-18,975.7517023768089
2007-09-19,996.2885456578099
2007-09-20,991.5563410241925
2007-09-21,995.555703251798
2007-09-24,1010.5321233618336
2007-09-25,1002.172496713429
2007-09-26,1014.4531336163623
2007-09-27,1026.5580208891708
2007-09-28,1024.83496560178
2007-10-01,1040.2530951544747
2007-10-02,1056.3040293305844
2007-10-03,1050.2803358137717
2007-10-04,1053.9830749822634
2007-10-05,1062.3115355724474
2007-10-08,1073.6195408588924
2007-10-09,1073.4653096293803
2007-10-10,1080.892098853021
2007-10-11,1090.9665617338371
2007-10-12,1091.3949873423378
2007-10-15,1088.8464891033582
2007-10-16,1081.4824342639477
2007-10-17,1082.3701924645839
2007-10-18,1075.3943619752922
2007-10-19,1069.1785010415365
2007-10-22,1046.065564517496
2007-10-23,1053.2149016532437
2007-10-24,1054.5816313190676
2007-10-25,1067.4596052855723
2007-10-26,1073.5018212903437
2007-10-29,1086.4837592420188
2007-10-30,1085.0408717963576
2007-10-31,1088.1063357109267
2007-11-01,1094.960801871436
2007-11-02,1081.046328435148
2007-11-05,1064.0905627665734
2007-11-06,1070.8106602069072
2007-11-07,1071.060593516362
2007-11-08,1063.9675186445643
2007-11-09,1064.4613577925688
2007-11-12,1052.1054528550897
2007-11-13,1042.2153084484942
2007-11-14,1045.5863600893435
2007-11-15,1041.0936460913863
