Date,ASEAN IMI EQUAL WEIGHTED
2010-11-30,1000.0
2010-12-01,1009.3335151299711
2010-12-02,1014.4913840901654
2010-12-03,1000.281153434173
2010-12-06,1012.2833310487493
2010-12-07,1009.2829132398296
2010-12-08,1014.817098325481
2010-12-09,1027.4413103023135
2010-12-10,1024.6324502690436
2010-12-13,1017.2286284771552
2010-12-14,1024.4488078025727
2010-12-15,1025.823051583627
2010-12-16,1021.2318507890781
2010-12-17,1027.76228308454
2010-12-20,1022.224583167527
2010-12-21,1030.2579469391453
2010-12-22,1035.1564691020108
2010-12-23,1039.809899597308
2010-12-24,1037.8120465929794
2010-12-27,1034.142630182415
2010-12-28,1045.0766623617267
2010-12-29,1052.8002881638813
2010-12-30,1044.6433188068772
2010-12-31,1035.680230735001
2011-01-03,1051.4594518613221
2011-01-04,1061.0701546224345
2011-01-05,1076.6846871371747
2011-01-06,1089.7851143892613
2011-01-07,1088.4812449532913
2011-01-10,1075.95559653128
2011-01-11,1078.006195322221
2011-01-12,1079.7095340115277
2011-01-13,1063.3062237946401
2011-01-14,1057.9371553012754
2011-01-17,1059.9973029910495
2011-01-18,1048.001306136522
2011-01-19,1042.232159224361
2011-01-20,1034.8588136686985
2011-01-21,1009.7547293721325
2011-01-24,987.5599997384453
2011-01-25,986.1949806698545
2011-01-26,994.6485886861486
2011-01-27,998.2928332400288
2011-01-28,1000.7223660019823
2011-01-31,981.8680015873223
2011-02-01,978.3572804980679
2011-02-02,992.1504698053609
2011-02-03,1005.670161823889
2011-02-04,1012.9538901562165
2011-02-07,1016.0592969479773
2011-02-08,1011.0896719355461
2011-02-09,1000.4931437494407
2011-02-10,992.0826995376611
2011-02-11,984.2169534151993
2011-02-14,997.3558987059955
2011-02-15,991.1439337582414
2011-02-16,993.9092578934527
2011-02-17,993.0165873767172
2011-02-18,994.5668906356473
2011-02-21,985.1796887479267
2011-02-22,961.7988838353384
2011-02-23,958.4535490865935
2011-02-24,937.4840893454204
2011-02-25,950.663954357767
2011-02-28,946.300770792332
2011-03-01,953.8401763402484
2011-03-02,937.6611538286569
2011-03-03,940.1814315771437
2011-03-04,946.7600833806046
2011-03-07,944.8954730443787
2011-03-08,961.6218136616429
2011-03-09,964.8611631013455
2011-03-10,972.0013937926814
2011-03-11,959.3776160852818
2011-03-14,951.314088588274
2011-03-15,928.2736229825133
2011-03-16,942.2785060472733
2011-03-17,927.9754823605457
2011-03-18,926.8715886507346
2011-03-21,938.0278067667531
2011-03-22,940.8583955604585
2011-03-23,952.483253482848
2011-03-24,954.2192215428415
2011-03-25,963.1611523026346
2011-03-28,964.2853320707858
2011-03-29,970.5671327256726
2011-03-30,979.016815011614
2011-03-31,975.8123127110066
2011-04-01,987.6246215057131
2011-04-04,987.7537017292054
2011-04-05,988.3636443884384
2011-04-06,986.8115531990591
2011-04-07,994.0250451864429
2011-04-08,987.3706860223567
2011-04-11,979.6846620294006
2011-04-12,970.7409080520425
2011-04-13,975.9013138887735
2011-04-14,976.2553019059749
2011-04-15,979.523504711627
2011-04-18,993.6497997508892
2011-04-19,986.5746867600741
2011-04-20,983.9377359030199
2011-04-21,983.7961491252267
2011-04-22,981.8918659208866
2011-04-25,985.6804482825711
2011-04-26,979.8748799356161
2011-04-27,982.9171156398879
2011-04-28,974.6238978366107
2011-04-29,978.1361163256394
2011-05-02,976.1590321288659
2011-05-03,966.753856130881
2011-05-04,959.3671507844325
2011-05-05,971.5457965416122
2011-05-06,969.7210975522494
2011-05-09,994.2506300471663
2011-05-10,993.62338040719
2011-05-11,1008.1825642995966
2011-05-12,1002.3685045242432
2011-05-13,1008.5927292892253
2011-05-16,995.7148328383668
2011-05-17,998.7101466400925
2011-05-18,997.8076870647627
2011-05-19,996.4512673511833
2011-05-20,1003.2813117103738
2011-05-23,985.8176162640492
2011-05-24,984.2104180369809
2011-05-25,977.4853816553937
2011-05-26,985.456864663485
2011-05-27,979.8430558435514
2011-05-30,978.8430738314
2011-05-31,976.858865015536
2011-06-01,974.4292204707524
2011-06-02,972.4471211779684
2011-06-03,964.8456153391533
2011-06-06,958.0549154451892
2011-06-07,957.1211197037518
2011-06-08,953.1280037816033
2011-06-09,957.3798720499108
2011-06-10,966.527743934274
2011-06-13,953.6133006073338
2011-06-14,951.6249816126357
2011-06-15,962.4383046218963
2011-06-16,960.2672958195126
2011-06-17,946.3881562627423
2011-06-20,941.6613974272273
2011-06-21,952.217381931071
2011-06-22,949.7494810518264
2011-06-23,961.9203033330281
