Date,USA VALUE
1998-12-31,100.0
1999-01-29,105.97687236778224
1999-02-26,108.70606745638365
1999-03-31,113.29685848528253
1999-04-30,125.80506476732509
1999-05-31,125.32361746879376
1999-06-30,130.2541989691709
1999-07-30,122.03316935652535
1999-08-31,119.60361085290155
1999-09-30,113.15238906068846
1999-10-29,121.08995069102507
1999-11-30,125.97433267098346
1999-12-31,129.10606583609362
2000-01-31,128.1832085869044
2000-02-29,121.64966687443874
2000-03-31,135.14292934695638
2000-04-28,142.26335448194865
2000-05-31,140.005640762358
2000-06-30,132.03042070379232
2000-07-31,137.74452293204712
2000-08-31,150.70341473973716
2000-09-29,150.98276616519541
2000-10-31,159.47629168652148
2000-11-30,146.0131517763105
2000-12-29,140.9796526465172
2001-01-01,140.9796526465172
2001-01-02,137.96656369679167
2001-01-03,141.73079560743108
2001-01-04,140.62525945932006
2001-01-05,136.7222623791256
2001-01-08,137.16199847346695
2001-01-09,138.5128518866797
2001-01-10,139.55038395590248
2001-01-11,138.2806184957461
2001-01-12,137.83129729988383
2001-01-15,138.82631064628143
2001-01-16,140.32575884137518
2001-01-17,141.80170724045692
2001-01-18,140.25398273706557
2001-01-19,140.7673379903835
2001-01-22,140.77142264830502
2001-01-23,141.726845423061
2001-01-24,144.91293803507452
2001-01-25,145.55521278871012
2001-01-26,144.4366124021701
2001-01-29,145.92933024522128
2001-01-30,146.22600083121048
2001-01-31,144.94050785340303
2001-02-01,143.7929450097394
2001-02-02,143.09523420034276
2001-02-05,143.27716149911706
2001-02-06,144.12973919487098
2001-02-07,143.33042685234233
2001-02-08,145.64175166260696
2001-02-09,143.90028717506647
2001-02-12,144.41066946413378
2001-02-13,145.25804693167052
2001-02-14,144.1024735074758
2001-02-15,147.20127847817332
2001-02-16,144.3041410396085
2001-02-19,143.5361072688009
2001-02-20,143.49862604028877
2001-02-21,140.620836448315
2001-02-22,141.34072928403074
2001-02-23,140.10288237956703
2001-02-26,142.55922739958837
2001-02-27,141.0670006132335
2001-02-28,139.2517646817175
2001-03-01,137.09755139169442
2001-03-02,136.93749952960349
2001-03-05,138.59176846127713
2001-03-06,139.6716478417742
2001-03-07,141.45999109119506
2001-03-08,141.74067942703252
2001-03-09,139.24545484322573
2001-03-12,134.3122697432532
2001-03-13,137.29121741262162
2001-03-14,134.1087621357824
2001-03-15,136.6910526309202
2001-03-16,135.41889038816024
2001-03-19,137.69941570416677
2001-03-20,134.02765882185045
2001-03-21,131.82283798703497
2001-03-22,131.47220126226458
2001-03-23,132.86821905552753
2001-03-26,135.31721896874674
2001-03-27,138.3567676499587
2001-03-28,136.64941729411692
2001-03-29,137.61544476560397
2001-03-30,139.08909914383818
2001-04-02,138.04563056651918
2001-04-03,132.76674246982643
2001-04-04,129.87438110772652
2001-04-05,135.81684522686913
2001-04-06,132.259524234578
2001-04-09,133.52753544638898
2001-04-10,138.88212230988847
2001-04-11,139.13416969803146
2001-04-12,139.14282312621145
2001-04-13,139.14282312621145
2001-04-16,141.13354853076154
2001-04-17,142.56502198185208
2001-04-18,148.93044834056778
2001-04-19,146.8164967616505
2001-04-20,143.39850114589268
2001-04-23,142.82557950199208
2001-04-24,142.54882347402128
2001-04-25,143.92220054148777
2001-04-26,144.39444164113362
2001-04-27,147.52195614017137
2001-04-30,147.6872129011077
2001-05-01,148.55716764257645
2001-05-02,148.00891390258445
2001-05-03,146.06373795831564
2001-05-04,147.5233552169844
2001-05-07,147.82197158595838
2001-05-08,147.85489529939423
2001-05-09,147.9504911213776
2001-05-10,148.5492495843126
2001-05-11,148.62789085726055
2001-05-14,149.99859857049503
2001-05-15,149.20718426242067
2001-05-16,151.76155359497125
2001-05-17,152.445472780837
2001-05-18,153.76484337078807
2001-05-21,155.58696577958898
2001-05-22,157.1597451359053
2001-05-23,156.19045460432727
2001-05-24,156.95117992348764
2001-05-25,155.69858899825394
2001-05-28,155.1102273748084
2001-05-29,155.38811579474918
2001-05-30,153.2580786694858
2001-05-31,156.4904100008102
2001-06-01,156.66379904795764
2001-06-04,157.24153473450068
2001-06-05,158.3310760797549
2001-06-06,156.6518084385072
2001-06-07,155.70664161632078
2001-06-08,155.11575218132742
2001-06-11,155.91722407877637
2001-06-12,154.34960136697265
2001-06-13,152.9616545929451
2001-06-14,148.8603097141026
2001-06-15,148.14588758669498
2001-06-18,147.42118388571402
2001-06-19,148.58298149649727
2001-06-20,150.484775061326
2001-06-21,152.22205891221967
2001-06-22,150.99581597335865
2001-06-25,148.58307263044298
2001-06-26,148.26426563579213
2001-06-27,148.20905357526442
2001-06-28,151.5241167159421
2001-06-29,152.86200634699313
2001-07-02,154.10542260905018
2001-07-03,153.7846849355426
2001-07-04,153.95742563987451
2001-07-05,154.42772061389607
2001-07-06,150.35000121351047
2001-07-09,150.22350035868308
2001-07-10,147.638835374274
2001-07-11,146.26134256171613
2001-07-12,150.43766420040467
2001-07-13,151.1964231056372
2001-07-16,149.79148704760956
2001-07-17,151.66404225378707
2001-07-18,147.16287534897685
2001-07-19,147.70248295112214
2001-07-20,146.6616978038246
2001-07-23,145.49671824472475
2001-07-24,141.50790087881109
2001-07-25,143.0867429943447
2001-07-26,145.37643167030555
2001-07-27,146.24157706920136
2001-07-30,145.90716103361078
2001-07-31,146.11933486925997
2001-08-01,145.914167521329
2001-08-02,145.93505615493896
2001-08-03,144.53408817653084
2001-08-06,143.9544905686104
2001-08-07,145.03341045574493
2001-08-08,143.1367620127986
2001-08-09,140.86732088142242
2001-08-10,140.9018574715713
2001-08-13,140.0951696348563
2001-08-14,139.51859557623678
2001-08-15,136.6053425638564
2001-08-16,136.5684437793458
2001-08-17,134.00114798088208
2001-08-20,135.333057791134
2001-08-21,134.41297539703967
2001-08-22,133.63617576848426
2001-08-23,134.57087345895522
2001-08-24,136.29902141551491
2001-08-27,136.04884734134757
2001-08-28,134.4876424192987
2001-08-29,132.86837874010854
2001-08-30,131.2136219045238
2001-08-31,132.18147143263474
2001-09-03,132.46584242700104
2001-09-04,135.10103400149296
2001-09-05,134.4840149297347
2001-09-06,131.58562396122073
2001-09-07,127.05963460375463
2001-09-10,128.29782061013535
2001-09-11,127.15962636734103
2001-09-12,127.40533866916051
2001-09-13,127.03362871928353
2001-09-14,125.33635125540434
2001-09-17,118.13410148143379
2001-09-18,117.57386310003751
2001-09-19,115.00985331156637
2001-09-20,111.81505692938909
2001-09-21,111.51447529705186
2001-09-24,115.71273800958208
2001-09-25,115.65776147391176
2001-09-26,115.44824085338253
2001-09-27,116.83764495184445
2001-09-28,121.17323740340326
2001-10-01,119.8362534647194
2001-10-02,121.60325437855879
2001-10-03,123.15753325260593
2001-10-04,123.6535442090336
2001-10-05,121.9456096442794
2001-10-08,120.41090559108824
2001-10-09,120.51182112642945
2001-10-10,124.05354788242174
2001-10-11,127.02782203459212
2001-10-12,125.31621213438366
2001-10-15,124.75421704836249
2001-10-16,125.65584206084131
2001-10-17,123.95106381722209
2001-10-18,122.76518893192322
2001-10-19,123.69779534243705
2001-10-22,126.02468209283863
2001-10-23,126.06710708260498
2001-10-24,124.72989977650336
2001-10-25,125.74372758891127
2001-10-26,127.25946786257462
2001-10-29,122.77681075153181
2001-10-30,119.97560569407867
2001-10-31,120.76847315055322
2001-11-01,122.30728693180725
2001-11-02,122.76744249944959
2001-11-05,125.284502876904
2001-11-06,126.70378402131801
2001-11-07,125.95932969483138
2001-11-08,127.72958815781757
2001-11-09,127.7909129825547
2001-11-12,127.1469462863872
2001-11-13,131.39050615500298
2001-11-14,131.3386507495425
2001-11-15,131.7677765011424
2001-11-16,130.78085960647485
2001-11-19,132.95501205074626
2001-11-20,131.7301583449326
2001-11-21,131.6434726383794
2001-11-22,131.201741142863
2001-11-23,133.32740396521282
2001-11-26,133.4495001271553
2001-11-27,132.3910780015039
2001-11-28,129.2890672750297
2001-11-29,130.13715334137441
2001-11-30,128.6397924525111
2001-12-03,127.80665466074157
2001-12-04,130.14901539581527
2001-12-05,134.44530617018722
2001-12-06,133.89406203765895
2001-12-07,132.5254688923089
2001-12-10,130.27612491625604
2001-12-11,130.2177362527875
2001-12-12,129.346915693697
2001-12-13,126.28242925996565
2001-12-14,125.50490244157986
2001-12-17,126.29592102067612
2001-12-18,127.66532964138334
2001-12-19,128.800913234908
2001-12-20,127.52182166876615
