Date,UNITED KINGDOM VALUE
1998-12-31,100.0
1999-01-29,99.31839218996934
1999-02-26,107.0822280651988
1999-03-31,114.53437483145758
1999-04-30,127.60544833988088
1999-05-31,121.63771194728844
1999-06-30,122.88597931255198
1999-07-30,122.30300030653422
1999-08-31,123.45674256399526
1999-09-30,121.77667766273025
1999-10-29,123.21926531104673
1999-11-30,127.80835041932868
1999-12-31,134.91928408388543
2000-01-31,124.34889746154543
2000-02-29,120.10326684207446
2000-03-31,130.29261145829562
2000-04-28,127.04209908694521
2000-05-31,126.19976813438767
2000-06-30,121.93166525502303
2000-07-31,128.03216247610044
2000-08-31,133.30433332545195
2000-09-29,130.85866570369228
2000-10-31,142.42995354477364
2000-11-30,128.61113858602744
2000-12-29,129.02253680665385
2001-01-01,129.02253680665385
2001-01-02,126.71564024708209
2001-01-03,125.03322687387032
2001-01-04,129.446451624406
2001-01-05,129.29338787099886
2001-01-08,127.95786468778289
2001-01-09,127.37913922256065
2001-01-10,126.1007970432014
2001-01-11,126.32967715907277
2001-01-12,126.0391505905845
2001-01-15,125.78033889239671
2001-01-16,123.55113828464515
2001-01-17,127.72668956249805
2001-01-18,125.91315067894983
2001-01-19,126.41671053488466
2001-01-22,125.85419601875878
2001-01-23,126.18325721233602
2001-01-24,129.30718016952196
2001-01-25,129.46861711859273
2001-01-26,129.6100910432983
2001-01-29,131.16756121689343
2001-01-30,131.8781994907824
2001-01-31,129.5892650465361
2001-02-01,128.56090779617438
2001-02-02,128.79668624800422
2001-02-05,128.3712308982015
2001-02-06,128.76149142406504
2001-02-07,127.21687990576393
2001-02-08,127.64747514488411
2001-02-09,125.26198287116773
2001-02-12,127.24669339890069
2001-02-13,127.63096455790001
2001-02-14,127.71759546186807
2001-02-15,129.90660179759985
2001-02-16,125.98482756549328
2001-02-19,124.2632924586042
2001-02-20,123.30975704853415
2001-02-21,121.79651854765899
2001-02-22,123.68797498082228
2001-02-23,122.58722033038977
2001-02-26,120.42665385993821
2001-02-27,119.34250345971776
2001-02-28,118.67699532696834
2001-03-01,118.51499187861307
2001-03-02,118.33890073968537
2001-03-05,120.97268189693754
2001-03-06,123.1893369913229
2001-03-07,123.16957026025428
2001-03-08,123.34999165290094
2001-03-09,121.12590319672212
2001-03-12,120.05720737223473
2001-03-13,118.76434935006068
2001-03-14,117.89599787553692
2001-03-15,120.4036125111375
2001-03-16,117.45830164597423
2001-03-19,117.02361532195499
2001-03-20,118.65596709711929
2001-03-21,117.11455867233144
2001-03-22,114.05907609196151
2001-03-23,114.12895929847095
2001-03-26,118.08446500906243
2001-03-27,121.68283076229375
2001-03-28,120.46185766194712
2001-03-29,121.46766402187453
2001-03-30,120.69592125981433
2001-04-02,120.62220426483545
2001-04-03,117.42855968545037
2001-04-04,118.1451700923013
2001-04-05,120.10479587062117
2001-04-06,120.86756344000038
2001-04-09,123.5551827358879
2001-04-10,127.11175786292885
2001-04-11,127.37837702377956
2001-04-12,126.1533761235289
2001-04-13,126.1533761235289
2001-04-16,126.92333273900005
2001-04-17,126.31797705005243
2001-04-18,129.30803428704692
2001-04-19,129.13648657112253
2001-04-20,127.60401100657893
2001-04-23,127.97070751190644
2001-04-24,127.39888792908114
2001-04-25,126.58694171681113
2001-04-26,126.44891605013892
2001-04-27,128.49701421290436
2001-04-30,128.61197864555237
2001-05-01,127.37420237599325
2001-05-02,126.10458406832225
2001-05-03,122.49509671139542
2001-05-04,125.34048951472224
2001-05-07,126.09449941275982
2001-05-08,126.07097701635371
2001-05-09,126.36875618968631
2001-05-10,127.71830255787405
2001-05-11,127.66212421212502
2001-05-14,123.19093407612601
2001-05-15,125.91110844358397
2001-05-16,126.38061898259538
2001-05-17,127.5549498666716
2001-05-18,128.15038322482184
2001-05-21,129.5032121371825
2001-05-22,130.44298158058268
2001-05-23,129.18630534563405
2001-05-24,128.7416186127755
2001-05-25,129.89451943093195
2001-05-28,129.38089560542804
2001-05-29,129.14136223190124
2001-05-30,127.44374335238746
2001-05-31,128.64772307726477
2001-06-01,128.10694284166271
2001-06-04,128.68104294257
2001-06-05,129.82888662874228
2001-06-06,127.88174339752796
2001-06-07,127.84935885856845
2001-06-08,127.68786996706123
2001-06-11,126.17522724810394
2001-06-12,124.44137903909973
2001-06-13,125.44847807636417
2001-06-14,123.95311684187753
2001-06-15,122.99338778788169
2001-06-18,122.0747123648837
2001-06-19,122.99494476576405
2001-06-20,123.34578248246281
2001-06-21,122.82795706193211
2001-06-22,122.9606383176363
2001-06-25,122.09177188869843
2001-06-26,120.45642992338561
2001-06-27,121.42846560545253
2001-06-28,123.33814987922904
2001-06-29,123.0180453320844
2001-07-02,125.86280613473608
2001-07-03,123.81508141764378
2001-07-04,123.30813885417754
2001-07-05,123.58390559594388
2001-07-06,120.96520202031112
2001-07-09,120.45775762556664
2001-07-10,119.65501491542965
2001-07-11,117.29617728380256
2001-07-12,120.19284001547749
2001-07-13,121.11059561368839
2001-07-16,120.2546446205475
2001-07-17,118.43867667245111
2001-07-18,116.25342092728714
2001-07-19,117.70960767687768
2001-07-20,116.97878702591507
2001-07-23,118.21131083353337
2001-07-24,115.26487456972431
2001-07-25,113.62306048688582
2001-07-26,113.73512674247951
2001-07-27,116.54938923478426
2001-07-30,117.82324801735366
2001-07-31,119.65760392303719
2001-08-01,119.68871641231938
2001-08-02,120.61351847953371
2001-08-03,119.92033755964451
2001-08-06,118.84861818104935
2001-08-07,119.65013689255825
2001-08-08,118.37082183623916
2001-08-09,115.70423992026994
2001-08-10,115.41120444707285
2001-08-13,115.18095844881239
