Date,NEW ZEALAND VALUE
1998-12-31,100.0
1999-01-29,112.17460815780042
1999-02-26,107.66915836123462
1999-03-31,109.95100170362788
1999-04-30,143.73904524839193
1999-05-31,124.77089675292284
1999-06-30,131.9966608791548
1999-07-30,130.1448173782406
1999-08-31,122.63142345369029
1999-09-30,118.65001358583143
1999-10-29,121.71039721174812
1999-11-30,125.91482493296313
1999-12-31,135.16719527980777
2000-01-31,120.20849656257751
2000-02-29,111.67056049917022
2000-03-31,108.58883899860696
2000-04-28,121.08242479393257
2000-05-31,118.86487833994036
2000-06-30,125.78809371752713
2000-07-31,130.77914097533377
2000-08-31,133.02813550937114
2000-09-29,120.19699619892589
2000-10-31,116.81610546893415
2000-11-30,121.42325159419858
2000-12-29,119.4047635506062
2001-01-01,119.4047635506062
2001-01-02,118.13375262410565
2001-01-03,117.84408623987325
2001-01-04,119.09108563282193
2001-01-05,120.3875086042349
2001-01-08,120.00697530590648
2001-01-09,121.07371676664272
2001-01-10,120.55598458129461
2001-01-11,121.12342105141852
2001-01-12,121.31664762515229
2001-01-15,122.4339926396007
2001-01-16,123.4786592899401
2001-01-17,125.55996714040766
2001-01-18,123.5838719365264
2001-01-19,127.00930286798128
2001-01-22,128.33916021584574
2001-01-23,125.94027436181078
2001-01-24,125.43828876438484
2001-01-25,124.10734245202325
2001-01-26,123.94168695059389
2001-01-29,123.85393501767732
2001-01-30,124.75815975621956
2001-01-31,125.60557337738511
2001-02-01,127.05515867256996
2001-02-02,125.95768358559081
2001-02-05,124.46115038009643
2001-02-06,125.61778841652614
2001-02-07,127.06896310063664
2001-02-08,127.36156994706425
2001-02-09,126.10280624337696
2001-02-12,126.93611419936381
2001-02-13,127.16058889415406
2001-02-14,123.50821462939729
2001-02-15,125.39085356885182
2001-02-16,126.38591958370642
2001-02-19,125.5779835695778
2001-02-20,128.61741367795798
2001-02-21,128.87573519323354
2001-02-22,129.323399304169
2001-02-23,130.37849302078575
2001-02-26,129.59599645057403
2001-02-27,130.49870211436405
2001-02-28,127.91232065871795
2001-03-01,128.55782450598028
2001-03-02,129.81971259032414
2001-03-05,131.04080718349903
2001-03-06,131.96019503888846
2001-03-07,132.96862166756767
2001-03-08,131.83191884451477
2001-03-09,129.77169817311784
