Date,SWITZERLAND VALUE
1998-12-31,100.0
1999-01-29,98.5986792444933
1999-02-26,100.2835503662279
1999-03-31,104.27797875649314
1999-04-30,111.43596177887133
1999-05-31,104.96318312892797
1999-06-30,105.00210077313184
1999-07-30,106.31712353206183
1999-08-31,107.18066946756925
1999-09-30,105.89360981850184
1999-10-29,109.80517238726345
1999-11-30,111.75512127729314
1999-12-31,118.56278939772203
2000-01-31,107.38334143610717
2000-02-29,104.44764873327973
2000-03-31,118.15068463581359
2000-04-28,116.92011819032862
2000-05-31,124.59850196502819
2000-06-30,126.6196296076928
2000-07-31,134.4226511465014
2000-08-31,139.07445761796296
2000-09-29,129.00820681103798
2000-10-31,136.18429798357425
2000-11-30,135.7482121821687
2000-12-29,139.4197742912119
2001-01-01,139.4197742912119
2001-01-02,139.254202165102
2001-01-03,139.28466952333073
2001-01-04,141.3389501758431
2001-01-05,138.56046076333652
2001-01-08,139.67582873168297
2001-01-09,139.2241894634844
2001-01-10,137.42166642946248
2001-01-11,137.2493045379917
2001-01-12,136.2697878508682
2001-01-15,136.45805237570295
2001-01-16,136.84125874361317
2001-01-17,139.2263604691173
2001-01-18,139.18749482272554
2001-01-19,137.75838394261118
2001-01-22,137.44276671016524
2001-01-23,138.1087920224601
2001-01-24,139.13970788150286
2001-01-25,139.619515665086
2001-01-26,140.59255473554634
2001-01-29,141.3977308699354
2001-01-30,141.66872622419103
2001-01-31,141.5685771798771
2001-02-01,139.43329650884954
2001-02-02,139.61512938316025
2001-02-05,140.09364002859948
2001-02-06,140.33961707335197
2001-02-07,139.63454959493052
2001-02-08,137.1933779479177
2001-02-09,136.80021644130497
2001-02-12,135.32509055758564
2001-02-13,136.06699056295648
2001-02-14,135.70994192842969
2001-02-15,136.02367417167224
2001-02-16,132.6681643152589
2001-02-19,132.7960894942563
2001-02-20,132.28997234907578
2001-02-21,130.50627624100883
2001-02-22,131.4200205828599
2001-02-23,130.43199435114704
2001-02-26,131.65029931571027
2001-02-27,131.62363505963856
2001-02-28,132.11805378064528
2001-03-01,128.5320037354003
2001-03-02,127.0462387679916
2001-03-05,127.71655907524472
2001-03-06,129.47980062744983
2001-03-07,129.3637616248651
2001-03-08,128.99353886080257
2001-03-09,127.91706693499287
2001-03-12,125.3412334822777
2001-03-13,125.2585344266879
2001-03-14,122.95795740227335
2001-03-15,123.57425132269728
2001-03-16,120.55060353176182
2001-03-19,119.4373275307184
2001-03-20,120.80750340413408
2001-03-21,118.10623488701891
2001-03-22,110.00467716350194
2001-03-23,112.57047706123552
2001-03-26,116.80683304928418
2001-03-27,117.53262229926864
2001-03-28,116.24306676976832
