Date,THAILAND ESG LEADERS
2010-08-31,1000.0
2010-09-01,1009.6574587917637
2010-09-02,1016.0756871104974
2010-09-03,1006.8366729832276
2010-09-06,1018.198683250347
2010-09-07,1021.4692590857437
2010-09-08,1026.3658273017857
2010-09-09,1037.6778705719016
2010-09-10,1036.5307875407848
2010-09-13,1047.4738233432445
2010-09-14,1008.0768168033385
2010-09-15,1000.4477768831011
2010-09-16,999.0586773274246
2010-09-17,1002.5004980021205
2010-09-20,998.9073895509445
2010-09-21,1021.6594513364713
2010-09-22,1026.9201872643898
2010-09-23,1036.957986582335
2010-09-24,1026.099161405952
2010-09-27,1045.0733935979433
2010-09-28,1036.9253775307031
2010-09-29,1053.0519632017247
2010-09-30,1070.497350273964
2010-10-01,1066.6451683108673
2010-10-04,1058.268482160028
2010-10-05,1051.0822096483107
2010-10-06,1069.91920959739
2010-10-07,1064.285835142411
2010-10-08,1045.6027344337226
2010-10-11,1065.1290650306858
2010-10-12,1079.18138480537
2010-10-13,1091.2867623313618
2010-10-14,1070.4503998110251
2010-10-15,1073.420142950617
2010-10-18,1053.0297676693192
2010-10-19,1081.761842685387
2010-10-20,1056.4805045067817
2010-10-21,1058.5807005413094
2010-10-22,1074.033844386855
2010-10-25,1069.8847706237987
2010-10-26,1085.7862197553338
2010-10-27,1067.8525059057276
2010-10-28,1057.3785367642975
2010-10-29,1051.2709471722208
2010-11-01,1074.016892265125
2010-11-02,1067.6656196371162
2010-11-03,1096.561235270787
2010-11-04,1102.147643178507
2010-11-05,1133.8555132863944
2010-11-08,1162.507502446128
2010-11-09,1152.883298238403
2010-11-10,1153.9136835238576
2010-11-11,1132.5077201111558
2010-11-12,1110.6579146186787
2010-11-15,1124.4696327480037
2010-11-16,1103.657816972789
2010-11-17,1080.327229187089
2010-11-18,1100.325064990928
2010-11-19,1100.7577385250086
2010-11-22,1121.179433264682
2010-11-23,1124.4115473937777
2010-11-24,1132.6457297880027
2010-11-25,1117.743878971478
2010-11-26,1113.5271480093118
2010-11-29,1143.0478618349646
2010-11-30,1131.7435861143897
2010-12-01,1153.2937876318385
2010-12-02,1175.1914365484372
2010-12-03,1165.7080556798878
2010-12-06,1174.1307383536746
2010-12-07,1181.8330468868085
2010-12-08,1169.1071816767587
2010-12-09,1183.5489036737229
2010-12-10,1179.6100070878633
2010-12-13,1160.3687225421465
2010-12-14,1173.7582558139052
2010-12-15,1177.0499526414892
2010-12-16,1171.3086043848034
2010-12-17,1163.307185982012
2010-12-20,1138.971869815251
2010-12-21,1151.5330329392052
2010-12-22,1165.7132815986386
2010-12-23,1177.8284990689694
2010-12-24,1166.7443345699799
2010-12-27,1153.4060871512368
2010-12-28,1171.9496174496583
2010-12-29,1189.3537995875572
2010-12-30,1176.907420989964
2010-12-31,1165.1958082508072
2011-01-03,1169.8611259982563
2011-01-04,1207.1840354641977
2011-01-05,1234.177717444016
