Date,HUNGARY IMI GROWTH
1994-05-31,94.45719212316227
1994-06-30,82.39510217126146
1994-07-29,85.32571222583276
1994-08-31,101.3196847738627
1994-09-30,91.14047584120333
1994-10-31,94.06586223779962
1994-11-30,86.60201389874435
1994-12-30,81.98615592220165
1995-01-31,67.20856901941642
1995-02-28,66.04267841069793
1995-03-31,63.45673801022606
1995-04-28,70.74866211557939
1995-05-31,71.04687005884205
1995-06-30,71.21682142149155
1995-07-31,72.39126180434293
1995-08-31,74.45278834874321
1995-09-29,76.94724850416347
1995-10-31,76.21787991022673
1995-11-30,74.15524775184672
1995-12-29,73.62451232181836
1996-01-31,98.47162001487202
1996-02-29,104.34069314937165
1996-03-29,108.88532223902608
1996-04-30,109.06341256372865
1996-05-31,121.51146844848599
1996-06-28,119.99453206640402
1996-07-31,110.37965710682467
1996-08-30,118.16842091983453
1996-09-30,114.52895581514011
1996-10-31,116.24546421870315
1996-11-29,122.24858725171646
1996-12-31,133.49191832453565
1997-01-01,133.49191832453565
1997-01-02,134.3856054626261
1997-01-03,133.38052722539908
1997-01-06,141.51145408140783
1997-01-07,147.6890155265789
1997-01-08,151.8418608844319
1997-01-09,155.9737107394148
1997-01-10,155.1706558426696
1997-01-13,159.00197389109726
1997-01-14,159.20250152169356
1997-01-15,163.21822469229485
1997-01-16,163.6495355603914
1997-01-17,158.14716335118476
1997-01-20,161.51893460535976
1997-01-21,165.0981956255144
1997-01-22,166.9735181321133
1997-01-23,168.3927896199287
1997-01-24,176.99617213545645
1997-01-27,179.8695717975367
1997-01-28,185.6845220879064
1997-01-29,175.23937591267446
1997-01-30,183.44544245375124
1997-01-31,186.1661836218333
1997-02-03,190.47747702377202
1997-02-04,196.01815961481816
1997-02-05,197.87652769442616
1997-02-06,194.72518406941452
1997-02-07,185.95689049186666
1997-02-10,176.34015070830773
1997-02-11,174.3548033438858
1997-02-12,179.0916803231631
1997-02-13,177.56021066061936
1997-02-14,179.29668000148172
1997-02-17,178.68368058905688
1997-02-18,177.99978572990858
1997-02-19,177.54297715634533
1997-02-20,174.88523912822632
1997-02-21,174.1377272444412
1997-02-24,176.17940101799942
1997-02-25,177.54617506626573
1997-02-26,177.31244063714195
1997-02-27,176.383210473726
1997-02-28,173.89884739122792
1997-03-03,175.42280974115684
1997-03-04,173.66530457645874
1997-03-05,171.3818024880407
1997-03-06,170.99187889308186
1997-03-07,169.5553062482445
