Date,PERU IMI GROWTH
1995-05-31,268.53056670824554
1995-06-30,267.0092454439963
1995-07-31,287.60688056297795
1995-08-31,293.50408694716367
1995-09-29,282.8946621677247
1995-10-31,263.05087338881424
1995-11-30,276.57328764336404
1995-12-29,293.38503747942156
1996-01-31,309.46368920931263
1996-02-29,303.294730285123
1996-03-29,297.5497769311545
1996-04-30,321.9315248713368
1996-05-31,300.86373148022216
1996-06-28,309.5299761850449
1996-07-31,322.77307683051015
1996-08-30,338.6483655086526
1996-09-30,338.4538083493327
1996-10-31,313.1838258763464
1996-11-29,295.95977269308514
1996-12-31,291.5726477567303
1997-01-01,291.5726477567303
1997-01-02,294.42815697528
1997-01-03,299.74065865600215
1997-01-06,299.73749150746136
1997-01-07,301.95952692079464
1997-01-08,305.9211372425653
1997-01-09,304.7675758985191
1997-01-10,304.69864611061865
1997-01-13,304.61250811743815
1997-01-14,312.34151891557485
1997-01-15,309.42946843611105
1997-01-16,307.32505297443464
1997-01-17,308.63675975885343
1997-01-20,306.93642581344
1997-01-21,306.6371327539753
1997-01-22,306.8960927207368
1997-01-23,307.4984477497115
1997-01-24,305.65664323535424
1997-01-27,304.08896081692336
1997-01-28,304.01400376175957
1997-01-29,303.6787220193964
1997-01-30,305.4950022344189
1997-01-31,307.0595333743561
1997-02-03,307.751602941317
1997-02-04,314.4310919261564
1997-02-05,316.2794574388636
1997-02-06,313.5797220659862
1997-02-07,310.16625956406847
1997-02-10,307.229975857972
1997-02-11,306.61732556812876
1997-02-12,308.21960925558193
1997-02-13,309.1005659729156
1997-02-14,311.39716586444524
1997-02-17,312.133677828888
1997-02-18,319.77783466456424
1997-02-19,325.75440283624926
1997-02-20,323.6492611491276
1997-02-21,323.8486872639209
1997-02-24,327.3446257652201
1997-02-25,334.30368212764085
1997-02-26,339.68338208357375
1997-02-27,340.025108727163
1997-02-28,337.33829662921283
1997-03-03,337.2921213917353
1997-03-04,337.2185666081878
1997-03-05,340.9702735300573
1997-03-06,340.79637845858787
1997-03-07,343.1002264521753
1997-03-10,343.87887708447823
1997-03-11,346.2329887965556
1997-03-12,341.6789926100283
1997-03-13,338.895428762709
1997-03-14,337.4700538671629
