Date,CHINA IMI GROWTH
1994-05-31,2014.6391131094265
1994-06-30,1800.1534203527592
1994-07-29,2017.4399849832955
1994-08-31,2107.702593889879
1994-09-30,2113.2239694364284
1994-10-31,2015.6530626141384
1994-11-30,1758.4089111327253
1994-12-30,1496.9115168673184
1995-01-31,1292.844633484232
1995-02-28,1455.5583091052
1995-03-31,1455.1036679444817
1995-04-28,1285.7227542854187
1995-05-31,1585.9610214609236
1995-06-30,1525.3668003273465
1995-07-31,1633.731901534284
1995-08-31,1577.8418296539862
1995-09-29,1529.1878393244554
1995-10-31,1398.5463855375715
1995-11-30,1281.5733288494357
1995-12-29,1245.1689117635322
1996-01-31,1435.5081875557557
1996-02-29,1485.3994410540145
1996-03-29,1417.1390809423522
1996-04-30,1361.4170572346789
1996-05-31,1382.4183652133934
1996-06-28,1354.6522427648517
1996-07-31,1291.490101132221
1996-08-30,1325.1155930408652
1996-09-30,1263.5859426783393
1996-10-31,1224.9580182629074
1996-11-29,1323.3618193714863
1996-12-31,1553.3754014678575
1997-01-01,1553.3754014678575
1997-01-02,1596.2371816186414
1997-01-03,1628.4009672050058
1997-01-06,1630.0250193583101
1997-01-07,1594.3278295560401
1997-01-08,1568.4608715761747
1997-01-09,1565.8131597819813
1997-01-10,1549.8073926908878
1997-01-13,1528.309462386024
1997-01-14,1536.929243397084
1997-01-15,1573.5186147202692
1997-01-16,1604.3790899698463
1997-01-17,1613.9310375647597
1997-01-20,1610.418694244872
1997-01-21,1570.673368492412
1997-01-22,1540.7241361832205
1997-01-23,1528.4974180124323
1997-01-24,1532.8827118830816
1997-01-27,1546.2130314652125
1997-01-28,1531.0897637812927
1997-01-29,1525.8832720182136
1997-01-30,1540.1179491279343
1997-01-31,1539.8625696856727
1997-02-03,1565.99468210357
1997-02-04,1577.5337994739843
1997-02-05,1587.1212207782369
1997-02-06,1582.8341342342792
1997-02-07,1579.8417990795804
1997-02-10,1553.7824999770876
1997-02-11,1533.6363423085493
1997-02-12,1543.498991102916
1997-02-13,1546.3029523210487
1997-02-14,1534.4890798889276
1997-02-17,1532.1754151699636
1997-02-18,1505.0387071733076
1997-02-19,1517.8498282200044
1997-02-20,1509.6571902399003
1997-02-21,1524.3566324890849
1997-02-24,1544.2801977350894
1997-02-25,1549.678890196163
1997-02-26,1583.6720470795121
1997-02-27,1612.6226068709277
1997-02-28,1613.0517976785304
1997-03-03,1656.5548778549798
1997-03-04,1633.7636000920452
1997-03-05,1604.0436937677691
1997-03-06,1627.3602463678292
1997-03-07,1604.9460561522728
1997-03-10,1608.1307488199234
1997-03-11,1603.7415458293035
1997-03-12,1615.899339182838
1997-03-13,1610.7540860168433
1997-03-14,1613.842472399197
1997-03-17,1603.3936368315685
1997-03-18,1587.0027518777733
1997-03-19,1590.2603900647741
1997-03-20,1585.3016906121954
1997-03-21,1557.6035749861533
1997-03-24,1564.5195398234805
1997-03-25,1543.160038907199
1997-03-26,1554.494316198078
1997-03-27,1523.7322544021804
1997-03-28,1529.8165837881284
1997-03-31,1529.852295657343
1997-04-01,1499.619685677885
1997-04-02,1492.9612901848163
1997-04-03,1486.42047482976
1997-04-04,1493.7301764928382
1997-04-07,1508.2843575694737
1997-04-08,1528.2729673930494
1997-04-09,1543.4536485008634
1997-04-10,1553.428361472693
1997-04-11,1572.3411599820395
1997-04-14,1550.0381958120508
1997-04-15,1550.6733970231214
1997-04-16,1594.6748882316317
1997-04-17,1595.9770956078037
1997-04-18,1601.5176002860408
