Date,GREECE IMI GROWTH
1994-05-31,199.5503694165099
1994-06-30,200.2848443296506
1994-07-29,207.23869815234698
1994-08-31,218.6886662651841
1994-09-30,219.7252641252438
1994-10-31,214.72661733151574
1994-11-30,214.87440017589316
1994-12-30,220.43543778470055
1995-01-31,208.9620209157805
1995-02-28,212.27996987893394
1995-03-31,212.53343150997452
1995-04-28,214.66815078139805
1995-05-31,221.52498985010735
1995-06-30,230.45353157229664
1995-07-31,255.71802087421017
1995-08-31,252.18054654071688
1995-09-29,271.1782491285319
1995-10-31,264.69294465495045
1995-11-30,241.75286575289385
1995-12-29,249.01879767526276
1996-01-31,260.00346955035735
1996-02-29,269.63931853048865
1996-03-29,271.5424360648162
1996-04-30,254.23113611464325
1996-05-31,256.8618739325041
1996-06-28,260.57959507062185
1996-07-31,263.8378675715816
1996-08-30,272.5930465253443
1996-09-30,268.5316299969131
1996-10-31,273.4264770490191
1996-11-29,264.1115802927466
1996-12-31,263.47822447088686
1997-01-01,263.47822447088686
1997-01-02,271.42044872662456
1997-01-03,272.13415481016256
1997-01-06,271.78020951969876
1997-01-07,276.96643308617064
1997-01-08,283.3404508833094
1997-01-09,293.47023784633
1997-01-10,290.90069299433196
1997-01-13,295.005100282231
1997-01-14,299.8310066160637
1997-01-15,305.5402315457835
1997-01-16,302.1852222649675
1997-01-17,304.36702557605486
1997-01-20,308.5883831272578
1997-01-21,305.15798786387313
1997-01-22,295.779647474204
1997-01-23,292.5395956063372
1997-01-24,297.0738799053362
1997-01-27,300.6145620901585
1997-01-28,303.59690252622823
1997-01-29,305.62114372025474
1997-01-30,308.2711085951239
1997-01-31,302.6298497116178
1997-02-03,301.47500961990244
1997-02-04,308.80183993785545
1997-02-05,312.996331723757
1997-02-06,317.43499836367636
1997-02-07,313.16573021934335
1997-02-10,318.4288913502033
1997-02-11,322.3625476276429
1997-02-12,321.57486342791043
1997-02-13,318.95082639001475
1997-02-14,318.40440461112024
1997-02-17,322.2616370795114
1997-02-18,324.46297057648394
1997-02-19,323.0078384712357
1997-02-20,324.1277835490881
1997-02-21,329.3522651957669
1997-02-24,332.88867412527287
1997-02-25,334.7119197313751
1997-02-26,340.6314764024053
1997-02-27,328.6309615881571
1997-02-28,322.12738929348694
1997-03-03,299.33600696059443
1997-03-04,304.28816943299347
1997-03-05,313.30899434742867
1997-03-06,316.5440556651968
1997-03-07,313.9887534641173
1997-03-10,316.46526464013886
1997-03-11,316.87823039016297
1997-03-12,311.4929291486068
1997-03-13,314.7184057778507
1997-03-14,315.9908680103954
1997-03-17,320.091362245264
1997-03-18,323.4151740202466
1997-03-19,319.9379154312651
1997-03-20,315.63501919217106
1997-03-21,315.8601136293321
1997-03-24,314.33986074527365
1997-03-25,314.26307435364504
1997-03-26,315.3079809990151
1997-03-27,318.36435670782004
1997-03-28,325.25674601113593
1997-03-31,325.4113318892801
1997-04-01,327.94150018770006
1997-04-02,334.6782668356247
1997-04-03,336.3306881073876
1997-04-04,341.1758152635989
1997-04-07,346.5079360769299
1997-04-08,351.0116909073996
1997-04-09,347.37062617845106
1997-04-10,340.44520560622175
1997-04-11,339.61731203518104
1997-04-14,335.14426048518226
1997-04-15,332.6939437648045
1997-04-16,335.9832004676388
1997-04-17,337.9623619794447
1997-04-18,338.9443838803777
1997-04-21,339.6101067896353
1997-04-22,338.6706920145431
1997-04-23,339.46362422963756
1997-04-24,342.4628978066609
1997-04-25,340.4138676993901
1997-04-28,340.438708174266
1997-04-29,340.9714166747468
1997-04-30,339.3348459138226
1997-05-01,342.8960191994455
1997-05-02,344.50461907687526
1997-05-05,353.9762317306392
1997-05-06,355.489206861265
1997-05-07,360.1178697936895
1997-05-08,362.75360242040256
