Date,THAILAND IMI GROWTH
1994-05-31,2748.46339596985
1994-06-30,2541.461525834199
1994-07-29,2754.0794622505846
1994-08-31,3113.2537422851938
1994-09-30,3065.985292147936
1994-10-31,3180.61364219829
1994-11-30,2835.858267598679
1994-12-30,2791.4505854998556
1995-01-31,2513.216343278149
1995-02-28,2691.7253362086603
1995-03-31,2632.1558230476767
1995-04-28,2665.9982368264646
1995-05-31,2986.6828086625064
1995-06-30,2990.5846817326146
1995-07-31,2949.4790530071286
1995-08-31,2790.0141773248793
1995-09-29,2752.730770204952
1995-10-31,2692.891353453291
1995-11-30,2549.3772322565605
1995-12-29,2717.7275694421724
1996-01-31,2963.9349410526465
1996-02-29,2785.099950088338
1996-03-29,2731.5435149899267
1996-04-30,2747.6287775832884
1996-05-31,2835.296471296922
1996-06-28,2682.4648481094478
1996-07-31,2294.18937710886
1996-08-30,2366.9607610270455
1996-09-30,2375.483735376049
1996-10-31,2008.7413077221445
1996-11-29,2018.7325254286536
1996-12-31,1837.5851592335785
1997-01-01,1837.5851592335785
1997-01-02,1784.3836251649468
1997-01-03,1753.5549958409993
1997-01-06,1762.1363187705224
1997-01-07,1825.5132158152337
1997-01-08,1851.1276157755099
1997-01-09,1871.591152243227
1997-01-10,1873.5657909025615
1997-01-13,1831.1838045269283
1997-01-14,1796.986985923984
1997-01-15,1840.2062962315283
1997-01-16,1824.2950160554506
1997-01-17,1843.0995682484465
1997-01-20,1864.88731620337
1997-01-21,1887.4371183492974
1997-01-22,1888.0116267566407
1997-01-23,1877.1825257477335
1997-01-24,1881.3843039724666
1997-01-27,1868.1374864905633
1997-01-28,1863.790778816111
1997-01-29,1796.854971823354
1997-01-30,1808.865202626842
1997-01-31,1744.9454147089439
1997-02-03,1683.0901461727196
1997-02-04,1681.2241494435646
1997-02-05,1639.9023877699467
1997-02-06,1644.1375111274735
1997-02-07,1636.7762704048703
1997-02-10,1621.9021419617825
1997-02-11,1615.3157772798404
1997-02-12,1588.1371238617091
1997-02-13,1537.8088502597034
1997-02-14,1580.0773343310736
1997-02-17,1575.8025793040408
1997-02-18,1558.3619346383912
1997-02-19,1632.58864642364
1997-02-20,1668.3134600882877
1997-02-21,1668.9566032880136
1997-02-24,1654.6557778601882
1997-02-25,1644.653049119205
1997-02-26,1636.1789131982252
1997-02-27,1610.711424439999
1997-02-28,1615.047205734701
1997-03-03,1562.4574762431344
1997-03-04,1522.5067487986375
1997-03-05,1512.5376190112033
1997-03-06,1498.705305275583
1997-03-07,1536.6577655798021
1997-03-10,1562.6994465391042
1997-03-11,1593.2664094163076
1997-03-12,1587.2643747695124
1997-03-13,1571.2553533489258
1997-03-14,1524.4795734952302
1997-03-17,1504.9178228408298
1997-03-18,1526.4544164660988
1997-03-19,1540.2820876391133
1997-03-20,1551.662073882965
1997-03-21,1549.0337370576915
1997-03-24,1569.621724645304
1997-03-25,1556.9021747925703
1997-03-26,1565.3798738917565
1997-03-27,1561.4497733717426
1997-03-28,1557.444186064443
1997-03-31,1550.302212174571
1997-04-01,1532.7240154565563
1997-04-02,1583.292707161079
1997-04-03,1553.3590996403389
1997-04-04,1578.868358264955
1997-04-07,1574.9287635130463
1997-04-08,1582.4377045004615
1997-04-09,1574.5775488791855
1997-04-10,1582.541095709213
1997-04-11,1575.9015552179035
1997-04-14,1575.9015552179035
1997-04-15,1576.203683583551
1997-04-16,1585.7980616510897
1997-04-17,1557.7139238095804
1997-04-18,1553.7896265129352
1997-04-21,1533.6170246274055
1997-04-22,1520.5037606410413
1997-04-23,1520.9231699901777
1997-04-24,1515.2558634042157
1997-04-25,1503.8642728602642
1997-04-28,1473.1652928073447
1997-04-29,1444.6261250822683
1997-04-30,1448.4794741363335
1997-05-01,1449.3116147763965
1997-05-02,1444.797789990258
1997-05-05,1445.6284518089565
1997-05-06,1409.7747742679426
1997-05-07,1371.6793727569036
1997-05-08,1348.3620157509665
1997-05-09,1332.3529065572495
1997-05-12,1306.403408532414
1997-05-13,1326.2431578288947
1997-05-14,1253.6100630161616
1997-05-15,1257.9992318017867
1997-05-16,1250.5958312263833
1997-05-19,1313.0121209362387
1997-05-20,1329.6143251734852
1997-05-21,1358.441171416319
1997-05-22,1303.0562579889781
1997-05-23,1302.8982247585511
1997-05-26,1289.2720501647418
1997-05-27,1269.0910991035307
1997-05-28,1247.8904802357458
1997-05-29,1252.3068615236875
1997-05-30,1302.786556478648
1997-06-02,1311.1029397014963
1997-06-03,1293.1131973349482
1997-06-04,1300.9788983953868
1997-06-05,1333.8335907312483
1997-06-06,1287.9242152200363
1997-06-09,1273.3785465924288
1997-06-10,1257.208462620587
1997-06-11,1256.4808156830727
1997-06-12,1232.727307554533
1997-06-13,1142.7124557865436
1997-06-16,1150.679381836611
1997-06-17,1128.727915524132
1997-06-18,1110.1460871104243
1997-06-19,1072.2966003237104
1997-06-20,1105.2215336280196
1997-06-23,1157.7572700419005
1997-06-24,1161.02834976395
1997-06-25,1181.2900512281606
1997-06-26,1241.7983319337266
1997-06-27,1285.1479453354186
1997-06-30,1292.5625788863163
1997-07-01,1292.5625788863163
1997-07-02,1301.4622403246174
1997-07-03,1375.8240651123438
1997-07-04,1457.1875641286254
1997-07-07,1389.4803930548128
1997-07-08,1321.2907649778383
1997-07-09,1379.7177445667176
1997-07-10,1388.2596293304096
1997-07-11,1290.929340736744
1997-07-14,1243.3188656310122
1997-07-15,1291.5744897022478
1997-07-16,1348.5800301066517
1997-07-17,1328.33719572557
1997-07-18,1297.837840516297
1997-07-21,1297.837840516297
1997-07-22,1274.6566252613734
1997-07-23,1165.8424988417162
1997-07-24,1184.2738726822165
1997-07-25,1208.07876115977
1997-07-28,1281.085057961842
1997-07-29,1329.4486596030326
1997-07-30,1300.1247178615122
1997-07-31,1257.0142435037328
1997-08-01,1218.3520828434628
1997-08-04,1265.7530430140532
1997-08-05,1242.8071171338916
1997-08-06,1229.744331465873
1997-08-07,1257.0756311706104
1997-08-08,1247.8632448219112
1997-08-11,1226.8819631174904
1997-08-12,1226.8819631174904
1997-08-13,1219.304770761611
1997-08-14,1211.945539449789
1997-08-15,1193.4779630172527
1997-08-18,1171.276491638648
1997-08-19,1115.316390432819
1997-08-20,1105.199634746094
1997-08-21,1103.1661305707912
1997-08-22,1019.3175580248852
1997-08-25,963.4058933708786
1997-08-26,956.6572568546533
1997-08-27,952.8264189564135
1997-08-28,928.6526866462306
