Date,MALAYSIA IMI GROWTH
1998-05-29,379.8268965148887
1998-06-01,356.5224044638426
1998-06-02,360.8353577159227
1998-06-03,363.12361284707464
1998-06-04,352.84736591177966
1998-06-05,342.9480902198319
1998-06-08,337.3903413541741
1998-06-09,346.25813886007614
1998-06-10,332.063074038406
1998-06-11,326.84023796395036
1998-06-12,320.61657209839694
1998-06-15,303.52136995267597
1998-06-16,298.2122671478854
1998-06-17,314.94815088313584
1998-06-18,325.931135123359
1998-06-19,330.41466854415376
1998-06-22,315.2612365558829
1998-06-23,316.7494350603019
1998-06-24,314.01252462496484
1998-06-25,307.9365130238954
1998-06-26,297.65732395002385
1998-06-29,292.14575581598723
1998-06-30,294.97792138109224
1998-07-01,301.6084800149788
1998-07-02,303.79281205267074
1998-07-03,303.55692376342915
1998-07-06,300.1317142952925
1998-07-07,297.28504200851046
1998-07-08,287.5068781223488
1998-07-09,279.9455708115667
1998-07-10,269.4638322951081
1998-07-13,265.5494296384989
1998-07-14,268.04182879481283
1998-07-15,276.13879486743156
1998-07-16,279.69250562337527
1998-07-17,286.6092024635097
1998-07-20,286.7992331234192
1998-07-21,279.70037618403165
1998-07-22,270.1299892248583
1998-07-23,266.53668206701695
1998-07-24,270.1896542591011
1998-07-27,261.0066804276376
1998-07-28,260.9096214040881
1998-07-29,253.0686653705481
1998-07-30,254.69807015199498
1998-07-31,261.4786126605489
1998-08-03,248.9506332874519
1998-08-04,250.03034809676868
1998-08-05,245.85335274605202
1998-08-06,240.3761980263559
1998-08-07,232.91337651090672
1998-08-10,225.85470926858738
1998-08-11,214.5988511349901
1998-08-12,221.2030037196461
1998-08-13,212.36848075305127
1998-08-14,211.95245671360004
1998-08-17,201.41300933049328
1998-08-18,201.17037690519
1998-08-19,216.80957670382224
1998-08-20,224.7428947824671
1998-08-21,206.16390389649163
1998-08-24,202.77962989392
1998-08-25,205.59194890222892
1998-08-26,205.3095828579074
1998-08-27,199.139775272971
1998-08-28,194.04229807576806
1998-08-31,194.7444653589406
1998-09-01,186.91189473925883
1998-09-02,212.1963894693726
1998-09-03,224.23602621560693
