Date,MEXICO IMI GROWTH
1996-05-31,169.1750718966558
1996-06-28,165.39507814234784
1996-07-31,156.4279091481101
1996-08-30,170.3172070866952
1996-09-30,169.2270921032095
1996-10-31,153.23696899088787
1996-11-29,161.04761228219922
1996-12-31,162.14821780382633
1997-01-01,162.14821780382633
1997-01-02,160.95795380810117
1997-01-03,162.92865282841854
1997-01-06,165.352256532453
1997-01-07,166.29194716924223
1997-01-08,167.474592166636
1997-01-09,167.05064186620754
1997-01-10,168.33712804790184
1997-01-13,167.35596034743534
1997-01-14,169.60463903531303
1997-01-15,173.54580531865872
1997-01-16,173.07982278724086
1997-01-17,175.85541330834405
1997-01-20,176.65435497523066
1997-01-21,175.8239131634705
1997-01-22,175.8318957559493
1997-01-23,175.61234175721034
1997-01-24,173.37262409856876
1997-01-27,173.08398715465984
1997-01-28,172.62892813423113
1997-01-29,170.07194705237964
1997-01-30,170.99033704643895
1997-01-31,170.69398584379115
1997-02-03,170.19354788457608
1997-02-04,171.99257541675078
1997-02-05,172.03657454067425
1997-02-06,171.98173006056928
1997-02-07,172.37255427768386
1997-02-10,172.95457790167828
1997-02-11,174.5367640053454
1997-02-12,176.9132603394823
1997-02-13,175.738298714232
1997-02-14,178.2877999143312
1997-02-17,179.0186308851589
1997-02-18,178.97893453593048
1997-02-19,181.65624851132674
1997-02-20,181.24772721492232
1997-02-21,182.90911316137988
1997-02-24,183.34650392301938
1997-02-25,184.53728222394994
1997-02-26,181.94685895289163
1997-02-27,175.5316994182966
1997-02-28,176.28247822689627
1997-03-03,172.9446002901289
1997-03-04,171.80120433914453
1997-03-05,171.19292916936675
1997-03-06,172.15270761296838
1997-03-07,172.9043310923331
1997-03-10,174.94811574072884
1997-03-11,172.32090844630187
1997-03-12,170.16645178122286
1997-03-13,168.96674611180083
1997-03-14,170.4646371953294
1997-03-17,169.8616971001647
1997-03-18,170.89204560252182
1997-03-19,173.14019195656823
1997-03-20,172.47253751678988
1997-03-21,172.50519040159048
1997-03-24,173.70260897461236
1997-03-25,174.39226276118362
1997-03-26,174.90811156660322
1997-03-27,174.34510262379226
1997-03-28,174.32309768846173
1997-03-31,171.68288913606574
1997-04-01,169.82572329017515
1997-04-02,169.66393504296585
1997-04-03,169.97997650061745
1997-04-04,170.72988070909898
1997-04-07,172.8308580518349
1997-04-08,172.6418813717447
1997-04-09,173.3103919463591
1997-04-10,172.78279100394096
1997-04-11,171.72392988170517
1997-04-14,172.18785934146243
1997-04-15,172.2102163335176
